name,cv,lb,n_tie,rhash,bad
blend159av_wh3,0.9700492569216793,,5424,be7ce204c931,
blend159av_h3,0.9700491721182697,0.97105,35226,b9ba37d6a12d,
blend160origm_h3,0.9700486549808679,0.97105,35182,687df8f5398b,
blend158_h3,0.9700483189336571,0.97105,35429,fda53970fbc3,
blend159av_w,0.9700481784285347,,5468,8a8221559d9e,
blend159_h3,0.9700469365091934,,35442,71c1d6f22c37,
blend156w,0.970046657295287,0.97105,5883,2b455f7e9f1a,
blend156w2,0.9700464659091339,,5754,1e139ba2ce5b,
blend160orig_h3,0.9700463311228631,,35246,6ccc27ebd6f9,
blend156_h3,0.9700461184445183,,34992,66fd0668aec9,
blend159av,0.9700448767129297,0.97106,20356,1ac5ff6d11ed,
blend160origm,0.9700442444424164,,20080,c4ded80d4ed3,
blend159,0.9700433779222748,,20526,aa295e0a616b,
blend158,0.9700432266594199,0.97106,20497,eb1d0b75e4e4,
blend160orig,0.9700423076141413,,20516,503e502a09ff,
blend156,0.9700416046775032,0.97106,20097,8054e7de899b,
blend158_rankraw,0.9700364199222861,0.97104,1177,050b387512cc,"range [-17.75, 17.49]"
blend156_rankraw,0.9700360784150184,0.97104,1238,61185b06b190,"range [-17.85, 16.98]"
blend153,0.9700343285733894,0.97104,20518,1dd6abe74de9,
blend160orig_rankraw,0.9700342765404693,,1064,257afb262496,"range [-17.73, 17.28]"
blend159av_rankraw,0.9700338606526145,,1183,5a49a3429a65,"range [-17.66, 17.52]"
blend160origm_rankraw,0.9700331270767358,,1237,303e8ef01207,"range [-17.9, 17.2]"
blend150sx,0.9700330480936658,0.97104,20144,3f39f3db3267,
blend159_rankraw,0.9700325394457388,,1150,4ae7cbabea52,"range [-17.8, 16.84]"
blend150fx,0.9700319433658622,0.97104,20352,0f8da4388f77,
blend159av_hybrid,0.9700291725494377,,1248,ac46fca0ace9,"range [-8.745, 13.48]"
blend159av_rescale,0.9700286702343647,,2143,4e3b60fb5499,"range [-8.733, 10.2]"
blend158_hybrid,0.9700283333245054,0.97103,1159,5bea0bf7ffea,"range [-8.991, 13.76]"
blend158_rescale,0.9700273730091135,0.97105,2067,c7976466121a,"range [-8.703, 10.16]"
blend160origm_hybrid,0.9700273084068993,,1374,a11085dc7df8,"range [-8.89, 13.62]"
blend160origm_rescale,0.9700270088294171,,2349,9f419463b557,"range [-8.767, 10.3]"
blend153_rankraw,0.9700266911160214,,1173,995eeb2c0fd5,"range [-17.64, 17.66]"
blend159_rescale,0.9700258921564706,,2249,d5814fecc681,"range [-8.714, 10.16]"
blend160orig_hybrid,0.9700254919891138,,1344,79b921760116,"range [-8.964, 13.79]"
blend156_rescale,0.970025114813873,0.97105,2413,7625421886f3,"range [-8.74, 10.22]"
stack_pub151_fixed_rankraw,0.9700245019225018,0.97103,0,93a84c2eec27,
blend159_hybrid,0.9700244514017536,,1199,db75845b6143,"range [-8.956, 13.81]"
stack_pub151_hybrid,0.9700242945519818,0.97099,0,d52596c373fd,
blend150fx_rankraw,0.9700240718313954,0.97102,1212,23b9f6f5185d,"range [-17.54, 17.85]"
blend160orig_rescale,0.9700233486631156,,2448,597f8ae3b6bd,"range [-8.731, 10.22]"
stack_pub151_rankraw,0.970023065836235,0.97102,0,0cf42d4d5395,
blend156_hybrid,0.970023048486854,,1342,4a233f0ad678,"range [-8.911, 13.65]"
blend150sx_rankraw,0.9700218568548381,0.97102,1122,2b6876e339cd,"range [-17.6, 17.75]"
blend153_rescale,0.9700197991441539,,2099,4944130370d0,"range [-8.753, 10.18]"
stack_pub149_hybrid,0.9700183101166489,0.97099,0,a8f69d9e7bae,
blend150sx_rescale,0.9700170339298693,,2174,557b741e6c9e,"range [-8.703, 10.11]"
blend153_hybrid,0.9700168430359333,,1200,23ba59212e7c,"range [-8.94, 13.78]"
blend150sx_hybrid,0.9700160915169685,0.97101,1835,174c6289f8f6,"range [-8.922, 13.8]"
blend150fx_hybrid,0.9700142363358246,0.97099,1209,f2c3d0892098,"range [-8.969, 13.88]"
blend150fx_rescale,0.9700125368779351,0.97102,2071,7e85a98a125c,"range [-8.736, 10.2]"
blend159av_logit,0.9699647645223465,,1161,06727e8aec66,"range [-8.594, 16.7]"
blend159_logit,0.9699646622223983,,1080,eceda703bf46,"range [-8.74, 16.86]"
blend160origm_logit,0.9699635759958649,,1268,4955d2dd7ce2,"range [-8.589, 16.94]"
blend156_logit,0.9699618031215246,,1279,10c00b11e5fc,"range [-8.62, 16.84]"
blend160orig_logit,0.969961779850316,,1268,6b8013b4af90,"range [-8.587, 16.67]"
blend158_logit,0.9699613898723587,0.97106,1102,9c26716828b7,"range [-8.582, 16.93]"
blend150sx_logit,0.9699553831959209,0.97104,1107,e929a9e416bb,"range [-8.56, 16.7]"
blend153_logit,0.9699540296194336,,1119,218e2f648353,"range [-8.538, 16.95]"
blend150fx_logit,0.9699498370519285,0.97103,1112,d4c678ce6450,"range [-8.486, 17.02]"
stack_pub86_hybrid,0.9696778003750686,0.9708,0,e8f4ab66691d,
stack_pub88_mine_logit,0.9696599465172034,0.97081,0,8aecc58dde9b,
stack_pub74_logit,0.9696413515631959,0.97081,0,09a02db8b0e3,
