member,oof_pinned,test_pinned,ratio,sd_ratio
altview,0.0,0.0,0.0,1.002265651626529
cat,0.0,0.0,0.0,1.0042474999284767
cat_tuned,0.0,0.0,0.0,1.0022772788330707
digit_cat,0.0,0.0,0.0,1.0021193411291933
digit_lgbm,0.0,0.0,0.0,1.0019068745154167
digit_xgb,0.0004324752773121155,5.399896052000999e-05,8.008955601133403,1.0022943287422967
et,0.0779337806583749,0.024890145864692105,3.1311098409000406,1.0059725176740386
hgb,0.0,0.0,0.0,1.003048373406678
imp_cat,0.0,0.0,0.0,1.0019237472938936
imp_lgbm,0.0,0.0,0.0,1.0020648276618405
imp_lgbm_tuned,0.0,0.0,0.0,1.002283185949675
imp_xgb,0.00012294447682785893,3.3749350325006245e-06,36.42869437304825,1.0022924144580352
imp_xgb_tuned,0.0002560137929238945,2.6999480260004996e-05,9.482174858866973,1.002930186387436
knn,0.19339455486144158,0.18091676735222847,1.0689697682079407,1.0068309046438892
lat_cat,0.0,0.0,0.0,1.0017797278017522
lat_lgbm,0.0,0.0,0.0,1.0021272474906346
lat_lgbm_s5,0.0,0.0,0.0,1.002104473790374
lat_xgb,0.0,0.0,0.0,1.0021551618613525
latmax_lgbm,0.0,0.0,0.0,1.0019728300481483
latr1_lgbm,0.0,0.0,0.0,1.002050402981183
latr1_xgb,0.0,0.0,0.0,1.0018330152507657
lattri_lgbm,0.0,0.0,0.0,1.0018421397322803
lattri_xgb,0.0,0.0,0.0,1.001923953076276
latwide_cat,0.0,0.0,0.0,1.0017435631357574
latwide_lgbm,0.0,0.0,0.0,1.001933494124086
latwide_xgb,0.0,0.0,0.0,1.0018877643937896
lgbm,0.0,0.0,0.0,1.0033426488094364
lgbm_tuned,0.0,0.0,0.0,1.0026127904924282
logreg,0.0,0.0,0.0,1.0052772123356324
lookup,0.0,0.0,0.0,1.001101370956981
mlp,0.0,0.0,0.0,1.0029234107817337
naji01,0.0,0.0,0.0,1.0029082624117165
naji02,0.0,0.0,0.0,1.003870600262967
naji03,0.05789817015226312,0.0091899480934992,6.300162913131056,1.003699754898982
naji04,0.0,0.0,0.0,1.0040649892220108
naji05,0.05721257389324659,0.008997576796646664,6.358664692316862,1.0036707059231194
nn2,0.0,0.0,0.0,0.9979726232565886
pub_cat,0.0,0.0,0.0,1.0019858396261447
pub_donlgbm,0.0,0.0,0.0,1.0022247585806827
pub_evg,0.0,0.0,0.0,1.0033041871709198
pub_ravi,0.00296368509435627,0.0020553354347928802,1.4419471606370304,1.0020729415344198
pub_resnet,0.003086629571184129,0.0007019864867601299,4.396992861543269,1.001278355210599
pub_rmlp,0.0,0.0,0.0,1.003442350342883
pub_ryota,0.0,0.0,0.0,1.003694112124617
pub_tabm,0.08250586879076152,0.040084103381009914,2.0583189302382943,1.0034873974641818
pub_tabnet,6.508825243827826e-05,0.0,65088.25243827826,1.0023033940586352
pubfe_cat,0.0,0.0,0.0,1.0023227406657569
pubfe_lgb,0.0,0.0,0.0,1.002417829279744
pubfe_xgb,0.0,0.0,0.0,1.0025114289387542
pubmk_cat,0.0,0.0,0.0,1.002156557524588
pubmk_nn,0.0014449592041297773,0.0004623660994525855,3.125140891255922,1.005674045372876
realmlp,0.0,0.0,0.0,1.0076282644897883
realmlp15,0.0,0.0,0.0,1.0054302629719625
rf,0.14959883940413873,0.0805293248104974,1.8576939488338757,1.0050163934154686
rmlp_lat,0.0,0.0,0.0,1.0030978252695701
rmlp_lat3,0.0,0.0,0.0,1.0035047078016834
tabm_bounds,0.03251230529572486,0.011279032878617087,2.8825437114703374,1.0030616392205967
tabm_deep,0.08261145640027251,0.04630748358094107,1.7839763686548753,1.0020094961192703
tabm_deeper,0.06384723642512175,0.035899183940709144,1.7785149804678408,1.0023242227092377
tabm_div,0.0012670513141318166,0.00029699428286005495,4.2662481645441535,1.0040319130952537
tabm_imp,0.05027561258893586,0.006901742141463777,7.284481448081601,1.002640036835147
tabm_seed3,0.03819234012517194,0.028062584795242693,1.360970145973385,1.0030711300571966
tabm_wide,0.027487492207489778,0.0156799481609979,1.7530346353989745,1.0026749836935813
tabm_x12,0.05840585852128169,0.02367516925299188,2.466966884044591,1.002729102729736
view_bounds_cat,0.0,0.0,0.0,1.0034092389003355
view_bounds_lgbm,0.0,0.0,0.0,1.0024211315611438
view_nolattice_lgbm,0.0,0.0,0.0,1.0024151246017383
view_rank_cat,0.0,0.0,0.0,1.0032255802679129
view_rank_lgbm,0.0,0.0,0.0,1.0019551844135568
view_resid_cat,0.0,0.0,0.0,1.003070316858513
view_resid_lgbm,0.0,0.0,0.0,1.00149203365823
view_resid_xgb,0.0,0.0,0.0,1.0021394713734955
xgb,0.0,0.0,0.0,1.0036815807480055
xgb_tuned,7.232028048697583e-05,3.3749350325006245e-06,21.42864374885191,1.002641466561607
