name,cv,lb,n_tie,rhash,bad,fam,gap,resid
stack_pub151_hybrid,0.9700242945519818,0.97099,0,d52596c373fd,,hybrid,0.000965705448018217,-3.870558487628628e-05
stack_pub149_hybrid,0.9700183101166489,0.97099,0,a8f69d9e7bae,,hybrid,0.0009716898833511678,-3.5155039794898535e-05
blend150fx_hybrid,0.9700142363358246,0.97099,1209,f2c3d0892098,"range [-8.969, 13.88]",hybrid,0.0009757636641753997,-3.273807951975627e-05
stack_pub86_hybrid,0.9696778003750686,0.9708,0,e8f4ab66691d,,hybrid,0.0011221996249314303,-2.3131770949702535e-05
blend150sx_hybrid,0.9700160915169684,0.97101,1835,174c6289f8f6,"range [-8.922, 13.8]",hybrid,0.0009939084830316025,-1.3838752167871782e-05
blend150fx_rankraw,0.9700240718313954,0.97102,1212,23b9f6f5185d,"range [-17.54, 17.85]",rankraw,0.0009959281686046095,-8.5734455116393e-06
stack_pub151_rankraw,0.970023065836235,0.97102,0,0cf42d4d5395,,rankraw,0.0009969341637650064,-7.976592012570727e-06
blend150sx_rankraw,0.970021856854838,0.97102,1122,2b6876e339cd,"range [-17.6, 17.75]",rankraw,0.0009981431451620004,-7.259307471252363e-06
stack_pub88_mine_logit,0.9696599465172034,0.97081,0,8aecc58dde9b,,logit,0.0011500534827965092,-2.5391379441241924e-06
blend150fx_rescale,0.9700125368779352,0.97102,2071,7e85a98a125c,"range [-8.736, 10.2]",rescale,0.001007463122064789,-1.7297969476803843e-06
stack_pub151_fixed_rankraw,0.9700245019225018,0.97103,0,93a84c2eec27,,rankraw,0.001005498077498168,1.171382901010709e-06
blend156_rankraw,0.9700360784150184,0.97104,1238,61185b06b190,"range [-17.85, 16.98]",rankraw,0.0010039215849816374,4.303089356505474e-06
blend153,0.9700343285733894,0.97104,20518,1dd6abe74de9,,ens4,0.001005671426610566,5.341264429636894e-06
blend150sx,0.9700330480936658,0.97104,20144,3f39f3db3267,,ens4,0.0010069519063342636,6.100968684363828e-06
blend150fx,0.9700319433658622,0.97104,20352,0f8da4388f77,,ens4,0.0010080566341378328,6.756399924090495e-06
stack_pub74_logit,0.969641351563196,0.97081,0,09a02db8b0e3,,logit,0.0011686484368039762,8.493184876279258e-06
blend156_rescale,0.970025114813873,0.97105,2413,7625421886f3,"range [-8.74, 10.22]",rescale,0.001024885186126978,2.080775654000888e-05
blend156,0.9700416046775032,0.97106,20097,8054e7de899b,,ens4,0.0010183953224968123,2.10243766639584e-05
blend150fx_logit,0.9699498370519284,0.97103,1112,d4c678ce6450,"range [-8.486, 17.02]",logit,0.0010801629480715613,4.546979607167323e-05
blend150sx_logit,0.9699553831959208,0.97104,1107,e929a9e416bb,"range [-8.56, 16.7]",logit,0.0010846168040792303,5.217928774847724e-05
