feature,K,chi2_df,top_z,top_bin,dAUC,cells
d2_age,2,2.148515896777016,-0.1831974320896649,0,-6.455226189894248e-05,2662
d1_age,2,2.148515896777016,-0.1831974320896649,0,-6.455226189894248e-05,2662
d1_notifications_per_day,2,2.0879176317483883,-0.7277305534924247,0,-0.0001870525628803188,2662
d2_notifications_per_day,2,2.0879176317483883,-0.7277305534924247,0,-0.0001870525628803188,2662
d2_app_opens_per_day,2,2.1290584729197,0.24615525791333712,0,-0.0002412882403602934,2662
d1_app_opens_per_day,2,2.1290584729197,0.24615525791333712,0,-0.0002412882403602934,2662
sleep_hours,13,1.0573318809057342,0.632066352553519,8,-0.0004268886869369659,17303
notifications_per_day,13,1.068764286022065,-0.7277305534924247,0,-0.00044511901470078996,17303
CTRL_perm_notifications_per_day,13,1.0553457047973238,-2.319748480956499,4,-0.00045106027701991014,17303
CTRL_uniform,13,1.0667985703572884,-2.1159360604072273,10,-0.00045425627252970724,15972
notif_per_open,13,1.0593155574621935,1.5823651515499806,4,-0.00046876722079247646,17303
CTRL_perm_age,13,1.0574420356444063,1.1865418985453562,8,-0.0004770983083450808,17303
CTRL_perm_daily_screen_time_hours,13,1.0566276380821835,1.8504620027895,10,-0.0004777126357723427,17303
d1_sleep_hours,11,1.0773139597079564,0.8580302813532166,5,-0.0004865259234676511,14641
app_opens_per_day,13,1.0457915908672506,-1.7330470846987418,4,-0.0004865813714604039,17303
d2_weekend_screen_time,11,1.0897262536014816,-1.18199145126867,0,-0.000488078553529836,14641
work_study_hours,13,1.045109937178713,1.7708645269886374,0,-0.0004884200760203461,17291
comp_share,13,1.0507406108216641,-2.939715241234282,3,-0.000495255823511731,17283
d1_weekend_screen_time,11,1.0770083718866288,1.4937448866787375,5,-0.0005028386549402741,14641
gaming_hours,13,1.051649212122442,0.8658090271896762,11,-0.0005030784508903707,17298
d2_sleep_hours,11,1.0564763180946204,2.063818709066708,5,-0.0005047269719307135,14641
age,13,1.0467069873904555,-1.6094444880589505,11,-0.0005050620753026536,17303
ratio_social_media_hours,13,1.0751346401501842,2.3449140518903793,9,-0.0005070978087509115,17146
d1_social_media_hours,11,1.0608817637645034,0.7546749675503088,9,-0.0005082583346813774,14641
d1_work_study_hours,11,1.066959231406083,1.7708645269886374,0,-0.0005124379370888832,14641
d2_social_media_hours,11,1.0673251764951504,-1.3601202636463467,3,-0.0005207335089004728,14641
ratio_work_study_hours,13,1.0537946788525658,-2.3165410147817593,11,-0.0005208237013252237,17303
ratio_weekend_screen_time,13,1.0607505399052197,1.5511472258916739,5,-0.0005313988519082269,17299
weekend_minus_daily,13,1.0392888699613743,1.224490504253132,5,-0.0005337604330188928,17303
slack_daily_minus_comp,13,1.050360572291739,-1.1346041626758083,9,-0.0005372955203808427,17075
d2_gaming_hours,11,1.0560633862526354,-1.0245761976528729,3,-0.0005377146761509355,14641
ratio_gaming_hours,13,1.0373817144387234,-1.3653538709207396,5,-0.0005433407673499646,17303
d1_gaming_hours,11,1.0474983704948844,1.3018060160901754,4,-0.0005590234508972003,14641
d1_daily_screen_time_hours,11,1.0457654178518558,1.1626166038931587,3,-0.0005608486473988039,14641
d2_daily_screen_time_hours,11,1.051913982456998,1.7290617339029697,1,-0.0005715810587803016,14641
social_media_hours,13,1.0735427261748272,-2.594231782068326,11,-0.0005825169232431815,15501
d2_work_study_hours,11,1.0467904184102899,1.7708645269886374,0,-0.0005857420610446695,14641
weekend_screen_time,13,1.0928086653129372,-3.0188559072168215,10,-0.0005959479473801599,14252
free_hours,13,1.0905559639775462,2.8985867181112046,7,-0.0005972805818096338,15051
sleep_plus_daily,13,1.0912241496748958,2.8482842666272377,6,-0.0005985187054983188,15052
n_screen_missing,5,1.23878887274295,-0.945584692771681,2,-0.0005994054166862384,5278
daily_screen_time_hours,13,1.1178971963646418,-3.3908450573334865,9,-0.0006225559051133978,13424
academic_work_impact,3,1.3508498525761699,-0.7076563998427849,0,-0.0006596702299078716,3993
n_missing_all,6,1.133464025477241,0.8635972640257732,3,-0.0007476374022580279,6655
stress_level,4,1.2380584215171715,-0.21113878660020177,0,-0.000757920571739068,5324
gender,4,1.2270842141773832,0.4344033225765791,2,-0.00077762212600474,5324
