indicator,rate,chi2_df,ctrl_chi2_df,dAUC,ctrl_dAUC
age,0.04184306788415448,2.1458092352637173,2.229381871156549,-6.423953156631246e-05,-6.870136207507797e-05
daily_screen_time_hours,0.13864376331597164,2.0384025704683157,2.1969227427429865,-0.00035923474236732034,-0.00022889849201031728
social_media_hours,0.19381111967704656,2.230620759457428,2.1590375848653682,-0.00039445700018847507,-0.00035259233298249687
gaming_hours,0.18343460583277527,2.096727357468619,2.230428204769661,-0.00036104960738603253,-0.00032376067072052245
work_study_hours,0.07451592420256042,2.045278929985553,2.2477861720704184,-0.00013729380718152662,-0.00012054015244504039
sleep_hours,0.06433612152121371,2.1109940192615055,2.1975979319779206,-9.686207673031966e-05,-9.776198474698017e-05
notifications_per_day,0.0977538767286355,2.0900794825131803,2.1988083413120796,-0.00018830132759029006,-0.00016943285653866122
app_opens_per_day,0.1167393967620764,2.116874644592116,2.256759060455009,-0.00024016719327890623,-0.00019171537016238194
weekend_screen_time,0.16208855184423948,2.3533667950456327,2.237985636093395,-0.0003451026337490948,-0.00029064221437909615
gender,0.04199494047317713,2.3602973247710373,2.1940861601100097,-7.156883571257655e-05,-5.807625738533476e-05
stress_level,0.07976637656591487,2.301456178894195,2.012965625404853,-0.00014202658032091975,-0.0001305768700516167
academic_work_impact,0.06396584168512039,2.1145544409416215,2.1165278761932744,-0.00011074308363068219,-9.664087677289472e-05
n_missing_all,,1.1054842863025451,1.0903169532692394,-0.0007265750861513709,-0.000711553505870303
na_cat_count,,1.2564320542369092,1.2854880717511465,-0.00030043477204988456,-0.00027256960580139083
