rep,kind,k,auc
0,auc,10,0.9695427400710266
0,auc,25,0.9697231140561919
0,auc,50,0.9698784366543355
0,auc,100,0.9700471819334519
0,auc,148,0.9700845661267685
0,decorr,10,0.9694208392070369
0,decorr,25,0.9696434226714377
0,decorr,50,0.9697759862830833
0,decorr,100,0.9700534649863763
0,decorr,148,0.9700910795970007
0,random,10,0.9691359533545437
0,random,25,0.9695456959970781
0,random,50,0.9699389108865015
0,random,100,0.970041390648545
0,random,148,0.9700885956894918
1,auc,10,0.9696550091383733
1,auc,25,0.9699188747903685
1,auc,50,0.9700524423979365
1,auc,100,0.9702082345789217
1,auc,148,0.9702694133375811
1,decorr,10,0.9696123514698697
1,decorr,25,0.9698172669483646
1,decorr,50,0.969971988922957
1,decorr,100,0.970228221879846
1,decorr,148,0.9702701797511756
1,random,10,0.9693523737242907
1,random,25,0.9697954164580154
1,random,50,0.9701443481733256
1,random,100,0.9702489753507949
1,random,148,0.970272382274335
