Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16724329,"Chris Deotte","2026-08-30 23:14:31",0.97207,90,cdeotte
2,16698321,"Changye Li","2026-08-30 12:49:14",0.97154,55,antoinegg1
3,16633740,MILANFX,"2026-08-31 23:53:41",0.97149,68,milanfx
4,16633764,cstdy,"2026-08-31 18:40:51",0.97147,132,kirill0212
5,16635530,Miłosz,"2026-08-31 22:13:48",0.97146,34,miloszkrzeminski
6,16639426,Keanan,"2026-08-31 22:33:20",0.97139,34,citerne
7,16705653,JungHwan,"2026-08-31 21:22:02",0.97138,199,najunghwan
8,16633767,"Don Mani","2026-08-31 16:00:50",0.97137,173,donmarch14
9,16734934,BOB,"2026-08-31 05:57:24",0.97137,123,hotpotbro
10,16636196,"Maher el Ouahabi","2026-08-31 00:24:42",0.97137,126,maherelouahabi
11,16757608,"Eduardo Molina","2026-08-31 18:28:06",0.97136,52,eduardomolinaai
12,16687243,Utkarsh,"2026-08-29 21:20:01",0.97136,121,n0va007
13,16634252,"Taemyung Heo","2026-08-31 16:37:50",0.97135,28,tmheo74
14,16633796,Optimistix,"2026-08-30 23:58:43",0.97135,214,optimistix
15,16748912,Can,"2026-08-30 00:06:02",0.97135,53,canentay
16,16728887,"Andrey Shpigar","2026-08-31 15:13:19",0.97135,79,andreyshpigar
17,16654846,"Emile Andrieu","2026-08-29 20:31:44",0.97133,21,emileandrieu
18,16633766,"Ravi Ramakrishnan","2026-08-31 18:39:09",0.97133,96,ravi20076
19,16769386,"Hai Dang","2026-08-29 06:19:44",0.97133,31,haidang2405
20,16763750,"Subramanya N","2026-08-30 11:46:24",0.97132,41,subramanya1997
21,16648936,r0tor,"2026-08-31 14:26:30",0.97132,114,nikita7364777
22,16736438,sime_saba,"2026-08-29 16:02:11",0.97131,34,watarukawashima
23,16777418,"Sean Pinkney","2026-08-31 14:23:57",0.97131,38,oneiroi
24,16710470,"Charles Backman on LinkedIn","2026-08-31 04:08:15",0.97131,39,charlesbackman
25,16723692,"Christoffer Thimsen","2026-08-31 22:01:10",0.97131,19,lowasitgoes
26,16767572,"Arka Ariya","2026-08-31 22:32:12",0.97131,45,arkaariya
27,16685415,yukiZ,"2026-08-31 14:40:53",0.97131,118,hideyukizushi
28,16666907,"Kota Fuchiwaki","2026-08-31 01:27:45",0.97131,25,kotafuchiwaki
29,16786408,"Colin Ma","2026-08-31 22:20:56",0.97131,9,colinm5
30,16692228,CazyUndee,"2026-08-31 20:37:57",0.97131,20,crazybro
31,16789930,EvilHero,"2026-08-31 00:09:08",0.97131,30,evilhero
32,16689162,"Zeyou Zhang","2026-08-30 08:08:04",0.97131,75,zeyouzhang
33,16634788,"Mikhail Naumov","2026-08-31 10:04:08",0.97130,159,mikhailnaumov
34,16798081,"Bo Sun","2026-08-31 21:50:17",0.97130,10,dermcortex
35,16760786,yuxuan,"2026-08-31 05:34:17",0.97130,47,yuxuan1221
36,16691149,BostonKaggle,"2026-08-31 03:57:53",0.97130,33,"isthereanycode,lynnkim0"
37,16724181,"PS-S6E8 Codex Blender","2026-08-31 18:42:54",0.97130,152,"aditya2909rb,duyguabbasoglu,jazivxt"
38,16670739,XAVI,"2026-08-31 05:19:27",0.97130,57,xx1263
39,16751356,"Wenbo Qin","2026-08-31 07:45:31",0.97130,73,"lilei577,wenboqin"
40,16786355,Mr.Frundles,"2026-08-31 03:38:39",0.97130,20,watehell
41,16776994,s0673468,"2026-08-31 17:21:05",0.97130,28,s0673468
42,16779468,"Gowtham #2","2026-08-31 18:50:21",0.97130,7,gowtham66866
43,16721433,"Asterios Terzis","2026-08-31 15:08:58",0.97130,59,asteriosterzis
44,16753827,luofeng19970209,"2026-08-31 14:51:26",0.97130,25,luofeng19970209
45,16793390,"Tariku Mehdi","2026-08-31 16:13:09",0.97130,6,tarikumehdi
46,16675946,thisray,"2026-08-31 12:32:38",0.97130,62,thisray
