stem,cv,why,in_table,table_cv,public
blend150fx,0.9700319433658622,ok,True,0.9700319433658622,0.97104
blend150fx_hybrid,0.9700142363358246,ok,True,0.9700142363358246,0.97099
blend150fx_logit,0.9699498370519285,ok,True,0.9699498370519285,0.97103
blend150fx_rankraw,0.9700240718313954,ok,True,0.9700240718313954,0.97102
blend150fx_rescale,0.9700125368779351,ok,True,0.9700125368779351,0.97102
blend150sx,0.9700330480936658,ok,True,0.9700330480936658,0.97104
blend150sx_hybrid,0.9700160915169685,ok,True,0.9700160915169685,0.97101
blend150sx_logit,0.9699553831959209,ok,True,0.9699553831959209,0.97104
blend150sx_rankraw,0.9700218568548381,ok,True,0.9700218568548381,0.97102
blend150sx_rescale,0.9700170339298693,ok,True,0.9700170339298693,0.97103
blend153,0.9700343285733894,ok,True,0.9700343285733894,0.97104
blend153_hybrid,0.9700168430359333,ok,True,0.9700168430359333,0.97101
blend153_logit,0.9699540296194336,ok,True,0.9699540296194336,0.97104
blend153_rankraw,0.9700266911160214,ok,True,0.9700266911160214,0.97101
blend153_rescale,0.9700197991441539,ok,True,0.9700197991441539,0.97102
blend156,0.9700416046775032,ok,True,0.9700416046775032,0.97106
blend156_h3,0.9700461184445183,ok,True,0.9700461184445183,0.97105
blend156_hybrid,0.970023048486854,ok,True,0.970023048486854,0.97102
blend156_logit,0.9699618031215246,ok,True,0.9699618031215246,0.97105
blend156_rankraw,0.9700360784150184,ok,True,0.9700360784150184,0.97104
blend156_rescale,0.970025114813873,ok,True,0.970025114813873,0.97105
blend156w,0.970046657295287,ok,True,0.970046657295287,0.97105
blend156w2,0.9700464659091339,ok,True,0.9700464659091339,0.97105
blend158,0.9700432266594199,ok,True,0.9700432266594199,0.97106
blend158_h3,0.9700483189336571,ok,True,0.9700483189336571,0.97105
blend158_hybrid,0.9700283333245054,ok,True,0.9700283333245054,0.97103
blend158_logit,0.9699613898723587,ok,True,0.9699613898723587,0.97106
blend158_rankraw,0.9700364199222861,ok,True,0.9700364199222861,0.97104
blend158_rescale,0.9700273730091135,ok,True,0.9700273730091135,0.97105
blend159,0.9700433779222748,ok,True,0.9700433779222748,0.97106
blend159_h3,0.9700469365091934,ok,True,0.9700469365091934,0.97105
blend159_hybrid,0.9700244514017536,ok,True,0.9700244514017536,0.97103
blend159_logit,0.9699646622223983,ok,True,0.9699646622223983,0.97106
blend159_rankraw,0.9700325394457388,ok,True,0.9700325394457388,0.97105
blend159_rescale,0.9700258921564706,ok,True,0.9700258921564706,0.97105
blend159av,0.9700448767129297,ok,True,0.9700448767129297,0.97106
blend159av_h3,0.9700491721182697,ok,True,0.9700491721182697,0.97105
blend159av_hybrid,0.9700291725494377,ok,True,0.9700291725494377,0.97102
blend159av_logit,0.9699647645223465,ok,True,0.9699647645223465,0.97106
blend159av_rankraw,0.9700338606526145,ok,True,0.9700338606526145,0.97102
blend159av_rescale,0.9700286702343647,ok,True,0.9700286702343647,0.97105
blend159av_w,0.9700481784285347,ok,True,0.9700481784285347,0.97105
blend159av_wh3,0.9700492569216793,ok,True,0.9700492569216793,0.97105
blend160orig,0.9700423076141413,ok,True,0.9700423076141413,0.97106
blend160orig_h3,0.9700463311228631,ok,True,0.9700463311228631,0.97105
blend160orig_hybrid,0.9700254919891138,ok,True,0.9700254919891138,0.97102
blend160orig_logit,0.969961779850316,ok,True,0.969961779850316,0.97106
blend160orig_rankraw,0.9700342765404693,ok,True,0.9700342765404693,0.97104
blend160orig_rescale,0.9700233486631156,ok,True,0.9700233486631156,0.97105
blend160origm,0.9700442444424164,ok,True,0.9700442444424164,0.97106
blend160origm_h3,0.9700486549808679,ok,True,0.9700486549808679,0.97105
blend160origm_hybrid,0.9700273084068993,ok,True,0.9700273084068993,0.97103
blend160origm_logit,0.9699635759958649,ok,True,0.9699635759958649,0.97106
blend160origm_rankraw,0.9700331270767358,ok,True,0.9700331270767358,0.97105
blend160origm_rescale,0.9700270088294171,ok,True,0.9700270088294171,0.97105
blendtop3,0.970049460405207,ok,True,0.970049460405207,0.97105
stack_pub149_hybrid,0.9700183101166489,ok,True,0.9700183101166489,0.97099
stack_pub151_fixed_rankraw,0.9700245019225018,ok,True,0.9700245019225018,0.97103
stack_pub151_hybrid,0.9700242945519818,ok,True,0.9700242945519818,0.97099
stack_pub151_rankraw,0.970023065836235,ok,True,0.970023065836235,0.97102
stack_pub74_logit,0.9696413515631959,ok,True,0.9696413515631959,0.97081
stack_pub86_hybrid,0.9696778003750686,ok,True,0.9696778003750686,0.9708
stack_pub88_mine_logit,0.9696599465172034,ok,True,0.9696599465172034,0.97081
w14a_repro159av,0.9700436164293267,ok,True,0.9700436164293267,0.97106
w14a_repro159av_h3,0.9700472004643722,ok,True,0.9700472004643722,0.97105
w14a_repro159av_hybrid,0.9700258630141787,ok,True,0.9700258630141787,0.97102
w14a_repro159av_logit,0.969964869765448,ok,True,0.969964869765448,0.97106
w14a_repro159av_rankraw,0.9700313094207962,ok,True,0.9700313094207962,0.97105
w14a_repro159av_rescale,0.9700271740621013,ok,True,0.9700271740621013,0.97105
w15e_antistudent,,NO OOF ON DISK,False,,0.97104
w15f_antistudent_avg,,NO OOF ON DISK,False,,0.97107
w15f_antistudent_cv,,NO OOF ON DISK,False,,0.97106
w16b_cellweight,,NO OOF ON DISK,False,,0.97107
w16d_membercell,,NO OOF ON DISK,False,,0.97107
w16e_aonly,0.9700544304624675,ok,True,0.9700544304624675,0.97108
w16f_armavg,,NO OOF ON DISK,False,,0.97107
w16h_h3av6,0.9700487290113216,ok,True,0.9700487290113216,0.97105
w16i_schemeavg,0.9700556662570055,ok,True,0.9700556662570055,0.97107
w16l_maskw_h3,0.970045740213802,ok,True,0.970045740213802,0.97105
w16n_finegrid,0.9700556964750705,ok,True,0.9700556964750705,0.97107
w16q_ens4avg,0.9700515171213084,ok,True,0.9700515171213084,0.97108
w16t_cellens4,0.9700513726632269,ok,True,0.9700513726632269,0.97108
w20_ad187,0.970097889484853,ok,True,0.970097889484853,0.97116
w20_ad187_h3,0.9701008149538332,ok,True,0.9701008149538332,0.97115
