a,b,dcv,dlb,sd,p_reverse
blend150fx,blend150fx_hybrid,1.7707030037561466e-05,4.999999999999449e-05,1.4932047593493488e-05,0.126
blend150fx,blend150fx_logit,8.210631393368306e-05,1.0000000000065512e-05,2.278013862861477e-05,0.0
blend150fx,blend150fx_rankraw,7.871534466796781e-06,2.0000000000020002e-05,1.8440220877380405e-05,0.336
blend150fx,blend150fx_rescale,1.9406487927087213e-05,2.0000000000020002e-05,1.395635998278336e-05,0.094
blend150fx,blend150sx,-1.1047278037912278e-06,0.0,6.991101079793999e-06,0.44
blend150fx,blend150sx_hybrid,1.5851848893522202e-05,2.999999999997449e-05,1.597090860886748e-05,0.18
blend150fx,blend150sx_logit,7.656016994117554e-05,0.0,2.3445610247560604e-05,0.0
blend150fx,blend150sx_rankraw,1.0086511023965627e-05,2.0000000000020002e-05,1.9952891836823255e-05,0.302
blend150fx,blend153,-2.3852075274888307e-06,0.0,8.223954833628416e-06,0.366
blend150fx,blend156,-9.661311641040449e-06,-2.0000000000020002e-05,1.2196556488329965e-05,0.194
blend150fx,blend156_h3,-1.4175078656197826e-05,-9.99999999995449e-06,1.3656221438195704e-05,0.148
blend150fx,blend156_rankraw,-4.1350491563063585e-06,0.0,2.1214716452737774e-05,0.418
blend150fx,blend156_rescale,6.828551988968812e-06,-9.99999999995449e-06,1.7643341716900036e-05,0.368
blend150fx,blend156w,-1.4713929424980954e-05,-9.99999999995449e-06,1.3993283112153216e-05,0.14
blend150fx,blend156w2,-1.4522543271944244e-05,-9.99999999995449e-06,1.3957017299578704e-05,0.144
blend150fx,blend158,-1.1283293557817764e-05,-2.0000000000020002e-05,1.2583147001675623e-05,0.156
blend150fx,blend158_h3,-1.637556779499061e-05,-9.99999999995449e-06,1.3981890096538995e-05,0.1
blend150fx,blend158_hybrid,3.610041356627569e-06,1.0000000000065512e-05,1.8805591196440964e-05,0.446
blend150fx,blend158_logit,7.055349350337803e-05,-2.0000000000020002e-05,2.6439950427294848e-05,0.002
blend150fx,blend158_rankraw,-4.4765564238824496e-06,0.0,2.130970909813517e-05,0.416
blend150fx,blend158_rescale,4.570356748390125e-06,-9.99999999995449e-06,1.7980938088278993e-05,0.434
blend150fx,blend159,-1.1434556412837082e-05,-2.0000000000020002e-05,1.2654548601973947e-05,0.166
