stem,grp,zbar,zsd,n
blend158_logit,logit,2.842628394405316,0.9348654511589539,45
blend150sx_logit,logit,2.3195314191552168,1.0154842989001347,45
stack_pub88_mine_logit,logit,2.1841009789324817,0.3931180994954992,45
blend150fx_logit,logit,2.105866277799907,1.037931158150491,45
stack_pub86_hybrid,hybrid,1.7662655859821774,0.5955452422654687,45
w16q_ens4avg,ens4+corr,1.1957087966443702,1.3537578990119128,45
w16e_aonly,h3+corr,1.1170254009439091,1.3399849078167898,45
w16t_cellens4,ens4+corr,1.0724167291411966,1.2685551057244837,45
blend156_rescale,rescale,0.6940104520272838,1.1078766300942522,45
blend156,ens4,0.5762737909302199,1.386782456985192,45
blend158_rescale,rescale,0.5707555053434932,1.1059196150962844,45
blend160orig,ens4,0.5163486936528529,1.3768901892131173,45
blend158,ens4,0.44337768072449385,1.3876701307602137,45
blend159,ens4,0.4348234176983731,1.3815027331361787,45
blend160origm,ens4,0.3560816154966021,1.3693862627045374,45
blend159av,ens4,0.3065496433151324,1.3772762496200315,45
w16n_finegrid,h3+corr,0.2642204320952447,1.280593544155559,45
w16i_schemeavg,h3+corr,0.26397900662105933,1.2788086556605471,45
blend150fx,ens4,-0.17765175137715028,1.2633941644094706,45
stack_pub151_fixed_rankraw,rankraw,-0.18769371205744687,0.8920759339309954,45
blend150fx_rescale,rescale,-0.22946117498761778,1.0037342860506269,45
blend150sx,ens4,-0.27264361131798787,1.2504720718155498,45
blend156_rankraw,rankraw,-0.3168522823198716,0.8801297824503882,45
blend158_rankraw,rankraw,-0.3427939265989478,0.8807469061926261,45
blend153,ens4,-0.3840532662976615,1.2435409434773026,45
w16l_maskw_h3,h3+corr,-0.4122070495922459,1.11657685352479,45
blend158_hybrid,hybrid,-0.455044922874294,1.0524763418153638,45
blend156_h3,h3,-0.48054797720670295,1.1863359967274592,45
blend160orig_h3,h3,-0.4965099913347957,1.1739165277364378,45
blend156w2,w2,-0.5051082948089766,1.1369725924614789,45
blend156w,w,-0.5212822015912555,1.1322214115827893,45
blend159_h3,h3,-0.5551020224874388,1.1740675931653481,45
blend150sx_rankraw,rankraw,-0.5674808279445155,0.8125863258786074,45
stack_pub151_rankraw,rankraw,-0.6410714551430831,0.8213908144570343,45
blend150fx_rankraw,rankraw,-0.6754254112881665,0.797981468482161,45
blend159av_w,w,-0.681092863976859,1.1614338987400283,45
blend158_h3,h3,-0.7073395764360999,1.179184282000783,45
blend160origm_h3,h3,-0.7111560244895235,1.145479246233134,45
blend159av_wh3,wh3,-0.7503767205517001,1.1131893823658925,45
w16h_h3av6,h3+corr,-0.7574675032975847,1.1804993712729108,45
blend159av_h3,h3,-0.776934696114308,1.1558867533917074,45
blend150sx_hybrid,hybrid,-0.7923951170403961,1.0404973136143927,45
blendtop3,h3,-0.8304012327479665,1.1689826346231762,45
blend150fx_hybrid,hybrid,-1.6931621992932098,0.7970654022163022,45
stack_pub149_hybrid,hybrid,-1.8160507936403436,0.7266951344428685,45
stack_pub151_hybrid,hybrid,-2.29265721409318,0.6285217030257867,45
