a,b,dcv,dlb,sd,p_reverse,ga,gb,same,r,sd_pred,z
blend150fx,blend150fx_hybrid,1.7707030037561466e-05,4.999999999999449e-05,1.4932047593493488e-05,0.126,ens4,hybrid,False,3.229296996243303e-05,1.548007467685545e-05,2.0860991071777484
blend150fx,blend150fx_logit,8.210631393368306e-05,1.0000000000065512e-05,2.278013862861477e-05,0.0,ens4,logit,False,-7.210631393361755e-05,2.314306337988931e-05,-3.1156771577731566
blend150fx,blend150fx_rankraw,7.871534466796781e-06,2.000000000002e-05,1.8440220877380405e-05,0.336,ens4,rankraw,False,1.2128465533223217e-05,1.8886725832532297e-05,0.6421687719070921
blend150fx,blend150fx_rescale,1.9406487927087213e-05,2.000000000002e-05,1.395635998278336e-05,0.094,ens4,rescale,False,5.935120729327858e-07,1.4541205267642138e-05,0.04081587887721387
blend150fx,blend150sx,-1.1047278037912278e-06,0.0,6.991101079793999e-06,0.44,ens4,ens4,True,1.1047278037912278e-06,8.095811322811537e-06,0.136456713199138
blend150fx,blend150sx_hybrid,1.5851848893522202e-05,2.999999999997449e-05,1.597090860886748e-05,0.18,ens4,hybrid,False,1.4148151106452289e-05,1.6484434732785473e-05,0.858273355185992
blend150fx,blend150sx_logit,7.656016994117554e-05,0.0,2.3445610247560604e-05,0.0,ens4,logit,False,-7.656016994117554e-05,2.3798388738466843e-05,-3.2170316563249717
blend150fx,blend150sx_rankraw,1.0086511023965627e-05,2.000000000002e-05,1.995289183682325e-05,0.302,ens4,rankraw,False,9.913488976054371e-06,2.0366260317462178e-05,0.48676039790940284
blend150fx,blend153,-2.3852075274888307e-06,0.0,8.223954833628416e-06,0.366,ens4,ens4,True,2.3852075274888307e-06,9.181508578236305e-06,0.2597838369549299
blend150fx,blend156,-9.661311641040449e-06,-2.000000000002e-05,1.2196556488329963e-05,0.194,ens4,ens4,True,-1.033868835897955e-05,1.286167395169425e-05,-0.8038369187253148
blend150fx,blend156_h3,-1.4175078656197826e-05,-9.99999999995449e-06,1.3656221438195704e-05,0.148,ens4,h3,False,4.175078656243336e-06,1.425338733900481e-05,0.2929183468422353
blend150fx,blend156_rankraw,-4.135049156306359e-06,0.0,2.121471645273777e-05,0.418,ens4,rankraw,False,4.135049156306359e-06,2.1603954749923204e-05,0.19140241701909036
blend150fx,blend156_rescale,6.828551988968812e-06,-9.99999999995449e-06,1.7643341716900036e-05,0.368,ens4,rescale,False,-1.68285519889233e-05,1.8109505062424313e-05,-0.9292662571900498
blend150fx,blend156w,-1.4713929424980954e-05,-9.99999999995449e-06,1.3993283112153216e-05,0.14,ens4,w,False,4.713929425026464e-06,1.4576647039821574e-05,0.32338914512703776
blend150fx,blend156w2,-1.4522543271944244e-05,-9.99999999995449e-06,1.3957017299578704e-05,0.144,ens4,w2,False,4.522543271989754e-06,1.4541836148416949e-05,0.3110022163523061
blend150fx,blend158,-1.1283293557817764e-05,-2.000000000002e-05,1.2583147001675624e-05,0.156,ens4,ens4,True,-8.716706442202234e-06,1.3228841791042968e-05,-0.658916825817977
blend150fx,blend158_h3,-1.637556779499061e-05,-9.99999999995449e-06,1.3981890096538996e-05,0.1,ens4,h3,False,6.375567795036119e-06,1.4565710327284487e-05,0.4377107365023871
blend150fx,blend158_hybrid,3.610041356627569e-06,1.0000000000065512e-05,1.8805591196440964e-05,0.446,ens4,hybrid,False,6.389958643437943e-06,1.9243620421176587e-05,0.33205594911891584
blend150fx,blend158_logit,7.055349350337803e-05,-2.000000000002e-05,2.6439950427294848e-05,0.002,ens4,logit,False,-9.055349350339803e-05,2.67532735429606e-05,-3.3847631153618107
blend150fx,blend158_rankraw,-4.4765564238824496e-06,0.0,2.130970909813517e-05,0.416,ens4,rankraw,False,4.4765564238824496e-06,2.1697243339046815e-05,0.2063191325243767
blend150fx,blend158_rescale,4.570356748390125e-06,-9.99999999995449e-06,1.7980938088278993e-05,0.434,ens4,rescale,False,-1.4570356748344615e-05,1.8438568306709413e-05,-0.7902108507547608
blend150fx,blend159,-1.1434556412837082e-05,-2.000000000002e-05,1.2654548601973947e-05,0.166,ens4,ens4,True,-8.565443587182916e-06,1.3296776563753617e-05,-0.6441744392796604
blend150fx,blend159_h3,-1.4993143331309966e-05,-9.99999999995449e-06,1.439948478026956e-05,0.142,ens4,h3,False,4.993143331355476e-06,1.4967024707799523e-05,0.33360961372325926
