stem,cv,lb,fam,grp,gap,resid
w16n_finegrid,0.9700556964750705,0.97107,h3,h3+corr,0.001014303524929483,2.3560088628471042e-06
w16i_schemeavg,0.9700556662570055,0.97107,h3,h3+corr,0.0010143337429945332,2.386226927897318e-06
w16e_aonly,0.9700544304624674,0.97108,h3,h3+corr,0.0010255695375326335,1.3622021465997626e-05
w16q_ens4avg,0.9700515171213085,0.97108,ens4,ens4+corr,0.0010284828786915057,-7.222904080395054e-08
w16t_cellens4,0.9700513726632269,0.97108,ens4,ens4+corr,0.0010286273367731136,7.222904080395054e-08
blendtop3,0.9700494604052071,0.97105,h3,h3,0.0010005395947928486,-1.6043316962064107e-06
blend159av_wh3,0.9700492569216792,0.97105,wh3,wh3,0.001000743078320765,0.0
blend159av_h3,0.9700491721182697,0.97105,h3,h3,0.0010008278817302818,-1.3160447587731976e-06
w16h_h3av6,0.9700487290113214,0.97105,h3,h3+corr,0.0010012709886785265,-1.0676527388109357e-05
blend160origm_h3,0.9700486549808679,0.97105,h3,h3,0.0010013450191320716,-7.989073569833732e-07
blend158_h3,0.9700483189336571,0.97105,h3,h3,0.0010016810663429077,-4.6286014614735187e-07
blend159av_w,0.9700481784285347,0.97105,w,w,0.0010018215714652223,-7.605666238474917e-07
blend159_h3,0.9700469365091934,0.97105,h3,h3,0.0010030634908065883,9.195643175332908e-07
blend156w,0.970046657295287,0.97105,w,w,0.0010033427047129173,7.605666238474917e-07
blend156w2,0.970046465909134,0.97105,w2,w2,0.001003534090865954,0.0
blend160orig_h3,0.970046331122863,0.97105,h3,h3,0.0010036688771369873,1.5249506479322623e-06
blend156_h3,0.9700461184445183,0.97105,h3,h3,0.0010038815554817004,1.7376289926454309e-06
w16l_maskw_h3,0.970045740213802,0.97105,h3,h3+corr,0.001004259786198003,-7.687729868632908e-06
blend159av,0.9700448767129297,0.97106,ens4,ens4,0.0010151232870703186,1.6741828039457118e-06
blend160origm,0.9700442444424165,0.97106,ens4,ens4,0.0010157555575834865,2.3064533171135437e-06
blend159,0.9700433779222749,0.97106,ens4,ens4,0.0010166220777251267,3.1729734587537806e-06
blend158,0.9700432266594199,0.97106,ens4,ens4,0.001016773340580146,3.324236313773099e-06
blend160orig,0.9700423076141412,0.97106,ens4,ens4,0.0010176923858588038,4.243281592430925e-06
blend156,0.9700416046775031,0.97106,ens4,ens4,0.0010183953224969233,4.946218230550414e-06
blend158_rankraw,0.970036419922286,0.97104,rankraw,rankraw,0.0010035800777140613,2.9125414264992173e-06
blend156_rankraw,0.9700360784150184,0.97104,rankraw,rankraw,0.0010039215849816374,3.2540486940753083e-06
blend153,0.9700343285733896,0.97104,ens4,ens4,0.001005671426610455,-7.77767765591797e-06
blend150sx,0.9700330480936659,0.97104,ens4,ens4,0.0010069519063341525,-6.4971979322203666e-06
blend150fx,0.9700319433658621,0.97104,ens4,ens4,0.0010080566341379438,-5.392470128429139e-06
blend158_hybrid,0.9700283333245054,0.97103,hybrid,hybrid,0.0010016666754945058,-3.4889543392147004e-06
blend158_rescale,0.9700273730091137,0.97105,rescale,rescale,0.0010226269908862884,4.301891193566167e-06
blend156_rescale,0.9700251148138731,0.97105,rescale,rescale,0.001024885186126867,6.5600864341448534e-06
stack_pub151_fixed_rankraw,0.9700245019225019,0.97103,rankraw,rankraw,0.001005498077498057,4.830541210494978e-06
stack_pub151_hybrid,0.9700242945519819,0.97099,hybrid,hybrid,0.000965705448018106,-3.945018181561455e-05
blend150fx_rankraw,0.9700240718313953,0.97102,rankraw,rankraw,0.0009959281686047206,-4.739367682841554e-06
stack_pub151_rankraw,0.970023065836235,0.97102,rankraw,rankraw,0.0009969341637650064,-3.7333725225556762e-06
blend150sx_rankraw,0.9700218568548381,0.97102,rankraw,rankraw,0.0009981431451618894,-2.5243911256727074e-06
stack_pub149_hybrid,0.9700183101166489,0.97099,hybrid,hybrid,0.0009716898833511678,-3.346574648255274e-05
blend150sx_hybrid,0.9700160915169685,0.97101,hybrid,hybrid,0.0009939084830314915,-1.1247146802229047e-05
blend150fx_hybrid,0.9700142363358245,0.97099,hybrid,hybrid,0.0009757636641755107,-2.9391965658209784e-05
blend150fx_rescale,0.970012536877935,0.97102,rescale,rescale,0.001007463122065011,-1.0861977627711237e-05
blend158_logit,0.9699613898723587,0.97106,logit,logit,0.0010986101276413418,-4.750713005791107e-06
blend150sx_logit,0.9699553831959209,0.97104,logit,logit,0.0010846168040791193,-1.87440365680136e-05
blend150fx_logit,0.9699498370519284,0.97103,logit,logit,0.0010801629480715613,-2.3197892575571588e-05
stack_pub86_hybrid,0.9696778003750685,0.9708,hybrid,hybrid,0.0011221996249315414,0.00011704399509782082
stack_pub88_mine_logit,0.9696599465172034,0.97081,logit,logit,0.0011500534827965092,4.6692642149376296e-05
