stem,date,cv,cv_src,public,private,cv_rank,pub_rank,pri_rank
w40_ad211stdcorr,2026-08-22,0.9701374732624001,cov,0.97118,0.97094,3,3,1
w29_ad194stdcorr_rankraw,2026-08-26,0.9701005595540964,cov,0.97116,0.97093,62,19,2
w69_ad208std_h3,2026-08-25,0.9701342349514506,cov,0.97115,0.97093,7,45,3
w69_ad208std,2026-08-25,0.9701324885705639,cov,0.97117,0.97093,10,8,4
w38_ad202stdcorr_ens4,2026-08-23,0.9701349000888668,cov,0.97119,0.97093,6,1,5
w36_ad199stdcorr_ens4,2026-08-23,0.9701365874696789,cov,0.97119,0.97093,4,2,6
w40_ad211std_h3,2026-08-23,0.9701331846110895,cov,0.97116,0.97093,8,25,7
w36_ad197stdcorr,2026-08-23,0.9701286299342438,cov,0.97117,0.97093,14,10,8
w38_ad202stdcorr,2026-08-22,0.9701375890907046,cov,0.97117,0.97093,2,11,9
w40_ad211std,2026-08-22,0.9701309541017874,cov,0.97117,0.97093,12,12,10
w34_ad195stdcorr,2026-08-21,0.9701247948837451,cov,0.97117,0.97093,16,13,11
w36_ad199stdcorr,2026-08-21,0.9701400059625016,cov,0.97118,0.97093,1,4,12
w29_ad194stdcorr,2026-08-20,0.9701182875261917,cov,0.97118,0.97093,31,5,13
w29_ad194std_rankraw,2026-08-27,0.9700930067276081,cov,0.97114,0.97092,78,65,14
w34_ad196std_rankraw,2026-08-26,0.9700979782970403,cov,0.97113,0.97092,68,82,15
w69_ad208std_rescale,2026-08-25,0.9701192358913662,cov,0.97115,0.97092,29,46,16
w69_ad208std_rankraw,2026-08-25,0.9701073320136435,cov,0.97114,0.97092,50,69,17
w40_ad211std_rescale,2026-08-24,0.9701209816379527,cov,0.97116,0.97092,22,21,18
w34_ad196std_h3,2026-08-24,0.9701199172668695,cov,0.97115,0.97092,25,50,19
w34_ad195std_wh3,2026-08-24,0.9701196117472624,cov,0.97115,0.97092,26,51,20
w34_ad195std_w,2026-08-24,0.9701195043323168,cov,0.97115,0.97092,27,52,21
w34_ad196std,2026-08-24,0.970118550552755,cov,0.97116,0.97092,30,22,22
w34_ad195std,2026-08-24,0.9701181648626676,cov,0.97116,0.97092,32,23,23
w29_ad194std_h3,2026-08-24,0.9701140063799218,cov,0.97115,0.97092,36,53,24
w38_ad202std_h3,2026-08-23,0.9701330213726455,cov,0.97115,0.97092,9,54,25
w36_ad197std_h3,2026-08-23,0.9701244431160363,cov,0.97115,0.97092,17,55,26
w36_ad197std,2026-08-23,0.9701210588551309,cov,0.97116,0.97092,21,26,27
