a,b,fam,dcv,dlb,resid,sd0,var0,m,foreign
blend150fx,blend150sx,ens4,-1.1047278037912278,0.0,1.1047278037912278,7.2160328720842815,52.07113041100092,0,False
blend150fx,blend153,ens4,-2.3852075274888307,0.0,2.3852075274888307,8.530362875339353,72.76709078496788,0,False
blend150fx,blend156,ens4,-9.661311641040449,-20.000000000020002,-10.338688358979553,12.334539008230614,152.14085254556267,-2,False
blend150fx,blend158,ens4,-11.283293557817764,-20.000000000020002,-8.716706442202238,12.814543446776831,164.212523749331,-2,False
blend150fx,blend159,ens4,-11.434556412837082,-20.000000000020002,-8.56544358718292,12.775465924418874,163.2125295859878,-2,False
blend150fx,blend159av,ens4,-12.933347067645151,-20.000000000020002,-7.066652932374851,13.116745100511624,172.04900203179568,-2,False
blend150fx,blend160orig,ens4,-10.364248279159938,-20.000000000020002,-9.635751720860064,13.335334486923248,177.83114587812452,-2,False
blend150fx,blend160origm,ens4,-12.30107655447732,-20.000000000020002,-7.6989234455426825,13.245603217728005,175.4460046014865,-2,False
blend150fx,w14a_repro159av,ens4,-11.673063464723299,-20.000000000020002,-8.326936535296703,13.070651633000566,170.84193411126034,-2,False
blend150fx,w16q_ens4avg,ens4,-19.573755446478103,-40.000000000040004,-20.4262445535619,15.007086382409861,225.21264168911148,-4,False
blend150fx,w16t_cellens4,ens4,-19.4292973648702,-40.000000000040004,-20.570702635169802,16.391217295235023,268.67200441961177,-4,False
blend150fx,w20_ad187,ens4,-65.94611899091163,-120.000000000009,-54.05388100909737,28.859547513474798,832.8734826825093,-12,False
blend150fx,w21_ad187corr,ens4,-74.93800534585927,-129.99999999996348,-55.06199465410421,30.252331924428546,915.2035868657986,-13,False
blend150fx,w21_ad187corr_ens4,ens4,-71.9897015559745,-140.000000000029,-68.01029844405448,29.76132065173664,885.7362069354858,-14,False
blend150fx,w23_ad187std,ens4,-73.95388085906785,-109.99999999994348,-36.04611914087563,28.478574890187982,811.0292277760454,-11,False
blend150fx,w23_ad187stdcorr,ens4,-83.13750857524838,-120.000000000009,-36.86249142476062,29.95415188372912,897.2512150735129,-12,False
blend150fx,w27_ad188std,ens4,-77.40228220831646,-120.000000000009,-42.59771779169253,29.45758258322325,867.7491716474178,-12,False
blend150fx,w27_ad188stdcorr,ens4,-84.86423630216234,-129.99999999996348,-45.13576369780114,30.974046385757216,959.3915495070396,-13,False
