member,oof_auc,published,repro,maxcorr,nearest,credible,in_test_range
catnative,0.9686011660755198,0.968601,1.6607551978076174e-07,0.9927556807246752,bei_screen_relations,True,True
gxgbcs4,0.9684511291859809,0.968451,1.2918598091271605e-07,0.9948742334195895,lat_lgbm_s5,True,True
gcatnote,0.9684050722675743,0.968405,7.226757436917808e-08,0.992647421558522,bei_screen_relations,True,True
xgbte,0.9683719953350659,0.968372,-4.664934105669261e-09,0.9948211287982213,lat_lgbm_s5,True,True
gxgbd4,0.9683365263395127,0.968337,-4.7366048727681687e-07,0.9948901614959228,lat_lgbm_s5,True,False
gxgbd8,0.9683017762294439,0.968302,-2.2377055608480134e-07,0.9948585421476513,lat_lgbm_s5,True,True
glgbcs3,0.9683013371464966,0.968301,3.3714649660954166e-07,0.9945043131030259,lat_lgbm_s5,True,True
gcatlr02,0.9682747006756973,0.968275,-2.9932430267720633e-07,0.9947985501586689,bolt_foldsafe_te_cat,True,True
glgbd4,0.9681932018996406,0.968193,2.0189964067274246e-07,0.9940160715093126,lat_lgbm_s5,True,True
lgbte,0.9681645826366312,0.968165,-4.173633688653311e-07,0.9939323279078475,lat_lgbm_s5,True,True
lgbs7,0.9681547335467371,0.968155,-2.6645326289820304e-07,0.9939474511637248,lat_lgbm_s5,True,True
gcatseed7,0.9680932890212705,0.968093,2.890212704720341e-07,0.994300023831141,bolt_cat_nested_te,True,True
glgb127,0.9680911238550453,0.968091,1.2385504521983393e-07,0.993471003600534,lat_lgbm_s5,True,True
gcatd8,0.9679433569282856,0.967943,3.5692828559419354e-07,0.9938204181887208,bolt_foldsafe_te_cat,True,True
hgbte,0.9674683383484557,0.967468,3.3834845569735705e-07,0.9905703472778206,lat_lgbm_s5,True,True
cat_str,0.9670419019937303,,,0.9976705451277302,bei_exact_value_catboost_fixed4000,True,True
gxgbnote,0.9670417857696223,0.967042,-2.1423037765977426e-07,0.9941735974218144,bei_xgb_screen_relations_treatment110,True,False
lgbnote,0.9664905786893656,0.966491,-4.21310634379779e-07,0.9933239814364614,bei_xgb_screen_relations_treatment110,True,True
glgbnote2,0.9663810314799509,0.966381,3.147995086827393e-08,0.9929645933294605,imp_lgbm,True,True
gnn_wide,0.9640497938074364,0.96405,-2.0619256357878868e-07,0.9878943946618969,tabm_div,True,True
gnn_te,0.9639408281245131,0.963941,-1.7187548695396515e-07,0.986790996907774,tabm_div,True,True
logregte,0.958909552651975,0.95891,-4.4734802506773974e-07,0.9597498658435138,linlat,True,True
gnn_note,0.9420903597006162,0.94209,3.5970061618151306e-07,0.9890054140593824,golem_b,True,True
