rep,K,frac,n_fit,auc
0,24,0.5,276548,0.9698984591737285
0,24,0.625,345684,0.9699053857185992
0,24,0.8,442476,0.9699106193194903
0,24,1.0,553095,0.9699101411849187
0,47,0.5,276548,0.9700633549620024
0,47,0.625,345684,0.9700666623237484
0,47,0.8,442476,0.9700748936216228
0,47,1.0,553095,0.970076971585084
0,94,0.5,276548,0.9702142786660459
0,94,0.625,345684,0.9702125027557593
0,94,0.8,442476,0.9702375340964403
0,94,1.0,553095,0.9702380382372703
0,187,0.5,276548,0.9703200666694913
0,187,0.625,345684,0.9703455308557967
0,187,0.8,442476,0.9703563787638271
0,187,1.0,553095,0.9703604162036997
1,24,0.5,276548,0.9693885289700983
1,24,0.625,345684,0.9693952038251333
1,24,0.8,442476,0.9693941422623591
1,24,1.0,553095,0.9693986153387719
1,47,0.5,276548,0.9695694774701195
1,47,0.625,345684,0.9695738392904911
1,47,0.8,442476,0.9695721500254453
1,47,1.0,553095,0.9695844944984908
1,94,0.5,276548,0.9696715477203781
1,94,0.625,345684,0.969679255848453
1,94,0.8,442476,0.9696858732360008
1,94,1.0,553095,0.9697076653386463
1,187,0.5,276548,0.969780706134888
1,187,0.625,345684,0.96980618503693
1,187,0.8,442476,0.9698204738900713
1,187,1.0,553095,0.9698411583798365
2,24,0.5,276548,0.9698736130483501
2,24,0.625,345684,0.969880759821827
2,24,0.8,442476,0.9698804929088158
2,24,1.0,553095,0.9698834667561577
2,47,0.5,276548,0.9700470218901057
2,47,0.625,345684,0.9700436097421681
2,47,0.8,442476,0.9700653201471049
2,47,1.0,553095,0.9700573069212203
2,94,0.5,276548,0.9701361261811774
2,94,0.625,345684,0.9701487006510334
2,94,0.8,442476,0.9701626888464578
2,94,1.0,553095,0.9701621092240493
2,187,0.5,276548,0.9702727428911287
2,187,0.625,345684,0.9702829402621241
2,187,0.8,442476,0.9702976624683293
2,187,1.0,553095,0.9703185378820877
