rep,cell,dtype,std,n_iter,secs,fit_logloss,auc
0,f32_std0,float32,False,319,90.1,0.20034643943540684,0.9703604162036997
0,f32_std1,float32,True,75,19.4,0.20036522048996386,0.9703747903066243
0,f64_std0,float64,False,686,233.1,0.20031779977068812,0.9703668630916813
0,f64_std1,float64,True,65,22.2,0.20038475292704896,0.9703699239648432
1,f32_std0,float32,False,585,155.7,0.19985620759666137,0.9698411583798365
1,f32_std1,float32,True,68,18.7,0.19989231494061402,0.9698654095327709
1,f64_std0,float64,False,776,250.8,0.19984860409664612,0.9698494900238097
1,f64_std1,float64,True,93,29.8,0.19988935712350508,0.9698657646133406
2,f32_std0,float32,False,339,86.5,0.20026547752558801,0.9703185378820877
2,f32_std1,float32,True,64,14.5,0.20032945270275362,0.9703375554341312
2,f64_std0,float64,False,792,163.2,0.20023737997992513,0.9703233080641432
2,f64_std1,float64,True,86,15.6,0.20027532993554292,0.9703377000542989
