stem,cv,lb,n_sent,gap
w23_ad187stdcorr,0.9701150808744374,0.97116,1,0.0010449191255625934
w23_ad187std_h3,0.9701092750631358,0.97114,1,0.0010307249368641802
w21_ad187corr,0.970106881371208,0.97117,1,0.001063118628791937
w23_ad187std,0.9701058972467212,0.97115,1,0.0010441027532787084
w21_ad187corr_ens4,0.9701039330674182,0.97118,1,0.0010760669325818872
w20_ad187_h3,0.9701008149538332,0.97115,1,0.0010491850461668006
w22_ad187corr_rankraw,0.9701001354964539,0.97117,1,0.0010698645035460697
w20_ad187,0.970097889484853,0.97116,1,0.0010621105151470411
w23_ad187std_h3_hybrid,0.9700977969987988,0.97112,1,0.0010222030012011496
w23_ad187std_h3_rescale,0.9700937038591301,0.97114,1,0.001046296140869929
w23_ad187std_h3_rankraw,0.97009179122053,0.97114,1,0.0010482087794699835
w20_ad187_rankraw,0.9700915299750819,0.97114,1,0.0010484700249181467
w20_ad187_rescale,0.9700778470728432,0.97115,1,0.0010721529271567887
w20_ad187_hybrid,0.9700773469651351,0.97113,1,0.0010526530348649032
w16n_finegrid,0.9700556964750705,0.97107,1,0.001014303524929483
w16i_schemeavg,0.9700556662570055,0.97107,1,0.0010143337429945332
w16e_aonly,0.9700544304624675,0.97108,1,0.0010255695375325224
w16q_ens4avg,0.9700515171213084,0.97108,1,0.0010284828786916167
w16t_cellens4,0.9700513726632269,0.97108,1,0.0010286273367731136
blendtop3,0.970049460405207,0.97105,1,0.0010005395947929596
blend159av_wh3,0.9700492569216793,0.97105,1,0.001000743078320654
blend159av_h3,0.9700491721182697,0.97105,1,0.0010008278817302818
w16h_h3av6,0.9700487290113216,0.97105,1,0.0010012709886784155
blend160origm_h3,0.9700486549808679,0.97105,1,0.0010013450191320716
blend158_h3,0.9700483189336571,0.97105,1,0.0010016810663429077
blend159av_w,0.9700481784285347,0.97105,1,0.0010018215714652223
w14a_repro159av_h3,0.9700472004643722,0.97105,1,0.001002799535627763
blend159_h3,0.9700469365091934,0.97105,1,0.0010030634908065883
blend156w,0.970046657295287,0.97105,1,0.0010033427047129173
blend156w2,0.9700464659091339,0.97105,1,0.001003534090866065
blend160orig_h3,0.9700463311228631,0.97105,1,0.0010036688771368762
blend156_h3,0.9700461184445183,0.97105,1,0.0010038815554817004
w16l_maskw_h3,0.970045740213802,0.97105,1,0.001004259786198003
blend159av,0.9700448767129297,0.97106,1,0.0010151232870703186
blend160origm,0.9700442444424164,0.97106,1,0.0010157555575835975
w14a_repro159av,0.9700436164293267,0.97106,1,0.0010163835706733515
blend159,0.9700433779222748,0.97106,1,0.0010166220777252377
blend158,0.9700432266594199,0.97106,1,0.001016773340580146
blend160orig,0.9700423076141413,0.97106,1,0.0010176923858586928
blend156,0.9700416046775032,0.97106,1,0.0010183953224968123
blend158_rankraw,0.9700364199222861,0.97104,1,0.0010035800777139503
blend156_rankraw,0.9700360784150184,0.97104,1,0.0010039215849816374
blend153,0.9700343285733894,0.97104,1,0.001005671426610566
blend159av_rankraw,0.9700338606526145,0.97102,1,0.0009861393473854507
blend150sx,0.9700330480936658,0.97104,1,0.0010069519063342636
blend150fx,0.9700319433658622,0.97104,1,0.0010080566341378328
w23_ad187std_logit,0.9700298054694743,0.97114,1,0.0011101945305257432
blend159av_hybrid,0.9700291725494377,0.97102,1,0.0009908274505623371
blend158_hybrid,0.9700283333245054,0.97103,1,0.0010016666754945058
blend158_rescale,0.9700273730091135,0.97105,1,0.0010226269908865104
blend156_rescale,0.970025114813873,0.97105,1,0.001024885186126978
stack_pub151_fixed_rankraw,0.9700245019225018,0.97103,1,0.001005498077498168
stack_pub151_hybrid,0.9700242945519818,0.97099,1,0.000965705448018217
blend150fx_rankraw,0.9700240718313954,0.97102,1,0.0009959281686046095
stack_pub151_rankraw,0.970023065836235,0.97102,1,0.0009969341637650064
blend150sx_rankraw,0.9700218568548381,0.97102,1,0.0009981431451618894
stack_pub149_hybrid,0.9700183101166489,0.97099,1,0.0009716898833511678
blend150sx_hybrid,0.9700160915169685,0.97101,1,0.0009939084830314915
blend150fx_hybrid,0.9700142363358246,0.97099,1,0.0009757636641753997
blend150fx_rescale,0.9700125368779351,0.97102,1,0.0010074631220649
blend159av_logit,0.9699647645223465,0.97106,1,0.0010952354776535556
blend158_logit,0.9699613898723587,0.97106,1,0.0010986101276413418
blend150sx_logit,0.9699553831959209,0.97104,1,0.0010846168040791193
blend150fx_logit,0.9699498370519285,0.97103,1,0.0010801629480714503
stack_pub86_hybrid,0.9696778003750686,0.9708,1,0.0011221996249314303
stack_pub88_mine_logit,0.9696599465172034,0.97081,1,0.0011500534827965092
stack_pub74_logit,0.9696413515631959,0.97081,1,0.0011686484368040873
w15e_antistudent,,0.97104,1,
w15f_antistudent_avg,,0.97107,1,
w16b_cellweight,,0.97107,1,
w16f_armavg,,0.97107,1,
