stem,cv,lb,n_sent,gap,fam,set,gap6
w23_ad187stdcorr,0.9701150808744374,0.97116,1,0.0010449191255625,ens4,w23_ad187stdcorr,1044.9191255624999
w21_ad187corr,0.970106881371208,0.97117,1,0.0010631186287919,ens4,w21_ad187corr,1063.1186287919002
w21_ad187corr_ens4,0.9701039330674182,0.97118,1,0.0010760669325818,ens4,w21_ad187corr_ens4,1076.0669325818
w20_ad187_h3,0.9701008149538332,0.97115,1,0.0010491850461668,h3,w20_ad187,1049.1850461668
w20_ad187,0.970097889484853,0.97116,1,0.001062110515147,ens4,w20_ad187,1062.110515147
w20_ad187_rankraw,0.970091529975082,0.97114,1,0.0010484700249181,rankraw,w20_ad187,1048.4700249181
w16n_finegrid,0.9700556964750704,0.97107,1,0.0010143035249294,ens4,w16n_finegrid,1014.3035249293999
w16i_schemeavg,0.9700556662570056,0.97107,1,0.0010143337429945,ens4,w16i_schemeavg,1014.3337429945
w16e_aonly,0.9700544304624676,0.97108,1,0.0010255695375325,ens4,w16e_aonly,1025.5695375325
w16q_ens4avg,0.9700515171213084,0.97108,1,0.0010284828786916,ens4,w16q_ens4avg,1028.4828786916
w16t_cellens4,0.9700513726632268,0.97108,1,0.0010286273367731,ens4,w16t_cellens4,1028.6273367730998
blendtop3,0.970049460405207,0.97105,1,0.0010005395947929,ens4,blendtop3,1000.5395947929
blend159av_wh3,0.9700492569216792,0.97105,1,0.0010007430783206,wh3,blend159av,1000.7430783205999
blend159av_h3,0.9700491721182696,0.97105,1,0.0010008278817302,h3,blend159av,1000.8278817302
w16h_h3av6,0.9700487290113216,0.97105,1,0.0010012709886784,ens4,w16h_h3av6,1001.2709886784
blend160origm_h3,0.970048654980868,0.97105,1,0.001001345019132,h3,blend160origm,1001.3450191320001
blend158_h3,0.9700483189336572,0.97105,1,0.0010016810663429,h3,blend158,1001.6810663429001
blend159av_w,0.9700481784285347,0.97105,1,0.0010018215714652,w,blend159av,1001.8215714652
w14a_repro159av_h3,0.9700472004643722,0.97105,1,0.0010027995356277,h3,w14a_repro159av,1002.7995356276999
blend159_h3,0.9700469365091934,0.97105,1,0.0010030634908065,h3,blend159,1003.0634908065
blend156w,0.970046657295287,0.97105,1,0.0010033427047129,w,blend156w,1003.3427047129
blend156w2,0.970046465909134,0.97105,1,0.001003534090866,w,blend156w2,1003.534090866
blend160orig_h3,0.9700463311228632,0.97105,1,0.0010036688771368,h3,blend160orig,1003.6688771367999
blend156_h3,0.9700461184445184,0.97105,1,0.0010038815554817,h3,blend156,1003.8815554817
w16l_maskw_h3,0.970045740213802,0.97105,1,0.001004259786198,h3,w16l_maskw,1004.2597861979999
blend159av,0.9700448767129296,0.97106,1,0.0010151232870703,ens4,blend159av,1015.1232870703
