kind,rep,arm,hold_auc,n_iter,secs
hybrid,0,unstd,0.9703668630916812,686,117.43454623222352
hybrid,0,std,0.9703699239648432,65,11.008857011795044
hybrid,1,unstd,0.9698494900238096,776,133.52620911598206
hybrid,1,std,0.9698657646133406,93,15.651031732559204
hybrid,2,unstd,0.9703233080641432,792,136.56397461891174
hybrid,2,std,0.9703377000542988,86,14.80105471611023
hybrid,3,unstd,0.9698689967472274,750,127.64111638069151
hybrid,3,std,0.9698605278409546,74,12.8180673122406
hybrid,4,unstd,0.9701480657177536,694,119.07609510421752
hybrid,4,std,0.9701438268245244,75,12.420716285705566
rankraw,0,unstd,0.9703733923116704,75,12.902316093444824
rankraw,0,std,0.970367890148591,86,15.376327276229858
rankraw,1,unstd,0.9698678966190748,89,15.138924837112429
rankraw,1,std,0.9698642707123808,79,14.025627136230469
rankraw,2,unstd,0.9703142672739096,84,14.934555053710938
rankraw,2,std,0.970311667916686,79,13.856969356536863
rankraw,3,unstd,0.9698413986522904,92,16.397513389587402
rankraw,3,std,0.969842422157126,84,14.209453821182253
rankraw,4,unstd,0.97015566715674,86,14.75391411781311
rankraw,4,std,0.9701559878583048,85,15.075644969940186
rescale,0,unstd,0.9703376224161036,134,22.53731751441956
rescale,0,std,0.9703602506516658,99,17.189383268356323
rescale,1,unstd,0.9698124804543148,157,26.83791756629944
rescale,1,std,0.9698434837199004,80,13.771968364715576
rescale,2,unstd,0.9703083167883104,196,33.04003667831421
rescale,2,std,0.9703258203955464,95,16.10649037361145
rescale,3,unstd,0.9698492327521432,151,25.414352416992188
rescale,3,std,0.969852575000333,84,14.88461971282959
rescale,4,unstd,0.9701381470577304,135,23.364495277404785
rescale,4,std,0.970142905314965,81,13.92638874053955
