kind,rep,arm,hold_auc,n_iter,secs
rankraw,0,unstd,0.9703733923116704,75,12.902316093444824
rankraw,0,std,0.970367890148591,86,15.376327276229858
rankraw,1,unstd,0.9698678966190749,89,15.138924837112427
rankraw,1,std,0.9698642707123808,79,14.025627136230469
rankraw,2,unstd,0.9703142672739096,84,14.934555053710938
rankraw,2,std,0.9703116679166861,79,13.856969356536865
rankraw,3,unstd,0.9698413986522905,92,16.397513389587402
rankraw,3,std,0.969842422157126,84,14.209453821182251
rankraw,4,unstd,0.97015566715674,86,14.75391411781311
rankraw,4,std,0.9701559878583047,85,15.075644969940186
