stem,cv,lb,n_sent,gap,fam,std,in_w25f,pred,res6
w23_ad187stdcorr,0.9701150808744374,0.97116,1,0.0010449191255625934,h3,True,True,0.9711546602868204,5.339713179619565
w27_ad188std_h3,0.970111472035714,0.97115,1,0.0010385279642859402,h3,True,False,0.9711476553318795,2.3446681204353226
w27_ad188std,0.9701093456480703,0.97116,1,0.0010506543519297473,ens4,True,False,0.971157426386973,2.5736130270237467
w23_ad187std_h3,0.9701092750631358,0.97114,1,0.0010307249368641802,h3,True,True,0.9711433908869719,-3.3908869718768386
w21_ad187corr,0.970106881371208,0.97117,1,0.001063118628791937,h3,False,True,0.9711658788605148,4.121139485224745
w23_ad187std,0.9701058972467212,0.97115,1,0.0010441027532787084,ens4,True,True,0.9711507328498217,-0.732849821716286
w21_ad187corr_ens4,0.9701039330674182,0.97118,1,0.0010760669325818872,ens4,False,True,0.9711740545310509,5.9454689491644785
w20_ad187_h3,0.9701008149538332,0.97115,1,0.0010491850461668006,h3,False,True,0.9711541036099092,-4.1036099092117695
w22_ad187corr_rankraw,0.9701001354964539,0.97117,1,0.0010698645035460697,rankraw,False,True,0.9711672683972373,2.731602762651164
w20_ad187,0.970097889484853,0.97116,1,0.0010621105151470411,ens4,False,True,0.97116232360407,-2.323604069931484
w23_ad187std_h3_hybrid,0.9700977969987988,0.97112,1,0.0010222030012011496,hybrid,True,True,0.9711269428619751,-6.94286197511218
w23_ad187std_h3_rescale,0.9700937038591301,0.97114,1,0.001046296140869929,rescale,True,True,0.9711503356783504,-10.335678350403832
w23_ad187std_h3_rankraw,0.97009179122053,0.97114,1,0.0010482087794699835,rankraw,True,True,0.9711239374360404,16.062563959584608
w20_ad187_rankraw,0.9700915299750819,0.97114,1,0.0010484700249181467,rankraw,False,True,0.9711505646057759,-10.5646057758646
w20_ad187_rescale,0.9700778470728432,0.97115,1,0.0010721529271567887,rescale,False,True,0.9711466910434343,3.3089565656396758
w20_ad187_hybrid,0.9700773469651351,0.97113,1,0.0010526530348649032,hybrid,False,True,0.9711143824806452,15.617519354860221
w16n_finegrid,0.9700556964750705,0.97107,1,0.001014303524929483,ens4,False,True,0.9710804246457073,-10.424645707329816
w16i_schemeavg,0.9700556662570055,0.97107,1,0.0010143337429945332,ens4,False,True,0.971080365990777,-10.365990776972644
w16e_aonly,0.9700544304624675,0.97108,1,0.0010255695375325224,ens4,False,True,0.9710779672454415,2.03275455856744
