cand,cv,d_cv,rho
w27_ad188stdcorr,0.9701168076021643,-1.3268140900413172,0.9999715213375359
w23_ad187stdcorr,0.9701150808744374,-3.053541816955274,0.9999301195931029
w27_ad190std_h3,0.9701133391214054,-4.795294848980447,0.9999745411596891
w27_ad190std,0.970110933814171,-7.200602083368146,0.9998587862781543
w27_ad188raw_h3,0.9701136018891743,-4.532527080103321,0.9999349749003852
w21_ad187corr_ens4,0.9701039330674182,-14.201348836229144,0.9997723325097733
w22_ad187corr_rankraw,0.9701001354964539,-17.998919800477076,0.9996298959166509
w27_ad190std_rankraw,0.9700951828849882,-22.951531266190983,0.999662608560892
w27_ad190std_logit,0.9700395047477925,-78.62966846183816,0.9981996071578518
w16i_schemeavg,0.9700556662570055,-62.46815924892957,0.9996376593070725
