member,n_oof,n_test,g1_ids,g2_label_mismatch,g2_labels,solo_auc,log_auc,g3_auc_diff,g3_auc,fold_ours,fold_theirs,g4_maxdiff,g4_folds,g5_credible,test_min,test_max,es_on_val,verdict,maxcorr
cat,691369,296302,True,0,True,0.9671499133186101,0.96715,-8.668138984369023e-08,True,0.96645 0.96730 0.96751 0.96765 0.96686,0.96645 0.96730 0.96751 0.96765 0.96686,4.835786952095411e-06,True,True,0.0002129184704244,0.9999848157167436,False,PASS,0.9933629343944885
cnn,691369,296302,True,0,True,0.967705633496061,0.96771,-4.366503938979527e-06,True,0.96704 0.96788 0.96785 0.96840 0.96748,0.96704 0.96788 0.96785 0.96840 0.96748,2.7780879606753572e-06,True,True,0.0014290809631347,0.999755859375,True,PASS,0.9569480256663093
flamllgb,691369,296302,True,0,True,0.9663407222810896,0.96634,7.222810896045928e-07,True,0.96588 0.96623 0.96666 0.96687 0.96605,0.96588 0.96623 0.96666 0.96687 0.96605,4.568880639266304e-06,True,True,4.049922039000749e-06,0.999875802390804,True,PASS,0.9873611821029907
flamlxgb,691369,296302,True,0,True,0.9679800816760007,0.96798,8.167600074049375e-08,True,0.96727 0.96802 0.96802 0.96864 0.96794,0.96727 0.96802 0.96802 0.96864 0.96794,4.925517727683015e-06,True,True,2.9024441279505367e-05,0.999732705145426,True,PASS,0.9944296627397758
ftt,691369,296302,True,0,True,0.9665681105565826,0.96657,-1.8894434173910568e-06,True,0.96633 0.96742 0.96716 0.96716 0.96625,0.96633 0.96742 0.96716 0.96716 0.96625,3.803540119196036e-06,True,True,0.0016393482655985,0.9999613016843796,False,PASS,0.9843981340890627
realmlp,691369,296302,True,0,True,0.968436452502668,0.96844,-3.547497332001548e-06,True,0.96775 0.96849 0.96872 0.96902 0.96824,0.96775 0.96849 0.96872 0.96902 0.96824,4.260481912155001e-06,True,True,0.0001157723627329,0.9999006539583206,False,ALREADY_HELD,1.0000000000023261
resnet,691369,296302,True,0,True,0.9661023627979219,0.9661,2.3627979219842388e-06,True,0.96529 0.96621 0.96640 0.96689 0.96596,0.96529 0.96621 0.96640 0.96689 0.96596,4.198661420873329e-06,True,True,4.025688940600958e-05,1.0000000149011612,False,ALREADY_HELD,1.0000000000022726
tabm,691369,296302,True,0,True,0.9675077199415221,0.96751,-2.2800584779103517e-06,True,0.96673 0.96778 0.96772 0.96840 0.96732,0.96673 0.96778 0.96772 0.96840 0.96732,4.491583227461682e-06,True,True,3.324043541397259e-05,1.0000000149011612,True,ALREADY_HELD,1.0000000000027918
tabnet,691369,296302,True,0,True,0.9675594948587001,0.96756,-5.051412999002025e-07,True,0.96692 0.96746 0.96790 0.96831 0.96737,0.96692 0.96746 0.96790 0.96831 0.96737,4.658413386704474e-06,True,True,0.0002944150219263,0.9999996572732924,False,ALREADY_HELD,1.0000000000023368
tabtrans,691369,296302,True,0,True,0.9674689212145893,0.96747,-1.078785410779659e-06,True,0.96704 0.96792 0.96775 0.96830 0.96745,0.96704 0.96792 0.96775 0.96830 0.96745,4.814759370086463e-06,True,True,0.0058422088623046,0.9993896484375,True,PASS,0.9685180210407343
xgb,691369,296302,True,0,True,0.9679800816760007,0.96798,8.167600074049375e-08,True,0.96727 0.96802 0.96802 0.96864 0.96794,0.96727 0.96802 0.96802 0.96864 0.96794,4.925517727683015e-06,True,True,2.9024441279505367e-05,0.999732705145426,True,DUP,
xgb2,691369,296302,True,0,True,0.9687331699655731,0.96873,3.169965573146527e-06,True,0.96808 0.96890 0.96888 0.96935 0.96847,0.96808 0.96890 0.96888 0.96935 0.96847,3.6453021615701076e-06,True,True,6.756143193342723e-05,1.0000000149011612,True,PASS,0.994460005066449
