najiama/s6e8-addiction-lb-0-97113,S6E8 Addiction LB 0.97113,Naji,2026-08-17 04:19:11.657000,77
raykkretzschmar/why-every-s6e8-notebook-above-0-97110-overfits,Why Every S6E8 Notebook Above 0.97110 Overfits,Rayk Kretzschmar,2026-08-19 11:36:55.897000,59
mpwolke/nomobilephone-nomophobia-optuna-xgb,NoMobilePHOne(Nomophobia) Optuna XGB,Marília Prata,2026-08-01 02:04:10.653000,56
adarsh1077/s6e8-diversity-beats-strength,S6E8 Diversity Beats Strength,AdarshAleti,2026-08-19 10:46:14.163000,51
szymonkapiski/s6e8-honest-oof-blend,S6E8 honest OOF blend,Szymon Kłapiński,2026-08-04 12:42:13.953000,51
georgymamarin/s6e8-why-gaming-hours-helps-but-adds-nothing-new,S6E8: why gaming_hours helps but adds nothing new,Georgy Mamarin,2026-08-18 07:31:36.357000,46
koushikkumardinda/robust-ensembling-target-encoding-pipeline,📱 Robust Ensembling & Target Encoding Pipeline ,KOUSHIK KUMAR DINDA,2026-08-20 10:06:08.253000,44
tomasa2/s6e8-what-moved-the-score-and-what-didn-t,"S6E8: What Moved the Score, and What Didn't",tomasa2,2026-08-20 17:15:17.623000,42
vh10935cse20/mobile-addiction-lgbm,Mobile Addiction || LGBM,SARANG,2026-08-20 16:13:38.813000,37
anthonytherrien/predicting-smartphone-addict-nn-residual-network,Predicting Smartphone Addict | NN Residual Network,AnthonyTherrien,2026-08-17 10:24:55.217000,35
daniilkrasnovvv/s6e8-top-1-public-0-97099,[S6E8] TOP-1 PUBLIC 0.97099🔥🔥🔥,Krasnov Daniil,2026-08-13 06:48:43.383000,35
tamerlanomralinov/s6e8-lookup-transformer-insights-lb-0-97041,S6E8 | Lookup-Transformer + Insights lb 0.97041 ,Tamerlan Omralinov,2026-08-04 19:42:12.647000,34
kava1/predicting-smartphone-addiction-lightgbm-fe,Predicting Smartphone Addiction - Lightgbm + FE,kava1,2026-08-20 12:55:59.117000,34
omidbaghchehsaraei/hill-climbing-ensemble-for-smartphone-addiction,Hill Climbing Ensemble for Smartphone Addiction,OMID BAGHCHEH SARAEI,2026-08-19 14:15:54.797000,31
amanatar/s6e8-elite-rank-average-ensemble-0-97092,S6E8: Elite Rank Average Ensemble [0.97092],Aman Atar,2026-08-19 20:20:08.150000,30
riponce/1-public-lb-0-97068-honest-55-model-stack,🥇 #1 Public LB 0.97068 | Honest 55-Model Stack,Ripon C. Malo,2026-08-03 03:52:07.067000,28
donmarch14/s6e8-lgbm,S6E8: LGBM,Don Mani,2026-08-04 03:09:55.667000,23
nikita7364777/s6e8-rank-blend-65-35,S6E8 Rank blend (65/35),r0tor,2026-08-12 10:17:10.847000,21
donmarch14/s6e8-catboost,S6E8: CatBoost,Don Mani,2026-08-04 08:39:51.397000,21
thisray/s6e8-addiction-blend-lb-0-97117,S6E8 Addiction Blend LB 0.97117,thisray,2026-08-18 15:10:38.413000,20
rugvedbane/s6e8-13-fe-features-xgboost-optuna-0-96602,S6E8 | 13 FE Features + XGBoost + Optuna | 0.96602,Rugved Bane,2026-08-08 14:58:09.067000,20
sarveshchhetri/complete-eda-predicting-smartphone-addition,Complete EDA: Predicting Smartphone Addition,Sarvesh Chhetri,2026-08-06 16:50:10.190000,20
devashish001/predicting-smartphone-addiction,predicting-smartphone-addiction,Devashish,2026-08-19 02:51:07.273000,19
ravi20076/playgrounds6e8-public-l2stack-v1,PlaygroundS6E8|Public|L2Stack|V1,Ravi Ramakrishnan,2026-08-08 05:36:30.160000,18
ern711/contextualized-deep-univariate-spline-transformer,Contextualized Deep Univariate Spline Transformer,Ern711,2026-08-15 17:47:16.697000,17
redamountassir/s6e8-histgradientboosting-lb-0-96945,S6E8: HistGradientBoosting | LB 0.96945,Reda Mountassir,2026-08-06 08:48:17.080000,17
jek1wantaufik/predicting-smartphone-addiction,Predicting smartphone addiction,Jeki Wan Taufik,2026-08-03 08:43:25.227000,17
hamidrana/smartphone-addiction-prediction-ann,📱 Smartphone Addiction Prediction | ANN,Muhammad Hamid Raza,2026-08-02 16:10:31.970000,17
zhenruiweng/realmlp-for-predicting-smartphone-addiction,RealMLP for Predicting Smartphone Addiction,Zhenrui.Weng,2026-08-02 07:18:37.677000,17
omidbaghchehsaraei/realmlp-for-predicting-smartphone-addiction,RealMLP for Predicting Smartphone Addiction,OMID BAGHCHEH SARAEI,2026-08-01 20:26:22.647000,17
kunaldesale2408/s6e8-smartphone-addiction,S6E8 Smartphone Addiction,Kunal Desale,2026-08-19 14:19:18.113000,16
zhenruiweng/s6e8-public-lb-0-97009-single-model-realmlp,S6E8||Public LB 0.97009||Single Model RealMLP,Zhenrui.Weng,2026-08-06 16:03:45.390000,16
omidbaghchehsaraei/tabm-for-predicting-smartphone-addiction,TabM for Predicting Smartphone Addiction,OMID BAGHCHEH SARAEI,2026-08-02 00:29:45.990000,16
avikdas567/feature-engineered-gbdt-smartphone-addiction-auc,Feature-Engineered GBDT: Smartphone Addiction AUC,Avik Das,2026-08-01 12:44:48.820000,16
evgendvorkin/s6e8-single-lgb, S6E8 Single LGB,Дворкин Евгений Владимирович,2026-08-04 18:17:46.023000,16
redamountassir/s6e8-lgbm-lb-0-96965,S6E8: LGBM | LB 0.96965,Reda Mountassir,2026-08-06 08:50:09.903000,15
nawfeelrahman1124444/realmlp-0-97014,🔥RealMLP --> 0.97014 ✅,(ノ◡ <),2026-08-02 13:15:29.823000,15
vladstud716373618/s6e8-catboost-feature-ablation-600-11-best,S6E8: CatBoost Feature Ablation (600+ -> 11 best),Vlad Studennykov,2026-08-15 10:13:54.483000,14
kitopl/eda-lightgbm,【日本語】EDA + LightGBM:相関ゼロの列を捨てる前に,kito_pl,2026-08-14 11:25:23.003000,14
daniilkrasnovvv/s6e8-top-5-memes,S6E8: TOP 5% + Memes,Krasnov Daniil,2026-08-11 10:10:21.817000,13
danushkumarv/smartphone-addiction-gbm-rank-blend-nb01,Smartphone addiction GBM rank blend nb01,Danushkumar Venkadesh,2026-08-04 10:42:21.810000,13
bhaskarmishra44796/ps-s6e8-eda-xgb-lgbm-ensemble,PS:S6E8 EDA+ XGB LGBM Ensemble,Korty,2026-08-20 16:02:58.807000,12
cv13j0/smartphone-addiction,Smartphone Addiction,C4rl05/V,2026-08-04 01:13:34.227000,12
mikhailnaumov/smartphone-addiction-xgb,Smartphone Addiction | XGB,Mikhail Naumov,2026-08-20 06:18:37.583000,12
souvikdbiswas/mobile-addiction-0-965-lgbm-xgb-ensemble,Mobile Addiction |0.965+| LGBM & XGB Ensemble,Souvik_D_Biswas,2026-08-15 19:07:06.020000,11
mubashirulhassan00/predicting-smartphone-addiction-s6e8-auc-0-96,Predicting Smartphone Addiction | S6E8 | AUC 0.96,Mubashir Ul Hassan,2026-08-11 23:04:57.687000,11
lucifer19/smartaddict-oof-signal-forge,🧠⚡ SmartAddict — OOF Signal Forge ,Krizsó Gergely,2026-08-07 14:04:59.853000,11
anhadmahajan06/s6e8-u-smart-phone-addict,S6E8 | U Smart Phone Addict?,Anhad Mahajan,2026-08-10 14:14:08.430000,11
omidbaghchehsaraei/xgboost-for-predicting-smartphone-addiction,XGBoost for Predicting Smartphone Addiction,OMID BAGHCHEH SARAEI,2026-08-01 16:51:54.840000,11
pavloivanin/predicting-smartphone-addiction-eda, 📱 Predicting Smartphone Addiction - EDA ,Pavlo Ivanin,2026-08-01 00:41:37.757000,11
daniilkrasnovvv/s6e8-current-best-open-solution-memes-2,[S6E8] - Current best open solution + Memes #2🔥,Krasnov Daniil,2026-08-13 06:46:49.613000,10
rauffauzanrambe/s6e8-technology-addiction-lb-0-97092-prime,S6E8 Technology Addiction LB 0.97092 Prime 🔥,Ra'uf Fauzan Rambe,2026-08-10 04:38:12.380000,10
georgymamarin/three-of-seven-s6-boards-erased-the-public-top-ten,Three of seven S6 boards erased the public top ten,Georgy Mamarin,2026-08-17 19:33:36.717000,10
hamidrana/preprocessing-dataset,Preprocessing DataSet,Muhammad Hamid Raza,2026-08-03 14:39:19.793000,10
santosh1974/s6-e8-eda,S6:E8|EDA,Santosh Vaidya,2026-08-01 14:54:34.567000,10
tuannm3812/smartphone-addiction-eda,Smartphone Addiction - EDA,tuannm3812,2026-08-01 14:01:19.273000,10
yajatpawar/behind-the-screen-deep-eda-lgbm-baseline,Behind the Screen: Deep EDA + LGBM Baseline,YAJAT PAWAR,2026-08-01 07:59:36.920000,10
riyaraj9/s6e8-smartphone-addiction-prediction-ml-model,S6E8:Smartphone addiction Prediction -ML model ,Riya Raj,2026-08-04 06:58:36.407000,10
pavloivanin/baseline,🚀 Baseline,Pavlo Ivanin,2026-08-02 00:11:31.987000,10
ern711/multi-level-deep-univariate-spline-transformer,Multi-Level Deep Univariate Spline Transformer,Ern711,2026-08-17 12:50:43.153000,9
sarveshchhetri/triple-ensemble-lightgbm-xgboost-catboost,Triple Ensemble: LightGBM + XGBoost + CatBoost,Sarvesh Chhetri,2026-08-18 16:37:10.137000,9
shayanzk/smartphone-addiction-a-statistical-deep-dive,Smartphone Addiction — A Statistical Deep Dive,Shayan Zulfiqar,2026-08-12 07:06:16.313000,9
lopure/hdviz-pca-parallel-with-linear-svm,HDViz(PCA+ Parallel) with Linear SVM,Who am I?,2026-08-14 12:15:13.077000,9
muhammadshoaibaltaf/predicting-smartphone-addiction-playground-s6e8,Predicting Smartphone Addiction — Playground S6E8,Muhammad Shoaib Altaf,2026-08-10 15:52:52.517000,9
jimgruman/addiction,📱Addiction,Jim Gruman,2026-08-13 20:02:48.240000,9
mohankrishnathalla/s6e8-xgb-tuner-oof-saver,S6E8 | XGB Tuner | OOF Saver,Mohan Krishna Thalla,2026-08-15 06:55:30.727000,9
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,"Baseline:LGBM+XGB+CB, Rank Averaged OOF-tuned",Factual Explorer,2026-08-19 08:27:46.867000,9
thuandao/smartphone-addiction,📱 Smartphone Addiction ⚠️,Đào Minh Thuấn 🎖️,2026-08-15 15:07:30.630000,9
johnsebin97/j-s-sfa-2-2,J's SFA 2.2,SebinChristo,2026-08-20 07:47:01.237000,8
vishal567/smartphone-addiction-signal-or-shortcut,Smartphone Addiction: Signal or Shortcut?,Vishal Khomane,2026-08-12 10:31:45.337000,8
kodaifukuda0311/s6e8-xgb-the-power-of-exact-value-te-fe,S6E8 | XGB: The Power of Exact-Value TE & FE,Kodai Fukuda,2026-08-17 06:04:32.647000,8
sarveshchhetri/the-lookup-key-trick-minus-the-neural-net,"The Lookup-Key Trick, Minus the Neural Net",Sarvesh Chhetri,2026-08-13 15:58:25.253000,8
stephentarter/ps-s06e08-lightgbm,PS-S06E08: LightGBM,Stephen Tarter,2026-08-20 12:27:12.803000,8
omidbaghchehsaraei/ft-transformer-for-predicting-smartphone-addiction,FT-Transformer for Predicting Smartphone Addiction,OMID BAGHCHEH SARAEI,2026-08-02 14:01:13.360000,8
szymonkapiski/s6e8-tabm-with-constrained-imputation,S6E8 TabM with constrained imputation,Szymon Kłapiński,2026-08-02 11:47:27.650000,8
omidbaghchehsaraei/tabnet-for-predicting-smartphone-addiction,TabNet for Predicting Smartphone Addiction,OMID BAGHCHEH SARAEI,2026-08-02 10:22:35.303000,8
stephentarter/ps-s06e08-experiment-setup,ps_s06e08_experiment_setup,Stephen Tarter,2026-08-15 21:36:58.827000,8
tracyporter/play-6-8-catboost-proba,Play 6.8 catboost proba,Tracy Porter,2026-08-02 16:28:49.517000,8
mdabdulalhasib/let-s-do-some-eda-and-deep-learning-and-blending,Let's do some EDA and deep learning and blending!,Md Abdul Al Hasib,2026-08-02 13:14:24.823000,8
ravi20076/playgrounds6e8-eda-v1,PlaygroundS6E8|EDA|V1,Ravi Ramakrishnan,2026-08-01 02:36:18.977000,8
yadoy666/177-member-diversity-stack-with-gpu-acceleration,177-Member Diversity Stack with GPU Acceleration,Suharyadi,2026-08-17 05:18:49.103000,7
omidbaghchehsaraei/cnn-for-predicting-smartphone-addiction,CNN for Predicting Smartphone Addiction,OMID BAGHCHEH SARAEI,2026-08-16 10:37:07.743000,7
adarsh1077/s6e8-complete-walkthrough-eda-to-stacking,S6E8 Complete Walkthrough EDA to Stacking,AdarshAleti,2026-08-16 07:36:57.860000,7
souvikdbiswas/s6e8-stop-wasting-hours-on-optuna-score-in-minute,S6E8: Stop wasting hours on Optuna:Score in Minute,Souvik_D_Biswas,2026-08-15 09:41:48.143000,7
