stem,cv,lb,n_sent,gap,fam,std,corr,pred,resid_e6
w29_ad194stdcorr,0.9701182875261916,0.97118,1,0.0010617124738083,h3,True,True,0.9711720685274354,7.931472564615127
w27_ad190stdcorr,0.9701181344162544,0.97118,1,0.0010618655837456,h3,True,True,0.9711717843049161,8.215695083912955
w23_ad187stdcorr,0.9701150808744374,0.97116,1,0.0010449191255625,h3,True,True,0.9711661159246409,-6.1159246408371
w29_ad194std,0.9701116199443892,0.97116,1,0.0010483800556108,ens4,True,False,0.9711607944868327,-0.7944868326559273
w27_ad188std_h3,0.970111472035714,0.97115,1,0.0010385279642859,h3,True,False,0.9711468115542121,3.18844578783839
w27_ad188raw,0.9701113750689624,0.97116,1,0.0010486249310375,ens4,True,False,0.9711603399173122,-0.33991731218652177
w27_ad190std,0.970110933814171,0.97117,1,0.0010590661858289,ens4,True,False,0.9711595208029508,10.479197049217959
w27_ad188std,0.9701093456480704,0.97116,1,0.0010506543519297,ens4,True,False,0.9711565726430963,3.427356903729084
w23_ad187std_h3,0.9701092750631358,0.97114,1,0.0010307249368641,h3,True,False,0.9711427332488297,-2.7332488297115987
w21_ad187corr,0.970106881371208,0.97117,1,0.0010631186287919,h3,False,True,0.9711739880514295,-3.98805142953762
w23_ad187std,0.9701058972467212,0.97115,1,0.0010441027532787,ens4,True,False,0.9711501712733557,-0.17127335572020286
w21_ad187corr_ens4,0.9701039330674182,0.97118,1,0.0010760669325818,ens4,False,True,0.9711822233929847,-2.2233929846127154
w20_ad187_h3,0.9701008149538332,0.97115,1,0.0010491850461668,h3,False,False,0.971150121604832,-0.12160483209289197
w22_ad187corr_rankraw,0.970100135496454,0.97117,1,0.001069864503546,rankraw,False,True,0.9711738197982335,-3.8197982334953196
w27_ad190std_rescale,0.970099001418308,0.97115,1,0.0010509985816919,rescale,True,False,0.9711582860260358,-8.286026035864147
w27_ad188raw_rescale,0.970098971367698,0.97115,1,0.0010510286323018,rescale,True,False,0.9711582302421969,-8.230242196982651
w20_ad187,0.970097889484853,0.97116,1,0.001062110515147,ens4,False,False,0.971158399335322,1.600664678025332
w29_ad194std_rescale,0.9700978808735926,0.97115,1,0.0010521191264073,rescale,True,False,0.9711562059256335,-6.205925633495646
w23_ad187std_h3_hybrid,0.9700977969987988,0.97112,1,0.0010222030012011,hybrid,True,False,0.971125429301111,-5.429301111026241
w23_ad187std_h3_rescale,0.97009370385913,0.97114,1,0.0010462961408699,rescale,True,False,0.971148452009752,-8.452009751969136
w23_ad187std_h3_rankraw,0.97009179122053,0.97114,1,0.0010482087794699,rankraw,True,False,0.9711226317873084,17.368212691604157
w20_ad187_rankraw,0.970091529975082,0.97114,1,0.0010484700249181,rankraw,False,False,0.9711452399375495,-5.2399375495282285
w20_ad187_rescale,0.9700778470728432,0.97115,1,0.0010721529271567,rescale,False,False,0.971142109694805,7.890305194990788
w20_ad187_hybrid,0.9700773469651351,0.97113,1,0.0010526530348649,hybrid,False,False,0.9711105604047737,19.43959522632266
w16n_finegrid,0.9700556964750704,0.97107,1,0.0010143035249294,ens4,False,False,0.9710800751993705,-10.075199370462862
w16i_schemeavg,0.9700556662570056,0.97107,1,0.0010143337429945,ens4,False,False,0.9710800191046801,-10.019104680125679
w16e_aonly,0.9700544304624676,0.97108,1,0.0010255695375325,ens4,False,False,0.9710777250626126,2.2749373874697554
w16q_ens4avg,0.9700515171213084,0.97108,1,0.0010284828786916,ens4,False,False,0.9710723169409782,7.683059021879046
w16t_cellens4,0.9700513726632268,0.97108,1,0.0010286273367731,ens4,False,False,0.9710720487791551,7.951220844959472
blendtop3,0.970049460405207,0.97105,1,0.0010005395947929,ens4,False,False,0.9710684989978551,-18.498997855109778
blend159av_wh3,0.9700492569216792,0.97105,1,0.0010007430783206,wh3,False,False,0.9710500000000082,-8.215650382226158e-09
blend159av_h3,0.9700491721182696,0.97105,1,0.0010008278817302,h3,False,False,0.9710542554769012,-4.2554769011937665
w16h_h3av6,0.9700487290113216,0.97105,1,0.0010012709886784,ens4,False,False,0.9710671412896846,-17.14128968466344
blend160origm_h3,0.970048654980868,0.97105,1,0.001001345019132,h3,False,False,0.9710532954993989,-3.2954993989253722
blend158_h3,0.9700483189336572,0.97105,1,0.0010016810663429,h3,False,False,0.9710526716849908,-2.671684990795953
blend159av_w,0.9700481784285347,0.97105,1,0.0010018215714652,w,False,False,0.9710520009084626,-2.0009084625849383
w14a_repro159av_h3,0.9700472004643722,0.97105,1,0.0010027995356277,h3,False,False,0.9710505954372713,-0.5954372713778966
blend159_h3,0.9700469365091934,0.97105,1,0.0010030634908065,h3,False,False,0.9710501054494411,-0.10544944117896193
blend156w,0.970046657295287,0.97105,1,0.0010033427047129,w,False,False,0.9710491771836819,0.8228163180801218
blend156w2,0.970046465909134,0.97105,1,0.001003534090866,w,False,False,0.9710488219078874,1.1780921125303934
blend160orig_h3,0.9700463311228632,0.97105,1,0.0010036688771368,h3,False,False,0.9710489816528343,1.0183471657043697
blend156_h3,0.9700461184445184,0.97105,1,0.0010038815554817,h3,False,False,0.9710485868517125,1.4131482874990553
w16l_maskw_h3,0.970045740213802,0.97105,1,0.001004259786198,h3,False,False,0.9710478847308113,2.1152691886960895
blend159av,0.9700448767129296,0.97106,1,0.0010151232870703,ens4,False,False,0.9710599901538796,0.009846120474499287
blend160origm,0.9700442444424164,0.97106,1,0.0010157555575835,ens4,False,False,0.9710588164513662,1.1835486338762635
w14a_repro159av,0.9700436164293268,0.97106,1,0.0010163835706733,ens4,False,False,0.9710576506520343,2.349347965724391
blend159,0.9700433779222748,0.97106,1,0.0010166220777252,ens4,False,False,0.971057207904317,2.7920956829907695
blend158,0.97004322665942,0.97106,1,0.0010167733405801,ens4,False,False,0.9710569271105917,3.072889408373136
blend160orig,0.9700423076141412,0.97106,1,0.0010176923858586,ens4,False,False,0.971055221059572,4.7789404280518255
blend156,0.9700416046775032,0.97106,1,0.0010183953224968,ens4,False,False,0.9710539161774343,6.083822565727814
w29_ad194std_logit,0.9700399361886902,0.97116,1,0.0011200638113098,logit,True,False,0.9711611529582577,-1.1529582576441655
w27_ad190std_logit,0.9700395047477924,0.97116,1,0.0011204952522074,logit,True,False,0.971160352061718,-0.3520617180008401
blend158_rankraw,0.970036419922286,0.97104,1,0.0010035800777139,rankraw,False,False,0.9710429375113955,-2.9375113954621668
blend156_rankraw,0.9700360784150184,0.97104,1,0.0010039215849816,rankraw,False,False,0.971042303561322,-2.3035613220256934
blend153,0.9700343285733894,0.97104,1,0.0010056714266105,ens4,False,False,0.9710404093294815,-0.4093294815321613
blend159av_rankraw,0.9700338606526144,0.97102,1,0.0009861393473854,rankraw,False,False,0.9710381866631692,-18.186663169217354
blend150sx,0.9700330480936658,0.97104,1,0.0010069519063342,ens4,False,False,0.9710380323369778,1.9676630221843183
blend150fx,0.9700319433658622,0.97104,1,0.0010080566341378,ens4,False,False,0.9710359815979781,4.018402021910283
w23_ad187std_logit,0.9700298054694744,0.97114,1,0.0011101945305257,logit,True,False,0.9711423470035927,-2.3470035926953514
blend159av_hybrid,0.9700291725494375,0.97102,1,0.0009908274505623,hybrid,False,False,0.9710211328075501,-1.132807550097148
blend159av_rescale,0.9700286702343648,0.97105,1,0.0010213297656352,rescale,False,False,0.9710508212704309,-0.8212704308840912
blend158_hybrid,0.9700283333245054,0.97103,1,0.0010016666754945,hybrid,False,False,0.9710195749294084,10.42507059156872
blend158_rescale,0.9700273730091136,0.97105,1,0.0010226269908865,rescale,False,False,0.9710484131927075,1.5868072924529741
w14a_repro159av_rescale,0.9700271740621011,0.97105,1,0.0010228259378987,rescale,False,False,0.9710480438814655,1.956118534485185
blend160origm_rescale,0.9700270088294172,0.97105,1,0.0010229911705829,rescale,False,False,0.9710477371551317,2.26284486826156
blend159_rescale,0.9700258921564706,0.97105,1,0.0010241078435293,rescale,False,False,0.9710456642420087,4.335757991302813
blend156_rescale,0.970025114813873,0.97105,1,0.0010248851861269,rescale,False,False,0.9710442212378805,5.778762119490466
w20_ad187_logit,0.970024799820357,0.97116,1,0.0011352001796429,logit,False,False,0.9711561479765333,3.85202346675495
stack_pub151_fixed_rankraw,0.9700245019225018,0.97103,1,0.0010054980774981,rankraw,False,False,0.9710208137747819,9.186225218060784
stack_pub151_hybrid,0.9700242945519818,0.97099,1,0.0009657054480182,hybrid,False,False,0.9710120776361398,-22.077636139816725
blend150fx_rankraw,0.9700240718313954,0.97102,1,0.0009959281686046,rankraw,False,False,0.9710200153839,-0.015383900042742482
blend160orig_rescale,0.9700233486631156,0.97105,1,0.0010266513368843,rescale,False,False,0.9710409426798267,9.05732017331129
stack_pub151_rankraw,0.970023065836235,0.97102,1,0.000996934163765,rankraw,False,False,0.9710181479252353,1.852074764663314
blend150sx_rankraw,0.970021856854838,0.97102,1,0.0009981431451618,rankraw,False,False,0.9710159036571968,4.096342803183717
stack_pub149_hybrid,0.9700183101166489,0.97099,1,0.0009716898833511,hybrid,False,False,0.9710009685512695,-10.968551269474602
blend150sx_hybrid,0.9700160915169684,0.97101,1,0.0009939084830314,hybrid,False,False,0.9709968500988555,13.149901144537957
blend150fx_hybrid,0.9700142363358246,0.97099,1,0.0009757636641753,hybrid,False,False,0.9709934062710539,-3.406271053885135
blend150fx_rescale,0.9700125368779352,0.97102,1,0.0010074631220649,rescale,False,False,0.9710208724422041,-0.8724422041472835
