ref,title,author,lastRunTime,totalVotes
harmainmughal11/smartphone-addiction-prediction,Smartphone Addiction Prediction,Harmain Mughal,2026-08-20 17:37:15.883,0
chihebghraibia/predicting-smartphone-addiction-playground,# 📱 Predicting Smartphone Addiction — Playground ,chihab gheraibia,2026-08-07 00:56:53.027,0
harwindersingh766/ps-s6e8-xgboost-te-lb-0-96548,PS S6E8: XGBoost + TE | LB 0.96548,harwinder_singh_766,2026-08-06 19:57:34.267,1
aslamsayyad1/version-3,version_3,Aslam Sayyad ,2026-08-06 17:28:07.360,0
ankitaguptaindia/s6-e8-eda-model-building-hpt,S6 E8 EDA + Model Building + HPT,Ankita Gupta,2026-08-06 16:46:22.917,0
dariushafshar/which-of-your-submissions-should-you-actually-pick,Which of your submissions should you actually pick,Dariush Afshar,2026-08-06 13:51:07.423,1
dariushafshar/s6e8-will-your-public-score-survive,S6E8 Will Your Public Score Survive,Dariush Afshar,2026-08-06 07:14:29.820,0
dariushafshar/s6e8-the-missingness-is-the-drift,s6e8-the-missingness-is-the-drift,Dariush Afshar,2026-08-06 07:02:22.570,0
dariushafshar/the-unaccounted-third-is-the-gaming-work-split,The unaccounted third is the gaming/work split,Dariush Afshar,2026-08-06 06:10:13.703,0
hermitsays/predicting-smartphone-addiction-xgb,Predicting Smartphone Addiction || XGB,Chandrashekar,2026-08-05 14:18:11.147,0
aslamsayyad1/version-2,version_2,Aslam Sayyad ,2026-08-05 13:17:29.880,0
shashwat1729/s6e8-gpu-clean-v6,S6E8 GPU Clean v6,Shashwat Bajpai,2026-08-05 10:17:07.760,1
babulkumar07/notebook212f18c3fb,notebook212f18c3fb,Babul Kumar,2026-08-05 05:54:57.677,0
dariushafshar/s6e8-catboost-ordered-vs-plain,s6e8-catboost-ordered-vs-plain,Dariush Afshar,2026-08-05 00:07:15.193,0
dariushafshar/s6e8-blending-only-works-when-models-are-close,s6e8-blending-only-works-when-models-are-close,Dariush Afshar,2026-08-04 23:10:34.810,0
dranilkumardubey/nova-sap,NOVA SAP ,Dr Anil Kumar Dubey,2026-08-04 17:12:22.347,1
aslamsayyad1/version-1,version_1,Aslam Sayyad ,2026-08-04 13:13:05.727,0
magurodataanalysis/s6e8-linear-vs-trees,S6E8: Linear vs Trees,TUNA,2026-08-04 11:57:28.977,1
anhadmh/multi-model,multi model,Wondering Luffy,2026-08-03 20:21:48.020,1
rafanikitas/s6e8-gbdt-ensemble,S6E8 | GBDT Ensemble,Nikitas Rafael Nikitas,2026-08-03 15:46:48.167,1
dariushafshar/s6e8-what-actually-helps,s6e8-what-actually-helps,Dariush Afshar,2026-08-02 21:04:07.277,1
