ref,title,author,lastRunTime,totalVotes
raykkretzschmar/why-every-s6e8-notebook-above-0-97110-overfits,Why Every S6E8 Notebook Above 0.97110 Overfits,Rayk Kretzschmar,2026-08-19 11:36:55.897,59
adarsh1077/s6e8-diversity-beats-strength,S6E8 Diversity Beats Strength,AdarshAleti,2026-08-19 10:46:14.163,51
szymonkapiski/s6e8-honest-oof-blend,S6E8 honest OOF blend,Szymon Kłapiński,2026-08-04 12:42:13.953,51
georgymamarin/s6e8-why-gaming-hours-helps-but-adds-nothing-new,S6E8: why gaming_hours helps but adds nothing new,Georgy Mamarin,2026-08-18 07:31:36.357,46
tomasa2/s6e8-what-moved-the-score-and-what-didn-t,"S6E8: What Moved the Score, and What Didn't",tomasa2,2026-08-20 17:15:17.623,42
vh10935cse20/mobile-addiction-lgbm,Mobile Addiction || LGBM,SARANG,2026-08-18 16:11:25.473,37
anthonytherrien/predicting-smartphone-addict-nn-residual-network,Predicting Smartphone Addict | NN Residual Network,AnthonyTherrien,2026-08-17 10:24:55.217,35
daniilkrasnovvv/s6e8-top-1-public-0-97099,[S6E8] TOP-1 PUBLIC 0.97099🔥🔥🔥,Krasnov Daniil,2026-08-13 06:48:43.383,35
donmarch14/s6e8-lgbm,S6E8: LGBM,Don Mani,2026-08-04 03:09:55.667,23
donmarch14/s6e8-catboost,S6E8: CatBoost,Don Mani,2026-08-04 08:39:51.397,21
devashish001/predicting-smartphone-addiction,predicting-smartphone-addiction,Devashish,2026-08-19 02:51:07.273,19
ravi20076/playgrounds6e8-public-l2stack-v1,PlaygroundS6E8|Public|L2Stack|V1,Ravi Ramakrishnan,2026-08-08 05:36:30.160,18
ern711/contextualized-deep-univariate-spline-transformer,Contextualized Deep Univariate Spline Transformer,Ern711,2026-08-15 17:47:16.697,17
jek1wantaufik/predicting-smartphone-addiction,Predicting smartphone addiction,Jeki Wan Taufik,2026-08-03 08:43:25.227,17
omidbaghchehsaraei/tabm-for-predicting-smartphone-addiction,TabM for Predicting Smartphone Addiction,OMID BAGHCHEH SARAEI,2026-08-02 00:29:45.990,16
nawfeelrahman1124444/realmlp-0-97014,🔥RealMLP --> 0.97014 ✅,(ノ◡ <),2026-08-02 13:15:29.823,15
vladstud716373618/s6e8-catboost-feature-ablation-600-11-best,S6E8: CatBoost Feature Ablation (600+ -> 11 best),Vlad Studennykov,2026-08-15 10:13:54.483,14
cv13j0/smartphone-addiction,Smartphone Addiction,C4rl05/V,2026-08-04 01:13:34.227,12
pavloivanin/baseline,🚀 Baseline,Pavlo Ivanin,2026-08-02 00:11:31.987,10
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,"Baseline:LGBM+XGB+CB, Rank Averaged OOF-tuned",Factual Explorer,2026-08-19 08:27:46.867,9
ern711/multi-level-deep-univariate-spline-transformer,Multi-Level Deep Univariate Spline Transformer,Ern711,2026-08-17 12:50:43.153,9
thuandao/smartphone-addiction,📱 Smartphone Addiction ⚠️,Đào Minh Thuấn 🎖️,2026-08-15 15:07:30.630,9
jimgruman/addiction,📱Addiction,Jim Gruman,2026-08-13 20:02:48.240,9
sarveshchhetri/the-lookup-key-trick-minus-the-neural-net,"The Lookup-Key Trick, Minus the Neural Net",Sarvesh Chhetri,2026-08-13 15:58:25.253,8
gentralgresham/predicting-smartphone-addiction,Predicting_Smartphone_Addiction,Gentral Gresham,2026-08-17 22:16:10.730,7
kitopl/max-bin,【日本語】max_bin の最適値は値の種類の数で決まる,kito_pl,2026-08-18 14:11:34.400,6
ravi20076/playgrounds6e8-datacollation-v1,PlaygroundS6E8|DataCollation|V1,Ravi Ramakrishnan,2026-08-08 05:33:09.393,6
nikita7364777/rank-gauss-logit-rank-blending,Rank-Gauss + logit-rank blending,r0tor,2026-08-20 10:11:56.303,5
yadoy666/94-verified-oof-gpu-accelerated-meta-stack,94 Verified OOF GPU-Accelerated Meta Stack,Suharyadi,2026-08-17 04:32:38.960,5
helenylmaz/smartphone-addiction-prediction,Smartphone Addiction prediction,Helen,2026-08-14 13:57:09.763,5
christopherarzate/predicting-smartphone-addiction,Predicting Smartphone Addiction ,Christopher Arzate-Benitez,2026-08-14 02:21:30.103,5
sdeogade/predicting-smartphone-addiction,Predicting Smartphone Addiction 📞📱,Sahil Deogade,2026-08-13 13:11:36.280,5
engineerfrabbi/predicting-smartphone-addiction,Predicting Smartphone Addiction,Shah Muhmmad Fazle Rabbi,2026-08-06 08:07:37.547,5
santoshyadavaiexpert/smartphone-addiction-prediction,Smartphone_Addiction_Prediction,Santosh Yadav,2026-08-04 06:41:25.693,5
sarveshchhetri/zero-extra-libraries-one-model,"Zero Extra Libraries, One Model",Sarvesh Chhetri,2026-08-18 16:11:59.807,4
echloeprice/phone-addict,phone addict,E散人chloeprice,2026-08-12 09:15:29.507,4
pratishchaudhary/smartphone-addiction,smartphone_addiction,Pratish Chaudhary,2026-08-04 12:14:15.697,4
atifkhan12/smartphone-addiction,smartphone addiction,Muhammad Atif,2026-08-19 06:26:07.077,3
obiaf88/predicting-smartphone-addiction-pytorch,Predicting Smartphone Addiction - PyTorch,De Marchi Fabio,2026-08-18 14:24:39.213,3
mdnaimislam165436/predicting-smartphone-addiction,Predicting Smartphone Addiction,Md Naim,2026-08-12 12:11:20.317,3
echloeprice/phone-addiction-prediction,phone addiction prediction,E散人chloeprice,2026-08-09 16:40:34.990,3
mdshafayeturrahman/predicting-smartphone-addiction,Predicting Smartphone Addiction,MD Shafayetur Rahman,2026-08-05 08:14:38.467,3
navazshfathi/predicting-smartphone-addiction,Predicting Smartphone Addiction,navazsh fathi,2026-08-03 16:59:51.830,3
cdeotte/basic-eda-smartphone-addiction,Basic EDA - Smartphone Addiction,Chris Deotte,2026-08-20 15:35:28.143,2
adarsh1077/s6e8-my-best-cv-model-scored-worse-on-the-lb,S6E8 My Best CV Model Scored Worse on the LB,AdarshAleti,2026-08-20 12:56:30.523,2
mohamedabder/01-eda-predicting-smartphone-addiction,01_EDA_Predicting_Smartphone_Addiction,Mohamed Abderrahmani,2026-08-19 10:44:45.653,2
ojaspadhye/smartphoneaddiction-bit,SmartPhoneAddiction Bit,Ojas padhye,2026-08-19 09:09:35.417,2
alpharapto/smartphones-prediction,SmartPhones Prediction,Naman Jain,2026-08-19 07:36:37.223,2
dariushafshar/how-much-does-one-more-model-buy-you-lb-97109,How Much Does One More Model Buy You? LB .97109,Dariush Afshar,2026-08-19 05:20:40.787,2
kitopl/max-bin-raise-it-to-your-distinct-value-count,max_bin: raise it to your distinct-value count,kito_pl,2026-08-18 14:11:36.843,2
francescoliveras/playground-s6e8-smartphone-addiction,playground  😯s6e8😯 smartphone-addiction,Francesc Oliveras,2026-08-18 11:05:37.600,2
lavanyabacche/predicting-smartphone-addiction-01,Predicting Smartphone Addiction 01,Lavanya Bacche,2026-08-18 08:47:02.740,2
ananyamaurya/predicting-smartphone-addiction,Predicting Smartphone Addiction,Ananya Maurya,2026-08-18 07:36:58.257,2
lavanyabacche/predicting-mobile-addiction-0011,Predicting mobile addiction 0011,Lavanya Bacche,2026-08-16 15:02:55.177,2
destroyer123787/predicting-smartphone-addiction,Predicting Smartphone Addiction,destroyer@123787,2026-08-16 13:37:14.057,2
yusufmurtaza01/s6e8-analytics,s6e8| Analytics,Yusuf Murtaza,2026-08-15 11:36:22.923,2
