member,solo,fold_sd,fold_min,fold_max,maxcorr,nearest
naji05,0.968814588855316,0.00043918273688908023,0.968135605043672,0.9694387961494515,0.9840656263850882,om_flamlxgb
naji03,0.9688139407425194,0.00043952534774677557,0.9681370454097977,0.9694400038547111,0.9841476564876861,om_flamlxgb
naji04,0.9687215788283319,0.0004528803058554608,0.9680388957615397,0.9693644144451642,0.994049018790581,om_flamlxgb
tabm_seed3,0.968673446925976,0.000393460374990759,0.968050485291938,0.9692040125383097,0.9920165064080593,om_xgb2
naji02,0.9686185600453886,0.0004461251218839481,0.9679328716720136,0.9692321424295121,0.9926452421136962,om_flamlxgb
lookup,0.9685261253744222,0.00042710841382026564,0.9678652599676085,0.9691349330660631,0.984513581278129,bei_lookup_fixed24
tabm_x12,0.9684872471620536,0.0003424198851686246,0.9680759427546742,0.9689379860234275,0.9916652899897247,om_xgb2
tabm_deeper,0.9684598015321553,0.00036435275710805894,0.9679572220293087,0.969049975187429,0.9899947793992597,om_xgb2
pub_rmlp,0.968436452502668,0.00043404234827731805,0.9677457395180878,0.9690215651897968,0.9892266235328631,om_flamlxgb
tabm_wide,0.968370584433057,0.0003793324719197184,0.9679176586452571,0.9689954089833033,0.9926393613542558,om_xgb2
tabm_bounds,0.9683691493565961,0.00043545889177323713,0.9677683022939952,0.9690321203054173,0.9916718266015239,om_xgb2
tabm_deep,0.9682994191341046,0.0004569891379124329,0.9676715482303546,0.9689961489564943,0.9913032907168547,om_xgb2
realmlp_seed01_fixed4,0.9682583979407973,0.0004033911896141092,0.9676485479150105,0.9688413509542757,1.0,bei_realmlp_seed01_fixed4
tabm_imp,0.9680982231162424,0.0004298366208402542,0.9675445956996754,0.9687845984484227,0.9874214414033706,om_xgb2
latr1_xgb,0.9678009686242787,0.00042587822081465625,0.967149038736196,0.9683319128397946,0.9955966834392393,lat_ctfix2000
lattri_xgb,0.967756166433005,0.00043443296690949984,0.9670833663374951,0.9683459299592527,0.9962983155149955,xgb_latcat_avg3
screen_relations,0.9677335645990914,0.00044934748135975734,0.9671601321179316,0.9684376825754294,1.0,bei_screen_relations
latwide_xgb,0.9676880467699507,0.000451792578031398,0.9670663686471259,0.9683544692727123,0.9962637982905761,xgb_latcat_avg3
latmax_lgbm,0.9676796045326924,0.00043459467342481554,0.9670266979396869,0.9682855870674487,0.9958736221364977,lat_ctfix2000
lattri_lgbm,0.9676750622526115,0.00044492353559377377,0.9669500720856053,0.9682882536603641,0.9963306958234872,lat_ctfix2000
latwide_lgbm,0.9676305207638243,0.0004296927483607879,0.9669827620790409,0.9682027463519527,0.9961926746093563,lat_ctfix2000
latr1_lgbm,0.9676236162683322,0.00044705437994991935,0.966874550926629,0.9681872298765639,0.9957202379840184,lat_ctfix2000
pub_tabnet,0.9675594948587001,0.0004758822829598793,0.9669189404379062,0.9683133477966441,0.986208100193725,om_cat
pub_tabm,0.9675077199415221,0.0005496265118797131,0.9667314742621371,0.9683955084167726,1.0,omid_tabm
lat_xgb,0.9674859019809616,0.00042099714437919154,0.9667862703362136,0.967995525315005,0.9956933542993052,xgb_latcat_avg3
lat_lgbm_s5,0.9674017559552484,0.0004602997955472963,0.9666347529283241,0.9679341694477284,0.9949581114031157,lgbm_fixed_lat
lat_lgbm,0.9674001537635001,0.00040888385029958993,0.9667160517898572,0.967901365534196,0.9953770719779143,lat_ctraw2000
fmplr,0.9673922620024661,0.0004326090800241334,0.9668569588981148,0.9680484125297284,1.0,fmplr
baseline,0.9672979770826748,0.00045240656222212745,0.9666848176394426,0.9679836556781765,0.9999999999999999,bei_exact_value_catboost_fixed4000
latwide_cat,0.9671803628728208,0.0005230690150156657,0.9663621710603345,0.9678886257660255,0.9949599756796331,cat_lat
fmnum,0.9671329196328098,0.00041414089498063476,0.9666251174193659,0.9676982139057896,1.0,fmnum
lat_cat,0.9670072577204677,0.00043364194435031655,0.9663004179950363,0.9675976413622844,0.9945733081998014,ad_gcatlr02
