ref,n_oof,n_test,oof_labels,test_labels
christopherarzate/predicting-smartphone-addiction,0,4,,|addicted_label|testsubmission
gauravduttaiiitb/ex1-s6e8-flaml-micro-f1,0,2,,addicted_label|micro_f1
mayank787/addiction-to-mobile,0,4,,|addicted_label|tuned_v2
gauravduttaiiitb/ex996-s6e8-flaml-roc-auc-weighted,0,2,,addicted_label|roc_auc_weighted
gauravduttaiiitb/ex999-s6e8-flaml-roc-auc-weighted,0,2,,addicted_label|roc_auc_weighted
gauravduttaiiitb/ex451-s6e8-flaml-roc-auc-weighted,0,2,,addicted_label|roc_auc_weighted
gauravduttaiiitb/ex351-s6e8-flaml-roc-auc-weighted,0,2,,addicted_label|roc_auc_weighted
gauravduttaiiitb/ex51-s6e8-flaml-ap,0,2,,addicted_label|ap
gauravduttaiiitb/ex51-s6e8-flaml-accuracy,0,2,,accuracy|addicted_label
gauravduttaiiitb/ex51-s6e8-flaml-roc-auc-weighted,0,2,,addicted_label|roc_auc_weighted
gauravduttaiiitb/ex151-s6e8-flaml-roc-auc,0,2,,addicted_label|roc_auc
wesleyhuan/s6e8-multi-model-compare,4,2,blend|cat|lgb|xgb,|addicted_label
gauravduttaiiitb/ex51-s6e8-flaml-f1,0,2,,addicted_label|f1
gauravduttaiiitb/ex51-s6e8-flaml-roc-auc,0,2,,addicted_label|roc_auc
gauravduttaiiitb/ex66-s6e8-flaml-roc-auc,0,2,,addicted_label|roc_auc
gauravduttaiiitb/ex72-fe-s6e8-flaml-roc-auc,0,2,,addicted_label|roc_auc
gauravduttaiiitb/ex69-s6e8-flaml-roc-auc,0,2,,addicted_label|roc_auc
gauravduttaiiitb/ex69-s6e8-flaml-micro-f1,0,2,,addicted_label|micro_f1
dranilkumardubey/nova-sap,4,4,blend|catboost|lightgbm|xgboost,|addicted_label|nova_sap_uncertainty
rafanikitas/s6e8-gbdt-ensemble,4,2,catboost|lightgbm|tabm|xgboost,addicted_label|stack_lgbm
untouchableforest/s6e8-knn-diversifier-v3-raw-knn-output,0,29,,|addicted_label|knn_raw|logit_n20_85_knn_15|logit_n20_90_knn_10|logit_n20_95_knn_5|n20|n20r_80_knn_20|n20r_85_knn_15|n20r_85_najiknn_15|n20r_88_knn_12|n20r_90_knn_10|n20r_90_najiknn_10|n20r_93_knn_7|n20r_95_knn_5|n20r_95_najiknn_5
ayushmuley/notebookc9fa246ba4,0,4,,addicted_label|subrf|subxgb
gauravduttaiiitb/ex51-s6e8-flaml-log-loss,0,2,,addicted_label|log_loss
babulkumar07/notebook212f18c3fb,0,2,,addicted_label|susubmission
