stem,cv,fam,pred,p19,p18,dcv,d_uniform,d_latest,d_earliest
w38_ad202stdcorr,0.9701375890907046,ens4,0.9712216069596883,0.99999881804578,1.1810195579228393e-06,-2.4168717971395637,-18.186904038365704,3.5562127010258635,-35.82660610534748
w40_ad211stdcorr,0.9701374732624002,ens4,0.9712213919441702,0.9999986459985301,1.352892967649458e-06,-2.5327001015318373,-18.060444623299883,3.6826683751565117,-35.70014365538674
w36_ad199std_h3,0.9701354276135699,h3,0.9711912810041624,0.7909651165018479,0.19112723973727055,-4.57834893186071,-13.158770060126013,5.634710186143766,-26.471102115859054
w40_ad211std,0.9701309541017873,ens4,0.971196685056867,0.9340291124799333,0.06338177486619166,-9.051860714426319,-10.371547330931397,10.713897751787293,-26.69721159307309
w38_ad202std,0.970130572603156,ens4,0.9711959768696385,0.9214930257906777,0.07508588822057365,-9.43335934566747,-9.87206682240903,11.109252203513078,-25.955088903340737
w40_ad211std_h3,0.9701331846110894,h3,0.9711871172521067,0.6075600961514681,0.33332054278473755,-6.821351412278354,-9.081143524855975,7.564470192283643,-18.845313267653278
w38_ad202std_h3,0.9701330213726453,h3,0.9711868142277397,0.5924679865558422,0.34367041418011524,-6.984589856373624,-8.790991500523624,7.682140937658106,-18.27159808228136
w36_ad197stdcorr,0.9701286299342439,h3,0.9711912674463684,0.7904623685597714,0.19155280734737878,-11.376028257847892,-7.001566565778986,12.921809740936137,-20.587923837904537
w36_ad197std_h3,0.9701244431160363,h3,0.9711708901554742,0.034447866397044447,0.26365693224874165,-15.562846465422275,-0.38269187678199085,5.0966653185829465,-0.7397482192674901
w38_ad202std_hybrid,0.9701232617749083,hybrid,0.9711727003205582,0.056400456063046,0.327029504711132,-16.744187593453752,-0.37000812206741296,7.061080716225111,-1.1384256858463928
w36_ad197std,0.9701210588551308,ens4,0.9711783162169004,0.19442560693992506,0.4710817993371389,-18.947107370936855,-0.12683522554419302,13.944855756247307,-3.456816223045742
w40_ad211std_rescale,0.9701209816379527,rescale,0.9711990885599289,0.9653423242804097,0.03370821692355093,-19.02432454903291,-0.06024269568987458,21.63601199790506,-17.082052933512053
w34_ad195std_h3,0.9701205752646018,h3,0.9711637101480949,0.003027565729386672,0.06973274630885784,-19.43069789989149,-0.0062102073177714955,1.5462873779165731,-0.05223056706855634
w34_ad195std_wh3,0.9701196117472624,wh3,0.971157508642291,0.0001968239404919192,0.011867882958986109,-20.394215239361024,0.0015233826184727665,0.2688078637122746,-0.0031884972791118168
w34_ad196std_h3,0.9701199172668695,h3,0.9711624886873812,0.0018524227313887476,0.05151840042590772,-20.088695632192177,0.003995400191689381,1.17222813358607,-0.030626654367027974
w34_ad195std_w,0.9701195043323166,w,0.9711613121920181,0.001129301819043027,0.03767846156364896,-20.50163018507689,0.006578982690433621,0.8696632153725075,-0.018161964917350223
w40_ad211std_hybrid,0.9701194945387205,hybrid,0.9711657070882467,0.00643535887015656,0.10900702385134309,-20.511423781233162,0.024269145248637783,2.591064790509698,-0.10342767065690502
w36_ad199std_rankraw,0.9701111921519866,rankraw,0.9711586463120087,0.0003398579706676008,0.01715881882603898,-28.81381051511589,0.03695149403681937,0.5507800238309645,-0.002381583324923377
w27_ad188stdcorr,0.9701168076021642,h3,0.9711693213005532,0.02162091781062858,0.2104258970057531,-23.198360337484125,0.2481519101053617,5.8968865540403375,-0.2840620135040786
w34_ad196std,0.970118550552755,ens4,0.9711736599807774,0.07186993342955394,0.3595496575297408,-21.455409746740095,0.3076357764271021,10.171566846845527,-1.0810082986141267
w34_ad195std,0.9701181648626676,ens4,0.9711729440128244,0.06005517046357378,0.3354238063658267,-21.84109983416338,0.32235969999851544,9.48537728291739,-0.8780123312299875
w27_ad188raw_logit,0.9700387329362934,logit,0.9711589193251322,0.00038629193957107066,0.018690963214551437,-101.27302620832613,0.36670138607324043,2.109642968057869,0.027851776836859826
w34_ad196std_rescale,0.970103914647338,rescale,0.9711674065988629,0.011657953475965876,0.15213833553216605,-36.0913151636888,0.7539221230285784,6.4647582668330195,0.0109315287021063
w38_ad202std_rescale,0.9701200354040269,rescale,0.9711973320378171,0.9440713576312358,0.05393486153804531,-19.970558474802225,0.9234276136535495,22.625802298097554,-15.730375374723291
w34_ad195std_rescale,0.9701055638940179,rescale,0.971170468144409,0.030498968108950808,0.249021493668796,-34.442068483797605,1.3015351926095882,10.538624746268614,-0.026317238738016696
w29_ad194stdcorr_ens4,0.9701159502920627,ens4,0.971181438215733,0.3230449831469704,0.47369776520486795,-24.055670439060428,2.1847315779315033,21.22124703301346,-3.9418985119398933
w36_ad197std_rescale,0.9701085984575707,rescale,0.9711761012947693,0.12563708648238503,0.43081648925699767,-31.407504931024732,2.7725817322300736,19.195735064405277,-0.5246476549372494
w29_ad194stdcorr_rescale,0.9701012579592934,rescale,0.9711750800860501,0.100462840753898,0.4036561826710241,-38.748003208355364,3.817585857543432,21.418149143122164,0.38559129497970696
w34_ad195std_logit,0.970044343565789,logit,0.9711693345031356,0.021709104751735153,0.21085744591021072,-95.6623967127701,5.302655028749744,24.309209852687037,1.4322556396039892
w36_ad197std_logit,0.9700458725948065,logit,0.9711721728850681,0.04909141705463138,0.3086568821593031,-94.13336769525938,9.0247610586346,36.811138595542744,3.1568507367028182
w34_ad196std_logit,0.9700495032230128,logit,0.9711789125279303,0.21627851891925065,0.47673842563210667,-90.50273948896238,24.213592829072823,68.67342878138177,13.050632229013067
w36_ad199std_logit,0.9700571065601006,logit,0.9711930268281621,0.8496314059929804,0.14030846138204858,-82.89940240113758,61.132351064615406,90.37517116905745,44.21548434166909
w38_ad202std_logit,0.9700575874003036,logit,0.9711939194260977,0.8749139454416804,0.11772563993558807,-82.41856219814991,62.11182301646258,90.12161362405605,45.07191176547705
w40_ad211std_logit,0.970057844058492,logit,0.9711943958683082,0.8871205901993638,0.10668025736327598,-82.16190400966994,62.55067995495084,89.95883430649167,45.452168308542994
