stem,cv,fam,pred,p19,p18,dcv,d_uniform,d_latest,d_earliest
w38_ad202stdcorr,0.9701375890907046,ens4,0.9711917912476797,0.7372506357588783,0.2045139394265027,-2.4168717971395637,-14.189749877347982,3.1614615664813566,-26.413219347466413
w40_ad211stdcorr,0.9701374732624002,ens4,0.9711915762321617,0.7306536481128534,0.2087347009719816,-2.5327001015318373,-13.988223023244917,3.267930034732039,-26.084475518379453
w40_ad211std,0.9701309541017873,ens4,0.9711668693448584,0.04503985284781331,0.17855481988719224,-9.051860714426319,-0.9164338436343276,2.2509884661871298,-1.2873672410556483
w38_ad202std,0.970130572603156,ens4,0.97116616115763,0.03910366734944892,0.16520895421065207,-9.43335934566747,-0.789766277535646,2.140084890513151,-1.1014073184447066
w36_ad199std_h3,0.9701354276135699,h3,0.9711614652921539,0.013896880705032588,0.08898199735527534,-4.57834893186071,-0.5179428091793605,0.52698622366577,-0.4650846675284062
w36_ad197stdcorr,0.9701286299342439,h3,0.9711614517343599,0.013851998474791127,0.088799975332295,-11.376028257847892,-0.2820170046952601,1.2876342391369122,-0.3607811085572319
w40_ad211std_h3,0.9701331846110894,h3,0.9711573015400982,0.004806593100837975,0.04419899405535377,-6.821351412278354,-0.1906767380774837,0.36936795829864255,-0.1490910171836731
w38_ad202std_h3,0.9701330213726453,h3,0.9711569985157311,0.0044253231669205695,0.04177174408309703,-6.984589856373624,-0.17635850725756375,0.356335420515758,-0.13647611031310977
w40_ad211std_rescale,0.9701209816379527,rescale,0.9711692728479203,0.07074275943379849,0.22543929747557623,-19.02432454903291,-0.047812873671091105,6.216600046389923,-1.251816615635961
w38_ad202std_rescale,0.9701200354040269,rescale,0.9711675163258086,0.05107766468501751,0.19100311336646625,-19.970558474802225,0.05221293077059902,5.3249582041065615,-0.8510700301040348
w27_ad188stdcorr,0.9701168076021642,h3,0.9711693213005532,0.02162091781062858,0.2104258970057531,-23.198360337484125,0.2481519101053617,5.8968865540403375,-0.2840620135040786
w27_ad188raw_logit,0.9700387329362934,logit,0.9711589193251322,0.00038629193957107066,0.018690963214551437,-101.27302620832613,0.36670138607324043,2.109642968057869,0.027851776836859826
w29_ad194stdcorr_ens4,0.9701159502920627,ens4,0.971181438215733,0.3230449831469704,0.47369776520486795,-24.055670439060428,2.1847315779315033,21.22124703301346,-3.9418985119398933
w36_ad199std_logit,0.9700571065601006,logit,0.9711632111161536,0.020826343563467353,0.11438159559374639,-82.89940240113758,3.024232870122905,12.256249137151455,1.0838192435324356
w38_ad202std_logit,0.9700575874003036,logit,0.9711641037140891,0.025378563542790333,0.1288038328652753,-82.41856219814991,3.512930762714231,13.89678997662164,1.3073975820076185
w40_ad211std_logit,0.970057844058492,logit,0.9711645801562997,0.02813192392319852,0.13686702262646344,-82.16190400966994,3.797830968970151,14.826367466084346,1.4413564008394752
w29_ad194stdcorr_rescale,0.9701012579592934,rescale,0.9711750800860501,0.100462840753898,0.4036561826710241,-38.748003208355364,3.817585857543432,21.418149143122164,0.38559129497970696
