stem,cv,lb,day,fam,std,cr,pred,res6,insample
blend150fx,0.9700319433658621,0.97104,2026-08-10,ens4,False,False,0.9710359815979779,4.018402022132328,True
blend150fx_hybrid,0.9700142363358245,0.97099,2026-08-10,hybrid,False,False,0.9709934062710537,-3.4062710536630902,True
blend150fx_rankraw,0.9700240718313953,0.97102,2026-08-10,rankraw,False,False,0.9710200153838997,-0.015383899709675575,True
blend150fx_rescale,0.970012536877935,0.97102,2026-08-11,rescale,False,False,0.9710208724422038,-0.8724422038142166,True
blend150sx,0.9700330480936659,0.97104,2026-08-11,ens4,False,False,0.9710380323369779,1.967663022073296,True
blend150sx_hybrid,0.9700160915169685,0.97101,2026-08-11,hybrid,False,False,0.9709968500988557,13.149901144315912,True
blend150sx_rankraw,0.9700218568548381,0.97102,2026-08-11,rankraw,False,False,0.9710159036571969,4.0963428030726945,True
blend153,0.9700343285733896,0.97104,2026-08-11,ens4,False,False,0.9710404093294818,-0.4093294817542059,True
blend156,0.9700416046775031,0.97106,2026-08-11,ens4,False,False,0.9710539161774341,6.083822565949859,True
blend156_h3,0.9700461184445183,0.97105,2026-08-14,h3,False,False,0.9710485868517122,1.4131482877211,True
blend156_rankraw,0.9700360784150184,0.97104,2026-08-11,rankraw,False,False,0.971042303561322,-2.3035613220256934,True
blend156_rescale,0.9700251148138731,0.97105,2026-08-11,rescale,False,False,0.9710442212378806,5.778762119379444,True
blend156w,0.970046657295287,0.97105,2026-08-13,w,False,False,0.9710491771836819,0.8228163180801218,True
blend156w2,0.970046465909134,0.97105,2026-08-15,w,False,False,0.9710488219078874,1.1780921125303934,True
blend158,0.9700432266594199,0.97106,2026-08-13,ens4,False,False,0.9710569271105914,3.072889408595181,True
blend158_h3,0.9700483189336571,0.97105,2026-08-13,h3,False,False,0.9710526716849904,-2.671684990462886,True
blend158_hybrid,0.9700283333245054,0.97103,2026-08-13,hybrid,False,False,0.9710195749294084,10.42507059156872,True
blend158_rankraw,0.970036419922286,0.97104,2026-08-13,rankraw,False,False,0.9710429375113955,-2.9375113954621668,True
blend158_rescale,0.9700273730091137,0.97105,2026-08-13,rescale,False,False,0.9710484131927077,1.5868072922309295,True
blend159,0.9700433779222749,0.97106,2026-08-15,ens4,False,False,0.9710572079043173,2.792095682768725,True
blend159_h3,0.9700469365091934,0.97105,2026-08-14,h3,False,False,0.9710501054494411,-0.10544944117896193,True
blend159_rescale,0.9700258921564706,0.97105,2026-08-19,rescale,False,False,0.9710456642420087,4.335757991302813,True
blend159av,0.9700448767129297,0.97106,2026-08-13,ens4,False,False,0.9710599901538798,0.009846120252454682,True
blend159av_h3,0.9700491721182697,0.97105,2026-08-13,h3,False,False,0.9710542554769014,-4.255476901415811,True
blend159av_hybrid,0.9700291725494377,0.97102,2026-08-17,hybrid,False,False,0.9710211328075503,-1.1328075503191926,True
blend159av_rankraw,0.9700338606526145,0.97102,2026-08-17,rankraw,False,False,0.9710381866631693,-18.186663169328376,True
blend159av_rescale,0.9700286702343646,0.97105,2026-08-19,rescale,False,False,0.9710508212704304,-0.821270430440002,True
blend159av_w,0.9700481784285347,0.97105,2026-08-15,w,False,False,0.9710520009084626,-2.0009084625849383,True
blend159av_wh3,0.9700492569216792,0.97105,2026-08-15,wh3,False,False,0.9710500000000082,-8.215650382226158e-09,True
blend160orig,0.9700423076141412,0.97106,2026-08-16,ens4,False,False,0.971055221059572,4.7789404280518255,True
blend160orig_h3,0.970046331122863,0.97105,2026-08-15,h3,False,False,0.9710489816528338,1.0183471661484589,True
blend160orig_rescale,0.9700233486631156,0.97105,2026-08-19,rescale,False,False,0.9710409426798267,9.05732017331129,True
blend160origm,0.9700442444424165,0.97106,2026-08-15,ens4,False,False,0.9710588164513664,1.183548633654219,True
blend160origm_h3,0.9700486549808679,0.97105,2026-08-13,h3,False,False,0.9710532954993987,-3.2954993987033276,True
blend160origm_rescale,0.9700270088294171,0.97105,2026-08-19,rescale,False,False,0.9710477371551315,2.2628448684836044,True
blendtop3,0.9700494604052071,0.97105,2026-08-14,ens4,False,False,0.9710684989978553,-18.498997855331822,True
stack_pub149_hybrid,0.9700183101166489,0.97099,2026-08-10,hybrid,False,False,0.9710009685512695,-10.968551269474602,True
stack_pub151_fixed_rankraw,0.9700245019225019,0.97103,2026-08-10,rankraw,False,False,0.9710208137747821,9.18622521783874,True
stack_pub151_hybrid,0.9700242945519819,0.97099,2026-08-10,hybrid,False,False,0.9710120776361401,-22.07763614003877,True
stack_pub151_rankraw,0.970023065836235,0.97102,2026-08-10,rankraw,False,False,0.9710181479252353,1.852074764663314,True
w14a_repro159av,0.9700436164293268,0.97106,2026-08-17,ens4,False,False,0.9710576506520343,2.349347965724391,True
w14a_repro159av_h3,0.9700472004643722,0.97105,2026-08-17,h3,False,False,0.9710505954372713,-0.5954372713778966,True
w14a_repro159av_rescale,0.9700271740621013,0.97105,2026-08-19,rescale,False,False,0.9710480438814657,1.9561185342631404,True
w16e_aonly,0.9700544304624674,0.97108,2026-08-16,ens4,False,False,0.9710777250626121,2.2749373879138446,True
w16h_h3av6,0.9700487290113214,0.97105,2026-08-16,ens4,False,False,0.9710671412896844,-17.141289684441396,True
w16i_schemeavg,0.9700556662570055,0.97107,2026-08-16,ens4,False,False,0.9710800191046799,-10.019104679903634,True
w16l_maskw_h3,0.970045740213802,0.97105,2026-08-16,h3,False,False,0.9710478847308113,2.1152691886960895,True
w16n_finegrid,0.9700556964750705,0.97107,2026-08-16,ens4,False,False,0.9710800751993707,-10.075199370684906,True
