stem,cv,ad,fam,d_supp,pred_w30b,pred_w46c,P_w30b,P_w46c
w34_ad195std,0.9701181648626676,195,ens4,-0.13513733243541992,0.9711729440128244,0.9711431283008158,0.3954789768294005,0.0014432003272607519
w36_ad197std_hybrid,0.970112425718862,197,hybrid,-5.874281137963067,0.9711525850282072,0.9711227693161987,0.0019272127324030386,5.227351733694263e-07
w36_ad199std_rankraw,0.9701111921519866,199,rankraw,-7.10784801338793,0.9711586463120087,0.9711288306000001,0.01749867679670658,7.93580545699335e-06
w34_ad195std_hybrid,0.9701108333105611,195,hybrid,-7.466689438850871,0.9711496289934306,0.971119813281422,0.0005359509980940036,1.2398298243621042e-07
w34_ad196std_hybrid,0.9701091249775422,196,hybrid,-9.175022457785786,0.9711464577641603,0.9711166420521518,0.00011671307638494444,2.4390234942828215e-08
w36_ad197std_rescale,0.9701085984575707,197,rescale,-9.701542429296772,0.9711761012947693,0.9711462855827607,0.5564535757393827,0.003632791236629962
w38_ad202std_rankraw,0.9701067553636528,202,rankraw,-11.544636347227133,0.9711504101701824,0.9711205944581739,0.0007615956184851003,1.8265301393594058e-07
w34_ad195std_rescale,0.9701055638940179,195,rescale,-12.736105982069645,0.971170468144409,0.9711406524324004,0.2795204617777468,0.0006612658954385786
w40_ad211std_rankraw,0.9701044021654543,211,rankraw,-13.897834545639753,0.9711460418585458,0.9711162261465373,9.445223925552693e-05,1.9581952059866126e-08
w34_ad196std_rescale,0.970103914647338,196,rescale,-14.385352661960837,0.9711674065988629,0.9711375908868544,0.16379628900813192,0.00023503236976052388
w36_ad197std_rankraw,0.9701011303330038,197,rankraw,-17.169666996164068,0.9711399682588907,0.9711101525468822,3.1443167154421303e-06,6.705984656463215e-10
w34_ad196std_rankraw,0.9700979782970403,196,rankraw,-20.321702959735788,0.9711341170410087,0.9711043013290002,6.791151718754662e-08,1.929478798956552e-11
w34_ad195std_rankraw,0.9700978115521841,195,rankraw,-20.48844781588066,0.9711338075075847,0.9711039917955762,5.4597577014980914e-08,1.5862644531239312e-11
