stem,true_cv,n_src,reg_spread,reg_cv,have_oof,cv_w25a,cv_w46c,cv_w23b,cv_w45b,err6
blend150fx,0.9700319433658622,2,2.220446049250313e-10,0.9700319433658622,True,0.9700319433658622,0.970031943365862,,,0.0
blend150fx_hybrid,0.9700142363358246,2,2.220446049250313e-10,0.9700142363358246,True,0.9700142363358246,0.9700142363358244,,,0.0
blend150fx_logit,0.9699498370519285,1,0.0,0.9699498370519284,True,0.9699498370519284,,,,-1.1102230246251565e-10
blend150fx_rankraw,0.9700240718313954,2,2.220446049250313e-10,0.9700240718313954,True,0.9700240718313954,0.9700240718313952,,,0.0
blend150fx_rescale,0.9700125368779351,2,2.220446049250313e-10,0.9700125368779352,True,0.9700125368779352,0.970012536877935,,,1.1102230246251565e-10
blend150sx,0.9700330480936658,2,2.220446049250313e-10,0.9700330480936658,True,0.9700330480936658,0.970033048093666,,,0.0
blend150sx_hybrid,0.9700160915169685,2,0.0,0.9700160915169684,True,0.9700160915169684,0.9700160915169684,,,-1.1102230246251565e-10
blend150sx_logit,0.9699553831959209,1,0.0,0.9699553831959208,True,0.9699553831959208,,,,-1.1102230246251565e-10
blend150sx_rankraw,0.9700218568548381,2,0.0,0.970021856854838,True,0.970021856854838,0.970021856854838,,,-1.1102230246251565e-10
blend150sx_rescale,0.9700170339298693,2,0.0,0.9700170339298694,True,,,0.9700170339298694,0.9700170339298694,1.1102230246251565e-10
blend153,0.9700343285733894,2,1.1102230246251565e-10,0.9700343285733894,True,0.9700343285733894,0.9700343285733896,,,0.0
blend153_hybrid,0.9700168430359333,2,1.1102230246251565e-10,0.9700168430359332,True,,,0.9700168430359332,0.9700168430359333,-1.1102230246251565e-10
blend153_logit,0.9699540296194336,2,0.0,0.9699540296194336,True,,,0.9699540296194336,0.9699540296194336,0.0
blend153_rankraw,0.9700266911160214,2,0.0,0.9700266911160214,True,,,0.9700266911160214,0.9700266911160214,0.0
blend153_rescale,0.9700197991441539,2,0.0,0.9700197991441538,True,,,0.9700197991441538,0.9700197991441538,-1.1102230246251565e-10
blend156,0.9700416046775032,2,0.0,0.9700416046775032,True,0.9700416046775032,0.9700416046775032,,,0.0
blend156_h3,0.9700461184445183,2,0.0,0.9700461184445184,True,0.9700461184445184,0.9700461184445184,,,1.1102230246251565e-10
blend156_hybrid,0.970023048486854,2,0.0,0.9700230484868538,True,,,0.9700230484868538,0.9700230484868538,-1.1102230246251565e-10
blend156_logit,0.9699618031215246,2,1.1102230246251565e-10,0.9699618031215244,True,,,0.9699618031215244,0.9699618031215245,-2.220446049250313e-10
blend156_rankraw,0.9700360784150184,2,0.0,0.9700360784150184,True,0.9700360784150184,0.9700360784150184,,,0.0
blend156_rescale,0.970025114813873,2,2.220446049250313e-10,0.970025114813873,True,0.970025114813873,0.9700251148138732,,,0.0
blend156w,0.970046657295287,2,0.0,0.970046657295287,True,0.970046657295287,0.970046657295287,,,0.0
blend156w2,0.9700464659091339,2,0.0,0.970046465909134,True,0.970046465909134,0.970046465909134,,,1.1102230246251565e-10
blend158,0.9700432266594199,2,0.0,0.97004322665942,True,0.97004322665942,0.97004322665942,,,1.1102230246251565e-10
blend158_h3,0.9700483189336571,2,0.0,0.9700483189336572,True,0.9700483189336572,0.9700483189336572,,,1.1102230246251565e-10
blend158_hybrid,0.9700283333245054,2,0.0,0.9700283333245054,True,0.9700283333245054,0.9700283333245054,,,0.0
blend158_logit,0.9699613898723587,1,0.0,0.9699613898723588,True,0.9699613898723588,,,,1.1102230246251565e-10
