dir,member,auc
data/ext_members16,hboyang_mix,0.970181553604739
data/ext_members16,ravi200_l2stack1r,0.969295652885091
data/ext_members16,ravi200_publicm12,0.9692139987562111
data/ext_members15,y94_naji05,0.968814588855316
data/ext_members15,y94_naji03,0.9688139407425194
data/ext_members16,ravi200_publicm13,0.9687564508559878
data/ext_members10es,om_xgb2,0.9687331699655731
data/ext_members3,ad_catnative,0.9686011660755198
data/ext_members15,y94_lookup,0.9685261253744222
data/ext_members15,y94_tabm_deeper,0.9684598015321553
data/ext_members3,ad_gxgbcs4,0.9684511291859809
data/ext_members15,y94_pub_rmlp,0.968436452502668
data/ext_members2,bolt_foldsafe_te_xgb_10f,0.9684255944287906
data/ext_members3,ad_gcatnote,0.9684050722675743
data/ext_members3,ad_xgbte,0.9683719953350659
data/ext_members14,lexb_lgb02,0.9683696067936562
data/ext_members2,bolt_lookup_v2_s20260901,0.968344090243421
data/ext_members2,bolt_lookup_v2_s42,0.9683408920456207
data/ext_members3,ad_gxgbd4,0.9683365263395127
data/ext_members2,bolt_lookup_v2_s1037,0.9683270112873662
data/ext_members2,bolt_lookup_v2_s959,0.9683212409207641
data/ext_members2,bolt_lookup_v2_s81,0.9683062636856836
data/ext_members3,ad_gxgbd8,0.9683017762294439
data/ext_members3,ad_glgbcs3,0.9683013371464966
data/ext_members2,bolt_lookup_v2_s03,0.9682971043085356
data/ext_members7,lat_ctfix2000,0.968286118283607
data/ext_members3,ad_gcatlr02,0.9682747006756973
data/ext_members12,ram_lgb,0.9682590393147879
data/ext_members2,bei_realmlp_seed01_fixed4,0.9682583979407973
data/ext_members2,bolt_foldsafe_te_xgb,0.9682418043259399
data/ext_members3,ad_glgbd4,0.9681932018996406
data/ext_members3,ad_lgbte,0.9681645826366312
data/ext_members3,ad_lgbs7,0.9681547335467371
data/ext_members2,bolt_foldsafe_te_wide,0.9681547102450823
data/ext_members2,bolt_foldsafe_te_multi,0.968148931952264
data/ext_members2,bolt_xgb_hpo_d7,0.968133615092519
data/ext_members2,bolt_xgb_d7_alt2,0.968100467280761
data/ext_members2,bolt_xgb_d7_alt1,0.968100467280761
data/ext_members15,y94_tabm_imp,0.9680982231162424
data/ext_members2,bolt_xgb_dd_d6,0.968095276030309
data/ext_members3,ad_gcatseed7,0.9680932890212705
data/ext_members3,ad_glgb127,0.9680911238550453
data/ext_members2,bolt_xgb_te_5fold,0.9680276088516985
data/ext_members12,ram_hgb,0.9680258266201603
data/ext_members2,bolt_xgb_dd_d5,0.9680121411857949
data/ext_members14,lexb_cat_base,0.9679867951811431
data/ext_members10es,om_flamlxgb,0.9679800816760007
data/ext_members3,ad_gcatd8,0.9679433569282856
data/ext_members14,lexb_xgb_base,0.9679141267427729
data/ext_members2,bolt_xgb_te_4fold,0.9679096772024662
data/ext_members2,bolt_lgb_missing_global,0.9679088204809952
oof,xgb_latcat_avg3,0.9679044620160593
data/ext_members2,bolt_cat_dual_view,0.9678508975449808
data/ext_members2,bolt_xgb_dd_d4,0.967848397671187
data/ext_members2,bolt_cat_dual_seed81,0.9678270574808165
oof,lgbm_tuned_lat_frac,0.9678205564256707
oof,lgbm_fixed_lat_frac,0.9677899182813025
oof,xgb_latcat_s23,0.9677662151143603
oof,xgb_latcat_s17,0.967750105262562
data/ext_members2,bolt_foldsafe_te_cat,0.9677370177805276
data/ext_members2,bei_screen_relations,0.9677335645990914
oof,lgbm_tuned_lat,0.9677122426308992
oof,lgbm_fixed_lat,0.9677108350221775
data/ext_members7,lat_ctraw2000,0.967710670936308
data/ext_members10es,om_cnn,0.967705633496061
data/ext_members2,bolt_lgb_pair_lattice,0.967697540773477
oof,xgb_latcat,0.9676963323857853
oof,xgb_lat,0.9676643765916974
data/ext_members16,ern711_multilevel,0.9675984885137187
data/ext_members15,y94_pub_tabnet,0.9675594948587001
data/ext_members13es,omid_tabm,0.9675077199415221
data/ext_members10es,om_tabtrans,0.9674689212145893
data/ext_members3,ad_hgbte,0.9674683383484557
data/ext_members,fmplr,0.9673922620024661
oof,lgbm_stump_lat_frac,0.9673494929414721
data/ext_members2,bolt_realmlp_lattice,0.9673103156590613
data/ext_members2,bei_exact_value_catboost_fixed4000,0.9672979770826748
data/ext_members10,om_cat,0.9671499133186101
data/ext_members,fmnum,0.9671329196328098
data/ext_members2,bolt_cat_nested_te,0.967061540716748
data/ext_members3,ad_gxgbnote,0.9670417857696223
data/ext_members15,y94_rmlp_lat3,0.9669280732219446
data/ext_members2,bolt_repr_lgb_global,0.9668143171257472
data/ext_members15,y94_rmlp_lat,0.9667813497495822
data/ext_members11es,dm_cat,0.96670012544794
data/ext_members,fmdeep,0.9666559279782497
data/ext_members10,om_ftt,0.9665681105565826
data/ext_members16,ern711_contextual,0.9665204981918208
data/ext_members3,ad_lgbnote,0.9664905786893656
data/ext_members2,bolt_cat_pair_evidence,0.9664626387923961
data/ext_members11es,dm_lgb,0.9663919918385531
data/ext_members7,xgb_ctfix_r400,0.9663822154293216
data/ext_members3,ad_glgbnote2,0.9663810314799509
data/ext_members2,bolt_lgb_te_5fold,0.9663602897747238
oof,cat_lat,0.9663533431769165
data/ext_members10es,om_flamllgb,0.9663407222810896
data/ext_members7,xgb_ctraw_r400,0.9661227778791031
data/ext_members2,bei_lookup_fixed24_seed1042,0.9660576049569232
data/ext_members2,bei_lookup_fixed24,0.9660513504365333
data/ext_members2,bei_xgb_screen_relations_treatment110,0.9660285503913961
data/ext_members2,bei_xgb_identity_digit_enhanced103,0.9658487549137698
data/ext_members6,lat_ctfixte_r400,0.9657882074461972
data/ext_members6,lat_ctfix_r400,0.96577519451728
data/ext_members2,bei_identity_digit_enhanced103,0.9657459768249456
data/ext_members2,mkt_lgb,0.9657037295951756
data/ext_members7pin,lat_ctdrop_r400,0.9656895128506031
data/ext_members7,lat_ctdrop_r400,0.9656895128506031
data/ext_members2,bolt_deepfm_exact,0.965606797933168
data/ext_members6,lat_ctraw_r400,0.965481330634299
data/ext_members2,mkt_xgb,0.9654747979047347
data/ext_members2,bolt_lookup_v1,0.9654725180519456
data/ext_members2,bolt_lookup_v3_evidence,0.9653372490276525
oof,xgb_raw_nan,0.9651515871249907
data/ext_members2,bolt_lgb_driver_recon,0.9650057382968876
data/ext_members,fmwide,0.9649296734139725
data/ext_members,golem_e,0.9648629346733592
data/ext_members,golem_a,0.964792297584154
data/ext_members2,mkt_cat,0.9647696947252113
data/ext_members11es,ravi_realmlp1c,0.9646676404795624
data/ext_members,fmpure,0.9645492323185924
data/ext_members12es,dkv_xgb,0.9644659266392541
data/ext_members11,ravi_xgb1c,0.9642014816182081
data/ext_members11,ravi_lgbm1c,0.9641730989593497
data/ext_members3,ad_gnn_wide,0.9640497938074364
data/ext_members,golem_f,0.9640479661295521
data/ext_members12es,dkv_lgb,0.9639537086775002
data/ext_members11es,ravi_cb1c,0.9639441018700132
data/ext_members3,ad_gnn_te,0.9639408281245131
data/ext_members12es,kava_cat,0.9637552596060746
