stem,cv,lb,era,above,cv_era,cv_reg
w36_ad199stdcorr,0.9701400059625016,0.97118,True,True,0.970123944315435,0.9701183
w36_ad199std,0.9701323249566141,0.97117,True,True,0.9701162633095475,0.9701183
w34_ad195stdcorr,0.9701247948837451,0.97117,True,True,0.9701087332366786,0.9701183
w36_ad199std_hybrid,0.9701231283130562,0.97114,True,True,0.9701070666659897,0.9701183
w36_ad199std_rescale,0.970121937254448,0.97116,True,True,0.9701058756073814,0.9701183
w29_ad194stdcorr,0.9701182875261917,0.97118,False,False,0.9701182875261917,0.9701182875261917
w27_ad190stdcorr,0.9701181344162544,0.97118,False,False,0.9701181344162544,0.9701181344162544
w23_ad187stdcorr,0.9701150808744374,0.97116,False,False,0.9701150808744374,0.9701150808744374
w29_ad194std,0.9701116199443892,0.97116,False,False,0.9701116199443892,0.9701116199443892
w27_ad188std_h3,0.970111472035714,0.97115,False,False,0.970111472035714,0.970111472035714
w27_ad188raw,0.9701113750689625,0.97116,False,False,0.9701113750689625,0.9701113750689625
w27_ad190std,0.970110933814171,0.97117,False,False,0.970110933814171,0.970110933814171
w27_ad188std,0.9701093456480703,0.97116,False,False,0.9701093456480703,0.9701093456480703
w23_ad187std_h3,0.9701092750631358,0.97114,False,False,0.9701092750631358,0.9701092750631358
w21_ad187corr,0.970106881371208,0.97117,False,False,0.970106881371208,0.970106881371208
w23_ad187std,0.9701058972467212,0.97115,False,False,0.9701058972467212,0.9701058972467212
w21_ad187corr_ens4,0.9701039330674182,0.97118,False,False,0.9701039330674182,0.9701039330674182
w20_ad187_h3,0.9701008149538332,0.97115,False,False,0.9701008149538332,0.9701008149538332
w22_ad187corr_rankraw,0.9701001354964539,0.97117,False,False,0.9701001354964539,0.9701001354964539
w27_ad190std_rescale,0.970099001418308,0.97115,False,False,0.970099001418308,0.970099001418308
w27_ad188raw_rescale,0.9700989713676981,0.97115,False,False,0.9700989713676981,0.9700989713676981
w20_ad187,0.970097889484853,0.97116,False,False,0.970097889484853,0.970097889484853
w29_ad194std_rescale,0.9700978808735926,0.97115,False,False,0.9700978808735926,0.9700978808735926
w23_ad187std_h3_hybrid,0.9700977969987988,0.97112,False,False,0.9700977969987988,0.9700977969987988
w23_ad187std_h3_rescale,0.9700937038591301,0.97114,False,False,0.9700937038591301,0.9700937038591301
w23_ad187std_h3_rankraw,0.97009179122053,0.97114,False,False,0.97009179122053,0.97009179122053
w20_ad187_rankraw,0.9700915299750819,0.97114,False,False,0.9700915299750819,0.9700915299750819
w20_ad187_rescale,0.9700778470728432,0.97115,False,False,0.9700778470728432,0.9700778470728432
w20_ad187_hybrid,0.9700773469651351,0.97113,False,False,0.9700773469651351,0.9700773469651351
w16n_finegrid,0.9700556964750705,0.97107,False,False,0.9700556964750705,0.9700556964750705
w16i_schemeavg,0.9700556662570055,0.97107,False,False,0.9700556662570055,0.9700556662570055
w16e_aonly,0.9700544304624675,0.97108,False,False,0.9700544304624675,0.9700544304624675
w16q_ens4avg,0.9700515171213084,0.97108,False,False,0.9700515171213084,0.9700515171213084
w16t_cellens4,0.9700513726632269,0.97108,False,False,0.9700513726632269,0.9700513726632269
blendtop3,0.970049460405207,0.97105,False,False,0.970049460405207,0.970049460405207
blend159av_wh3,0.9700492569216793,0.97105,False,False,0.9700492569216793,0.9700492569216793
blend159av_h3,0.9700491721182697,0.97105,False,False,0.9700491721182697,0.9700491721182697
w16h_h3av6,0.9700487290113216,0.97105,False,False,0.9700487290113216,0.9700487290113216
blend160origm_h3,0.9700486549808679,0.97105,False,False,0.9700486549808679,0.9700486549808679
blend158_h3,0.9700483189336571,0.97105,False,False,0.9700483189336571,0.9700483189336571
blend159av_w,0.9700481784285347,0.97105,False,False,0.9700481784285347,0.9700481784285347
w14a_repro159av_h3,0.9700472004643722,0.97105,False,False,0.9700472004643722,0.9700472004643722
blend159_h3,0.9700469365091934,0.97105,False,False,0.9700469365091934,0.9700469365091934
blend156w,0.970046657295287,0.97105,False,False,0.970046657295287,0.970046657295287
blend156w2,0.9700464659091339,0.97105,False,False,0.9700464659091339,0.9700464659091339
blend160orig_h3,0.9700463311228631,0.97105,False,False,0.9700463311228631,0.9700463311228631
blend156_h3,0.9700461184445183,0.97105,False,False,0.9700461184445183,0.9700461184445183
w16l_maskw_h3,0.970045740213802,0.97105,False,False,0.970045740213802,0.970045740213802
blend159av,0.9700448767129297,0.97106,False,False,0.9700448767129297,0.9700448767129297
blend160origm,0.9700442444424164,0.97106,False,False,0.9700442444424164,0.9700442444424164
w14a_repro159av,0.9700436164293267,0.97106,False,False,0.9700436164293267,0.9700436164293267
blend159,0.9700433779222748,0.97106,False,False,0.9700433779222748,0.9700433779222748
blend158,0.9700432266594199,0.97106,False,False,0.9700432266594199,0.9700432266594199
blend160orig,0.9700423076141413,0.97106,False,False,0.9700423076141413,0.9700423076141413
blend156,0.9700416046775032,0.97106,False,False,0.9700416046775032,0.9700416046775032
w29_ad194std_logit,0.9700399361886902,0.97116,False,False,0.9700399361886902,0.9700399361886902
w27_ad190std_logit,0.9700395047477925,0.97116,False,False,0.9700395047477925,0.9700395047477925
blend158_rankraw,0.9700364199222861,0.97104,False,False,0.9700364199222861,0.9700364199222861
blend156_rankraw,0.9700360784150184,0.97104,False,False,0.9700360784150184,0.9700360784150184
blend153,0.9700343285733894,0.97104,False,False,0.9700343285733894,0.9700343285733894
blend159av_rankraw,0.9700338606526145,0.97102,False,False,0.9700338606526145,0.9700338606526145
blend150sx,0.9700330480936658,0.97104,False,False,0.9700330480936658,0.9700330480936658
blend150fx,0.9700319433658622,0.97104,False,False,0.9700319433658622,0.9700319433658622
w23_ad187std_logit,0.9700298054694743,0.97114,False,False,0.9700298054694743,0.9700298054694743
blend159av_hybrid,0.9700291725494377,0.97102,False,False,0.9700291725494377,0.9700291725494377
blend159av_rescale,0.9700286702343647,0.97105,False,False,0.9700286702343647,0.9700286702343647
blend158_hybrid,0.9700283333245054,0.97103,False,False,0.9700283333245054,0.9700283333245054
blend158_rescale,0.9700273730091135,0.97105,False,False,0.9700273730091135,0.9700273730091135
w14a_repro159av_rescale,0.9700271740621013,0.97105,False,False,0.9700271740621013,0.9700271740621013
blend160origm_rescale,0.9700270088294171,0.97105,False,False,0.9700270088294171,0.9700270088294171
blend159_rescale,0.9700258921564706,0.97105,False,False,0.9700258921564706,0.9700258921564706
blend156_rescale,0.970025114813873,0.97105,False,False,0.970025114813873,0.970025114813873
w20_ad187_logit,0.970024799820357,0.97116,False,False,0.970024799820357,0.970024799820357
stack_pub151_fixed_rankraw,0.9700245019225018,0.97103,False,False,0.9700245019225018,0.9700245019225018
stack_pub151_hybrid,0.9700242945519818,0.97099,False,False,0.9700242945519818,0.9700242945519818
blend150fx_rankraw,0.9700240718313954,0.97102,False,False,0.9700240718313954,0.9700240718313954
blend160orig_rescale,0.9700233486631156,0.97105,False,False,0.9700233486631156,0.9700233486631156
stack_pub151_rankraw,0.970023065836235,0.97102,False,False,0.970023065836235,0.970023065836235
blend150sx_rankraw,0.9700218568548381,0.97102,False,False,0.9700218568548381,0.9700218568548381
stack_pub149_hybrid,0.9700183101166489,0.97099,False,False,0.9700183101166489,0.9700183101166489
blend150sx_hybrid,0.9700160915169685,0.97101,False,False,0.9700160915169685,0.9700160915169685
blend150fx_hybrid,0.9700142363358246,0.97099,False,False,0.9700142363358246,0.9700142363358246
blend150fx_rescale,0.9700125368779351,0.97102,False,False,0.9700125368779351,0.9700125368779351
w14a_repro159av_logit,0.969964869765448,0.97106,False,False,0.969964869765448,0.969964869765448
blend159av_logit,0.9699647645223465,0.97106,False,False,0.9699647645223465,0.9699647645223465
blend159_logit,0.9699646622223983,0.97106,False,False,0.9699646622223983,0.9699646622223983
