lb,order,limit,tiebreak,cal_selected,wanted_captured,selection
0.9708,first,1,latest,False,0,w42_ad217stdcorr
0.9708,first,1,earliest,False,0,w36_ad199stdcorr_ens4
0.9708,first,2,latest,False,0,w42_ad217stdcorr;w29_ad194stdcorr_ens4
0.9708,first,2,earliest,False,0,w36_ad199stdcorr_ens4;w38_ad202stdcorr_ens4
0.9708,last,1,latest,False,0,w42_ad217stdcorr
0.9708,last,1,earliest,False,0,w36_ad199stdcorr_ens4
0.9708,last,2,latest,False,0,w42_ad217stdcorr;w29_ad194stdcorr_ens4
0.9708,last,2,earliest,False,0,w36_ad199stdcorr_ens4;w38_ad202stdcorr_ens4
0.971,first,1,latest,False,0,w42_ad217stdcorr
0.971,first,1,earliest,False,0,w36_ad199stdcorr_ens4
0.971,first,2,latest,False,0,w42_ad217stdcorr;w29_ad194stdcorr_ens4
0.971,first,2,earliest,False,0,w36_ad199stdcorr_ens4;w38_ad202stdcorr_ens4
0.971,last,1,latest,False,0,w42_ad217stdcorr
0.971,last,1,earliest,False,0,w36_ad199stdcorr_ens4
0.971,last,2,latest,False,0,w42_ad217stdcorr;w29_ad194stdcorr_ens4
0.971,last,2,earliest,False,0,w36_ad199stdcorr_ens4;w38_ad202stdcorr_ens4
0.97119,first,1,latest,False,0,w42_ad217stdcorr
0.97119,first,1,earliest,True,0,w48_cal_hboyang_mix
0.97119,first,2,latest,False,0,w42_ad217stdcorr;w29_ad194stdcorr_ens4
0.97119,first,2,earliest,True,0,w48_cal_hboyang_mix;w36_ad199stdcorr_ens4
0.97119,last,1,latest,False,0,w42_ad217stdcorr
0.97119,last,1,earliest,True,0,w48_cal_hboyang_mix
0.97119,last,2,latest,False,0,w42_ad217stdcorr;w29_ad194stdcorr_ens4
0.97119,last,2,earliest,True,0,w48_cal_hboyang_mix;w36_ad199stdcorr_ens4
0.9712,first,1,latest,True,0,w48_cal_hboyang_mix
0.9712,first,1,earliest,True,0,w48_cal_hboyang_mix
0.9712,first,2,latest,True,0,w48_cal_hboyang_mix;w42_ad217stdcorr
0.9712,first,2,earliest,True,0,w48_cal_hboyang_mix;w36_ad199stdcorr_ens4
0.9712,last,1,latest,True,0,w48_cal_hboyang_mix
0.9712,last,1,earliest,True,0,w48_cal_hboyang_mix
0.9712,last,2,latest,True,0,w48_cal_hboyang_mix;w42_ad217stdcorr
0.9712,last,2,earliest,True,0,w48_cal_hboyang_mix;w36_ad199stdcorr_ens4
0.97123,first,1,latest,True,0,w48_cal_hboyang_mix
0.97123,first,1,earliest,True,0,w48_cal_hboyang_mix
0.97123,first,2,latest,True,0,w48_cal_hboyang_mix;w42_ad217stdcorr
0.97123,first,2,earliest,True,0,w48_cal_hboyang_mix;w36_ad199stdcorr_ens4
0.97123,last,1,latest,True,0,w48_cal_hboyang_mix
0.97123,last,1,earliest,True,0,w48_cal_hboyang_mix
0.97123,last,2,latest,True,0,w48_cal_hboyang_mix;w42_ad217stdcorr
0.97123,last,2,earliest,True,0,w48_cal_hboyang_mix;w36_ad199stdcorr_ens4
0.97125,first,1,latest,True,0,w48_cal_hboyang_mix
0.97125,first,1,earliest,True,0,w48_cal_hboyang_mix
0.97125,first,2,latest,True,0,w48_cal_hboyang_mix;w42_ad217stdcorr
0.97125,first,2,earliest,True,0,w48_cal_hboyang_mix;w36_ad199stdcorr_ens4
0.97125,last,1,latest,True,0,w48_cal_hboyang_mix
0.97125,last,1,earliest,True,0,w48_cal_hboyang_mix
0.97125,last,2,latest,True,0,w48_cal_hboyang_mix;w42_ad217stdcorr
0.97125,last,2,earliest,True,0,w48_cal_hboyang_mix;w36_ad199stdcorr_ens4
