stem,cv,lb,day,fam,std,corr,era,cv6,lb6
blend150fx,0.970031943365862,0.97104,2026-08-10,ens4,0.0,0.0,0.0,-25.196155863826952,971040.0
blend150fx_hybrid,0.9700142363358244,0.97099,2026-08-10,hybrid,0.0,0.0,0.0,-42.90318590138842,970990.0
blend150fx_rankraw,0.9700240718313952,0.97102,2026-08-10,rankraw,0.0,0.0,0.0,-33.06769033062373,971020.0
blend150fx_rescale,0.970012536877935,0.97102,2026-08-11,rescale,0.0,0.0,0.0,-44.60264379080314,971020.0
blend150sx,0.970033048093666,0.97104,2026-08-11,ens4,0.0,0.0,0.0,-24.09142805981368,971040.0
blend150sx_hybrid,0.9700160915169684,0.97101,2026-08-11,hybrid,0.0,0.0,0.0,-41.048004757349155,971010.0
blend150sx_rankraw,0.970021856854838,0.97102,2026-08-11,rankraw,0.0,0.0,0.0,-35.28266688779258,971020.0
blend153,0.9700343285733896,0.97104,2026-08-11,ens4,0.0,0.0,0.0,-22.8109483362271,971040.0
blend156,0.9700416046775032,0.97106,2026-08-11,ens4,0.0,0.0,0.0,-15.534844222564459,971060.0
blend156_h3,0.9700461184445184,0.97105,2026-08-14,h3,0.0,0.0,0.0,-11.021077207407082,971050.0
blend156_rankraw,0.9700360784150184,0.97104,2026-08-11,rankraw,0.0,0.0,0.0,-21.06110670740957,971040.0
blend156_rescale,0.9700251148138732,0.97105,2026-08-11,rescale,0.0,0.0,0.0,-32.02470785257372,971050.0
blend156w,0.970046657295287,0.97105,2026-08-13,w,0.0,0.0,0.0,-10.482226438734976,971050.0
blend156w2,0.970046465909134,0.97105,2026-08-15,w,0.0,0.0,0.0,-10.673612591771686,971050.0
blend158,0.97004322665942,0.97106,2026-08-13,ens4,0.0,0.0,0.0,-13.912862305787144,971060.0
blend158_h3,0.9700483189336572,0.97105,2026-08-13,h3,0.0,0.0,0.0,-8.820588068614299,971050.0
blend158_hybrid,0.9700283333245054,0.97103,2026-08-13,hybrid,0.0,0.0,0.0,-28.8061972203435,971030.0
blend158_rankraw,0.970036419922286,0.97104,2026-08-13,rankraw,0.0,0.0,0.0,-20.71959943983348,971040.0
blend158_rescale,0.9700273730091136,0.97105,2026-08-13,rescale,0.0,0.0,0.0,-29.766512612217078,971050.0
blend159,0.9700433779222748,0.97106,2026-08-15,ens4,0.0,0.0,0.0,-13.76159945098987,971060.0
blend159_h3,0.9700469365091934,0.97105,2026-08-14,h3,0.0,0.0,0.0,-10.203012532405964,971050.0
blend159_rescale,0.9700258921564706,0.97105,2026-08-19,rescale,0.0,0.0,0.0,-31.247365255171466,971050.0
