stem,lb,lo,n_sent,cv,fam,std,pack,build,in_fit,raw_pred,res6
w48_cal_hboyang_mix,0.97109,0.97109,1,0.970181553604739,member,True,,48.0,False,0.9712769060501558,-186.90605015581065
w42_ad217stdcorr,0.97119,0.97119,1,0.9701788311219953,h3,True,217.0,42.0,False,0.971284457400691,-94.45740069102814
w42_ad217std,0.97117,0.97117,1,0.970176490904118,ens4,True,217.0,42.0,False,0.9712812163741379,-111.21637413791241
w42_ad217std_h3,0.97117,0.97117,1,0.9701748950350748,h3,True,217.0,42.0,False,0.9712645455497244,-94.54554972443407
w42_ad217std_hybrid,0.97115,0.97115,1,0.9701644071997302,hybrid,True,217.0,42.0,False,0.971249079793465,-99.07979346501783
w42_ad217std_rankraw,0.97116,0.97116,1,0.9701540298645678,rankraw,True,217.0,42.0,False,0.971238167228894,-78.16722889397721
w50_ad216stdcorr,0.97118,0.97118,1,0.9701500879826798,h3,True,216.0,50.0,False,0.9712311006583533,-51.10065835323141
w42_ad217std_rescale,0.97116,0.97116,1,0.9701472358438858,rescale,True,217.0,42.0,False,0.9712478250213809,-87.82502138082737
w50_ad216std_h3,0.97116,0.97116,1,0.9701459152104175,h3,True,216.0,50.0,False,0.971210749441364,-50.74944136396198
w50_ad216std,0.97117,0.97117,1,0.9701438207661358,ens4,True,216.0,50.0,False,0.9712205698276588,-50.56982765883067
w36_ad199stdcorr,0.97118,0.97118,1,0.9701400059625016,h3,True,199.0,36.0,False,0.9712123851051568,-32.385105156795824
w69_ad208stdcorr,0.97117,0.97117,1,0.9701391337793273,h3,True,208.0,69.0,False,0.9712107660456522,-40.76604565217412
w38_ad202stdcorr,0.97117,0.97117,1,0.9701375890907046,h3,True,202.0,38.0,False,0.97120789859433,-37.898594330010305
w40_ad211stdcorr,0.97118,0.97118,1,0.9701374732624001,h3,True,211.0,40.0,False,0.9712076835788117,-27.683578811665832
w36_ad199stdcorr_ens4,0.97119,0.97119,2,0.9701365874696789,ens4,True,199.0,36.0,False,0.9712197476208596,-29.747620859610358
w50_ad216std_hybrid,0.97114,0.97114,1,0.9701365514769442,hybrid,True,216.0,50.0,False,0.9711973703887611,-57.370388761079916
