stem,cv,dcv,uncond,cond
w36_ad199stdcorr,0.9701400059625017,0.0,-0.05098957393784076,0.0
w38_ad202stdcorr,0.9701375890907046,-2.4168717971395637,1.5021657808101736,-514.9438232445391
w40_ad211stdcorr,0.9701374732624002,-2.5327001015318373,2.276329525804613,-514.8279937026091
w36_ad199std_h3,0.9701354276135699,-4.57834893186071,2.4178439124953,-512.7823384314543
w40_ad211std_h3,0.9701331846110894,-6.821351412278354,3.7769317626953125,-510.53934128477704
w38_ad202std_h3,0.9701330213726453,-6.984589856373624,3.50110775482608,-510.3760890244739
w36_ad199std,0.9701323249566141,-7.681005887660852,5.054380971996579,-509.6796823415207
w40_ad211std,0.9701309541017873,-9.051860714426319,5.320077435870189,-508.3088219418423
w38_ad202std,0.970130572603156,-9.43335934566747,5.323946189018898,-507.92732796189375
w36_ad197stdcorr,0.9701286299342439,-11.376028257847892,5.249302405281924,-505.9846626223298
w34_ad195stdcorr,0.9701247948837451,-15.211078756571794,5.500970433407929,-502.1496010492556
w36_ad197std_h3,0.9701244431160363,-15.562846465422275,5.3970901151769795,-501.7978409131756
w38_ad202std_hybrid,0.9701232617749083,-16.744187593453752,5.347443735867273,-500.6165037761675
w36_ad199std_hybrid,0.9701231283130562,-16.8776494454681,5.382900916505605,-500.48304050648585
w36_ad199std_rescale,0.970121937254448,-18.06870805376448,5.5451841783942655,-499.2919676468009
w36_ad197std,0.9701210588551308,-18.947107370936855,5.565374641271774,-498.41358024056535
w40_ad211std_rescale,0.9701209816379527,-19.02432454903291,-498.33635503670666,-498.33635503670666
w34_ad195std_h3,0.9701205752646018,-19.43069789989149,5.533147507579997,-497.9299840234453
w38_ad202std_rescale,0.9701200354040269,-19.970558474802225,-497.39012456533965,-497.39012456533965
w34_ad196std_h3,0.9701199172668695,-20.088695632192177,-497.2719853804447,-497.2719853804447
w34_ad195std_wh3,0.9701196117472624,-20.394215239361024,-496.96647985256277,-496.96647985256277
w34_ad195std_w,0.9701195043323166,-20.50163018507689,-496.85904766165186,-496.85904766165186
w40_ad211std_hybrid,0.9701194945387205,-20.511423781233162,-496.8492692318978,-496.8492692318978
w34_ad196std,0.970118550552755,-21.455409746740095,-495.9052817312768,-495.9052817312768
w29_ad194stdcorr,0.9701182875261917,-21.71843631004755,5.563988208188675,-495.6422576640034
w34_ad195std,0.9701181648626676,-21.84109983416338,-495.5195876326179,-495.5195876326179
w27_ad190stdcorr,0.9701181344162544,-21.871546247331786,5.561413870716933,-495.48914487985894
w27_ad188stdcorr,0.9701168076021642,-23.198360337484125,-494.162333618151,-494.162333618151
w23_ad187stdcorr,0.9701150808744373,-24.925088064398082,5.556940982816741,0.0
w29_ad194std_h3,0.9701140063799218,-25.999582579872005,-491.361096125911,-491.361096125911
w36_ad197std_hybrid,0.970112425718862,-27.580243639691027,5.566502096713521,-489.78044014202897
w29_ad194std,0.9701116199443891,-28.386018112613876,5.5709322249749675,-488.9746619198704
w27_ad188std_h3,0.970111472035714,-28.533926787699393,5.566443665360566,-488.8267587329028
w27_ad188raw,0.9701113750689625,-28.63089353921655,5.57001947023673,-488.72979656164534
w27_ad190std,0.970110933814171,-29.07214833069993,5.570992531836964,-488.2885425265413
w34_ad195std_hybrid,0.9701108333105611,-29.17265194057883,5.568162561568897,-488.1880427716533
w27_ad188std,0.9701093456480704,-30.660314431329994,5.570815099985339,-486.7003737887135
w23_ad187std_h3,0.9701092750631359,-30.730899365782882,5.566523912420962,-486.62978728918824
w34_ad196std_hybrid,0.9701091249775422,-30.880984959513746,5.569890575716272,-486.4797018133104
w21_ad187corr,0.9701068813712079,-33.1245912937872,5.570770344696939,-484.236081805313
w38_ad202std_rankraw,0.9701067553636528,-33.25059884895509,5.569943005568348,-484.11007821396925
w23_ad187std,0.9701058972467211,-34.10871578057861,5.570949949382339,-483.25198531500064
w40_ad211std_rankraw,0.9701044021654543,-35.60379704736771,5.570558072940912,-481.756899271626
w21_ad187corr_ens4,0.970103933067418,-36.07289508367195,5.571156577032525,-481.28779893903993
w20_ad187_h3,0.9701008149538332,-39.191008668559846,5.571057355671655,-478.1696681084577
w22_ad187corr_rankraw,0.9701001354964539,-39.87046604780886,5.570937458716799,-477.49021465773694
w27_ad190std_rescale,0.9700990014183078,-41.00454419386779,5.571155946876388,-476.3561475155875
w27_ad188raw_rescale,0.9700989713676981,-41.03459480364613,5.571141468884889,-476.3260870468803
w20_ad187,0.970097889484853,-42.11647764873483,5.571166883921251,-475.24420602968894
w29_ad194std_rescale,0.9700978808735925,-42.12508890921729,5.571168226248119,-475.2355956668034
w23_ad187std_h3_hybrid,0.9700977969987987,-42.20896370299432,5.570958992349915,-475.15173156082164
w23_ad187std_h3_rescale,0.9700937038591301,-46.302103371642644,5.571164482156746,-471.05857663438655
w23_ad187std_h3_rankraw,0.97009179122053,-48.21474197169717,5.57111779123079,-469.14594380697235
w20_ad187_rankraw,0.970091529975082,-48.475987419749345,5.571123765548691,-468.88470666401554
w20_ad187_rescale,0.9700778470728432,-62.15888965854788,5.571170962182805,-455.20179295167327
w20_ad187_hybrid,0.9700773469651351,-62.658997366571434,5.5711709461174905,-454.7016912753461
w16n_finegrid,0.9700556964750705,-84.30948743121114,5.571170962124597,-433.05120197858196
