k,gh,zmin,zmax,in_hull,l1,wmin,wmax,cond,sd_gap,added,ols
2,1045.4201062763195,1032.4109092954004,1039.9940374983264,False,2.431089817497584,-0.7155449087487918,1.715544908748792,71220.12081472768,556.9667959247763,w38_ad202stdcorr,1036.2024733968633
3,1042.8072078540833,1032.4109092954004,1042.5267375998583,False,2.8235890461818363,-0.5063819079163262,1.9117945230909184,106934.2728873873,556.9641883263309,w40_ad211stdcorr,1038.3105614645283
4,1044.2276726616913,1032.4109092954004,1053.4125303209853,True,2.8071452888294526,-0.5129391943720726,1.80420911019803,161255.62442648786,556.9637420129422,w36_ad199stdcorr_ens4,1042.0860536786427
5,1054.364659546968,1024.5723864301672,1053.4125303209853,False,4.156674829670078,-0.6343402901830094,2.4796941606505634,240368.08292898396,556.9484635470569,w36_ad199std_h3,1038.5833202289475
6,1069.511369438083,1024.5723864301672,1055.0999111332837,False,10.354236729429056,-2.0179161907647294,3.97846502758106,1823296.6493720002,556.9385131608353,w38_ad202stdcorr_ens4,1041.3360853796703
7,1070.9914190729558,1024.5723864301672,1055.0999111332837,False,12.681993153271193,-2.2705147087372763,1.792224562680105,46185090.34938208,556.9376654267012,w40_ad211std_h3,1039.261700169801
8,1071.499700082655,1016.9786273546144,1055.0999111332837,False,29.3328336471743,-7.875194786810706,7.653250810274016,62780659.38988748,556.9274481530879,w38_ad202std_h3,1036.4763160679026
9,1062.806561613966,1016.9786273546144,1055.0999111332837,False,64.66988010269415,-16.50361044035512,14.91764331515784,85505567.15906939,556.9014570188464,w36_ad199std,1036.609507992127
10,1069.2973913536298,1016.9786273546144,1055.0999111332837,False,66.44502571159802,-16.832790703114412,15.446258337583236,95256618.98272681,556.8994250567437,w40_ad211std,1036.853147014183
11,1126.638784301772,1016.9786273546144,1055.0999111332837,False,78.47128010266466,-19.699228954446784,18.408359540736,116954494.7475668,556.8961487139064,w38_ad202std,1036.1780788168912
12,1124.3095268777117,1016.9786273546144,1055.0999111332837,False,78.31949110767044,-19.488421790064155,18.233132623881993,127588371.64705648,556.8874163867807,w36_ad197stdcorr,1036.6107443951594
13,1123.1100992028137,1016.9786273546144,1055.0999111332837,False,78.46953330106126,-19.387892195031924,18.171011354642733,138234686.01137906,556.8793027473683,w34_ad195stdcorr,1037.2718499228265
14,1181.677658878003,1016.9786273546144,1055.0999111332837,False,148.86473800776932,-22.374667159206037,22.596910109759182,160628897.0188715,556.8262384421816,w36_ad197std_h3,1036.4350666400292
15,1189.883229226114,1006.7382250917856,1055.0999111332837,False,151.45470861324588,-22.554266968890435,22.73523148982785,172157660.4162072,556.8084427574896,w38_ad202std_hybrid,1034.4552772034797
16,1187.1927612342897,1006.7382250917856,1055.0999111332837,False,153.8612757935549,-22.462472101678607,22.761693032392895,183643801.18933982,556.7851050931514,w36_ad199std_hybrid,1033.3563028122467
17,1186.6441463244587,1006.7382250917856,1055.0999111332837,False,154.37849841229652,-22.58101816047642,22.795548824205937,195144510.66156396,556.7762207340288,w36_ad199std_rescale,1033.6331523851775
18,1192.0804443729298,1006.7382250917856,1055.0999111332837,False,168.11710837021212,-22.74839331653291,26.80484900474982,207724633.10033083,556.7545696608815,w36_ad197std,1033.9280408565146
19,1181.4064421787862,1006.7382250917856,1055.0999111332837,False,182.70864518830294,-25.97568574525303,29.98907442131907,223942563.05431384,556.7517196058631,w34_ad195std_h3,1033.6910247797575
20,1178.311660297845,1006.7382250917856,1061.712473808374,False,184.23159578437281,-25.988608978136426,30.139672790735492,235738901.80103025,556.7467132887549,w29_ad194stdcorr,1035.0920972311883
21,1171.0640202803056,1006.7382250917856,1061.8655837456581,False,180.5630455639247,-25.296248734722024,29.707551454202004,248269203.21618858,556.7088353477506,w27_ad190stdcorr,1036.3670251604487
22,1171.0955946303902,1006.7382250917856,1061.8655837456581,False,180.5645036531125,-25.296651428506365,29.7079201905991,260096114.94911027,556.7088360265753,w23_ad187stdcorr,1036.755756996915
23,1170.4014024650064,1006.7382250917856,1061.8655837456581,False,180.7425947584788,-25.284984379662262,29.77577972271243,271930117.49334025,556.708727089383,w36_ad197std_hybrid,1036.3565623943525
24,1162.3933987996145,1006.7382250917856,1061.8655837456581,False,182.38274508651415,-24.97533488983144,29.850706799287497,283760148.9710505,556.7074674181372,w29_ad194std,1036.8575412783762
25,1159.7737562069992,1006.7382250917856,1061.8655837456581,False,182.33468064811288,-24.95733004659071,29.899724410716328,295670362.3382852,556.7043530418343,w27_ad188std_h3,1036.9243581986786
26,1162.7658016668165,1006.7382250917856,1061.8655837456581,False,182.94038035337957,-25.108236752213386,30.16455379856704,307539915.08118916,556.6913080239186,w27_ad188raw,1037.374380230942
27,1129.2011841093154,1006.7382250917856,1061.8655837456581,False,182.5464016777882,-24.257519143129553,29.062929165963848,322237808.5424085,556.6790049241414,w27_ad190std,1038.177780438276
28,1136.4097869969385,1006.7382250917856,1061.8655837456581,False,187.7039352659107,-24.706126482683167,29.287049622609647,334427004.71105117,556.6601446033142,w34_ad195std_hybrid,1037.4988129025844
29,1136.0175753628498,1006.7382250917856,1061.8655837456581,False,188.15713060153635,-24.687363973767084,29.31225602996389,347455617.4240509,556.660110656427,w27_ad188std,1037.9524521793792
30,1087.637834602388,1006.7382250917856,1061.8655837456581,False,191.31315591616706,-26.124704784591767,30.88045171804797,363293623.3490833,556.636577065863,w23_ad187std_h3,1037.7115350022023
31,1087.2241650739497,1006.7382250917856,1061.8655837456581,False,192.87124523161648,-26.254042382761305,31.09223614155235,375422202.2907795,556.6325315623385,w34_ad196std_hybrid,1037.1684216943197
32,1079.7228592562897,1006.7382250917856,1063.118628792048,False,195.16771078314514,-26.532155916249366,31.303240981705144,387541045.10084635,556.6170872963319,w21_ad187corr,1037.9793656661238
