stem,cv,dcv,uncond,cond
w36_ad199stdcorr,0.9701400059625017,0.0,-0.05098333262139931,-0.16184461157536134
w40_ad211stdcorr,0.9701374732624002,-2.5327001015318373,2.27635784028098,3.3814719819347374
w36_ad199std_h3,0.9701354276135699,-4.57834893186071,2.3906543435296044,4.325622870877851
w40_ad211std_h3,0.9701331846110894,-6.821351412278354,3.6531343738315627,4.979247745883185
w38_ad202std_h3,0.9701330213726453,-6.984589856373624,3.855707671842538,5.110295868420508
w36_ad199std,0.9701323249566141,-7.681005887660852,4.644367836823221,5.446943236980587
w40_ad211std,0.9701309541017873,-9.051860714426319,5.038113319431432,5.525091660732869
w38_ad202std,0.970130572603156,-9.43335934566747,5.23293110501254,5.5567037799046375
w36_ad197stdcorr,0.9701286299342439,-11.376028257847892,4.9947562389425,5.457809369137976
w34_ad195stdcorr,0.9701247948837451,-15.211078756571794,5.4069817967829295,5.550394516030792
w36_ad197std_h3,0.9701244431160363,-15.562846465422275,5.388170433870982,5.5449084917781875
w38_ad202std_hybrid,0.9701232617749083,-16.744187593453752,5.4515013912459835,5.556334395019803
w36_ad199std_hybrid,0.9701231283130562,-16.8776494454681,5.42395774112083,5.5489266333170235
w36_ad199std_rescale,0.970121937254448,-18.06870805376448,5.522288197360467,5.567161071929149
w36_ad197std,0.9701210588551308,-18.947107370936855,5.557557650259696,5.570643930404913
w40_ad211std_rescale,0.9701209816379527,-19.02432454903291,5.524634596251417,5.567113799683284
w38_ad202std_rescale,0.9701200354040269,-19.970558474802225,5.552831334411167,5.5701572803081945
w34_ad196std_h3,0.9701199172668695,-20.088695632192177,5.532492737285793,5.56771822727751
w34_ad195std_wh3,0.9701196117472624,-20.394215239361024,5.540777299087495,5.568734959175345
w34_ad195std_w,0.9701195043323166,-20.50163018507689,5.551946537569165,5.569987853174098
w40_ad211std_hybrid,0.9701194945387205,-20.511423781233162,5.523783429991454,5.566080092510674
w34_ad196std,0.970118550552755,-21.455409746740095,5.56528840365354,5.570976740855258
w29_ad194stdcorr,0.9701182875261917,-21.71843631004755,5.563995552656706,5.567794343456626
w34_ad195std,0.9701181648626676,-21.84109983416338,5.567313652893063,5.571068088931497
w27_ad190stdcorr,0.9701181344162544,-21.871546247331786,5.5614216951071285,5.566364588972647
w27_ad188stdcorr,0.9701168076021642,-23.198360337484125,5.5342721688211896,5.5668837134726346
w23_ad187stdcorr,0.9701150808744373,-24.925088064398082,5.556949501740746,5.567424190463498
w29_ad194std_h3,0.9701140063799218,-25.999582579872005,5.561418505443726,5.570454552595038
w21_ad187corr_ens4,0.970103933067418,-36.07289508367195,5.571162330044899,5.571170865034219
