stem,dcv,gh,dgh,sumw,D,C,offset,offset_base
w36_ad199std_h3,-4.57834893186071,1034.6829625834284,10.525358669776551,6.447077359776255,0.027219038747716695,0.11000494970357977,-0.08278591095586307,-0.08278591095586307
w40_ad211std_h3,-6.821351412278354,1035.2351236937375,11.077519780085595,5.122735284584588,0.12384363048477098,0.11445788716082461,0.009385743323946372,0.009385743323946372
w38_ad202std_h3,-6.984589856373624,1046.0350728474912,21.877468933839282,7.821565333870156,-0.35456430830527097,0.1809632508957293,-0.5355275592010003,-0.5355275592010003
w36_ad199std,-7.681005887660852,1034.382051940126,10.224448026474192,6.381227306117213,0.4100389232626185,0.10752874915488064,0.30251017410773784,0.30251017410773784
w40_ad211std,-9.051860714426319,1032.3786263342067,8.221022420554846,5.118823786831695,0.2819845282356255,0.09012327529489994,0.19186125294072554,0.19186125294072554
w38_ad202std,-9.43335934566747,1042.4123258243712,18.254721910719354,6.512439616679846,0.09103467245586216,0.17853763137827627,-0.08750295892241411,-0.08750295892241411
w36_ad197stdcorr,-11.376028257847892,1025.9783708484085,1.820766934756648,5.157214073906552,0.25457516603637487,0.02276956322020851,0.23180560281616636,0.23180560281616636
w34_ad195stdcorr,-15.211078756571794,1027.6600966630356,3.5024927493836913,5.144939621691752,0.09400307072792202,0.06229385171900503,0.03170921900891699,0.03170921900891699
w36_ad197std_h3,-15.562846465422275,1033.466203184074,9.308599270422064,5.371013265231811,0.008942235144786537,0.1494880650716368,-0.14054582992685027,-0.14054582992685027
w38_ad202std_hybrid,-16.744187593453752,1043.296329722948,19.138725809296147,6.1616509459186535,-0.10403186216717586,0.25859980800305493,-0.3626316701702308,-0.3626316701702308
w36_ad199std_hybrid,-16.8776494454681,1038.0988655559563,13.941261642304426,7.009418335305782,-0.041033046261873096,0.20633167141932063,-0.24736471768119372,-0.24736471768119372
w36_ad199std_rescale,-18.06870805376448,1026.3040040180629,2.1464001044109864,5.382875837641022,0.022905765799805522,0.039090848847990856,-0.016185083048185334,-0.016185083048185334
w36_ad197std,-18.947107370936855,1034.3307297155134,10.173125801861488,5.424381391286809,0.007823977270163596,0.1608999503951054,-0.1530759731249418,-0.1530759731249418
