member,dir,oof_auc,n_distinct
gmm_raw,data/ext_members9,0.8215688790326772,296108
qda_raw,data/ext_members8,0.8944594378042836,296104
gnb_raw,data/ext_members9,0.8963409462560683,296070
qda_lat,data/ext_members9,0.9311799826253343,295874
rff_raw,data/ext_members8,0.9337081914039659,296148
golem_c,data/ext_members,0.9343839705672055,296302
poly2_raw,data/ext_members8,0.9350568552000954,296170
bolt_tabr_retrieval,data/ext_members2,0.9379939881756827,221453
bolt_dcnv2_cross,data/ext_members2,0.9384981380967445,78086
bolt_gandalf_gflu,data/ext_members2,0.9387141174821514,82463
bolt_neural_5fold,data/ext_members2,0.9392280954698594,223668
bolt_tabm_rank1,data/ext_members2,0.9395176977988373,226723
bolt_fttransformer,data/ext_members2,0.9401086552644882,29562
bolt_tabm_missing,data/ext_members2,0.9402158529242,224003
mkt_nn,data/ext_members2,0.9404005560439397,247604
golem_b,data/ext_members,0.9408108374811007,248118
mkt_mlp,data/ext_members13es,0.9414220911448385,240211
ad_gnn_note,data/ext_members3,0.9420903597006162,275241
golem_g,data/ext_members,0.9421627233653163,284183
bolt_extratrees_support,data/ext_members2,0.9432187123073119,227400
lat_tedrop_r400,data/ext_members7,0.9496361970778027,296300
lat_encdrop_r400,data/ext_members7,0.952228882321988,296300
lat_encdrop_r400,data/ext_members7pin,0.952228882321988,296300
mkt_realmlp,data/ext_members13,0.9581337349072739,281845
ad_logregte,data/ext_members3,0.958909552651975,296302
bolt_cat_unique,data/ext_members2,0.959294867406197,235781
bolt_lgb_raw_d4,data/ext_members2,0.9593968613983943,227599
bolt_lgb_raw_d6,data/ext_members2,0.9602790349442599,225701
rff_lat,data/ext_members8,0.9607473167071436,296089
bei_raw12,data/ext_members2,0.9625110899702517,296302
golem_d,data/ext_members,0.9626012749354521,296302
dkv_cb,data/ext_members12es,0.9627085344216801,296302
bolt_xgb_raw_bag,data/ext_members2,0.9629127592639459,218566
bolt_histgb_5fold,data/ext_members2,0.9630734764964255,228234
lat_rawdrop_r400,data/ext_members7,0.9631860987580482,296301
bei_identity_digit_raw12,data/ext_members2,0.9633938167071467,296302
bei_xgb_identity_digit_raw12,data/ext_members2,0.9634036395167119,264377
bolt_ebm_exact,data/ext_members2,0.9635359874969037,209911
bolt_cat_cpu5,data/ext_members2,0.9636179432127291,228897
bei_structural,data/ext_members2,0.9637240796119662,296302
kava_cat,data/ext_members12es,0.9637552596060746,230031
ad_gnn_te,data/ext_members3,0.9639408281245131,266251
ravi_cb1c,data/ext_members11es,0.9639441018700132,221860
