order,file,member,src,oof_auc,n_distinct,md5,pred_lb,bound,margin_e6
1,w85_cal_bolt_lgb_raw_d4.csv,bolt_lgb_raw_d4,data/ext_members2,0.9593968613983943,227599,cfa1c34281f31884ad14999a53184011,0.9608267613983943,0.9655430613983943,5646.9386016057
2,w85_cal_bolt_cat_unique.csv,bolt_cat_unique,data/ext_members2,0.959294867406197,235781,4fc9cbcf425ff297dc8510ae9fbdd06e,0.9607247674061969,0.965441067406197,5748.932593803047
3,w85_cal_ad_logregte.csv,ad_logregte,data/ext_members3,0.958909552651975,296302,e405d5ef66e5d4e0d22bc76dcc0156b9,0.960339452651975,0.965055752651975,6134.247348025035
4,w85_cal_lat_encdrop_r400.csv,lat_encdrop_r400,data/ext_members7,0.952228882321988,296300,c21a8c3c1bfddeca7d3758b08fd939e5,0.953658782321988,0.958375082321988,12814.917678012016
5,w85_cal_lat_tedrop_r400.csv,lat_tedrop_r400,data/ext_members7,0.9496361970778027,296300,b9297ebece5f0f220d935f1c22fc47f3,0.9510660970778027,0.9557823970778027,15407.602922197339
6,w85_cal_bolt_extratrees_support.csv,bolt_extratrees_support,data/ext_members2,0.9432187123073119,227400,ede074ab7edc9ba289b29589d79aa5fb,0.9446486123073119,0.9493649123073119,21825.087692688096
7,w85_cal_golem_g.csv,golem_g,data/ext_members,0.9421627233653163,284183,4b8436d0cfdfdd91dec33da5349982a3,0.9435926233653162,0.9483089233653162,22881.07663468375
8,w85_cal_ad_gnn_note.csv,ad_gnn_note,data/ext_members3,0.9420903597006162,275241,0937b48d554e0c4b783d22cc19b0c707,0.9435202597006161,0.9482365597006162,22953.44029938384
9,w85_cal_mkt_mlp.csv,mkt_mlp,data/ext_members13es,0.9414220911448385,240211,4dd8ca84766d85b44ccf28a3c6171b76,0.9428519911448385,0.9475682911448385,23621.70885516146
10,w85_cal_golem_b.csv,golem_b,data/ext_members,0.9408108374811007,248118,1b8fc6ea21c384cbc81ea620479feeed,0.9422407374811007,0.9469570374811007,24232.962518899283
11,w85_cal_mkt_nn.csv,mkt_nn,data/ext_members2,0.9404005560439397,247604,15c23929bb48522f9673803d8b2073bf,0.9418304560439397,0.9465467560439397,24643.243956060323
12,w85_cal_bolt_tabm_missing.csv,bolt_tabm_missing,data/ext_members2,0.9402158529242,224003,d2a1369ecb4fca57a7b806a9c0b47ee3,0.9416457529241999,0.9463620529242,24827.94707580005
13,w85_cal_bolt_fttransformer.csv,bolt_fttransformer,data/ext_members2,0.9401086552644882,29562,dc447271de7e82750e50457d50564d62,0.9415385552644882,0.9462548552644882,24935.14473551184
14,w85_cal_bolt_tabm_rank1.csv,bolt_tabm_rank1,data/ext_members2,0.9395176977988373,226723,914a8a5871b70a079d051ed7fc857ad6,0.9409475977988373,0.9456638977988373,25526.102201162692
15,w85_cal_bolt_neural_5fold.csv,bolt_neural_5fold,data/ext_members2,0.9392280954698594,223668,785be79274e0f57bb9cc8410ea954ac6,0.9406579954698594,0.9453742954698594,25815.704530140592
16,w85_cal_bolt_gandalf_gflu.csv,bolt_gandalf_gflu,data/ext_members2,0.9387141174821514,82463,bad6a7d7357a19b92044bfc1a762456e,0.9401440174821514,0.9448603174821514,26329.682517848618
17,w85_cal_bolt_dcnv2_cross.csv,bolt_dcnv2_cross,data/ext_members2,0.9384981380967445,78086,b9053dcc64f7a2776a47f2789a6dd64b,0.9399280380967445,0.9446443380967445,26545.66190325547
18,w85_cal_bolt_tabr_retrieval.csv,bolt_tabr_retrieval,data/ext_members2,0.9379939881756827,221453,b46b36608b2406960f636b3e906c4e21,0.9394238881756827,0.9441401881756827,27049.811824317316
19,w85_cal_poly2_raw.csv,poly2_raw,data/ext_members8,0.9350568552000954,296170,d7bf997134e82361b36d072e56e18e7e,0.9364867552000954,0.9412030552000954,29986.944799904602
20,w85_cal_golem_c.csv,golem_c,data/ext_members,0.9343839705672055,296302,1589f827ea735a7c808446529a4f1123,0.9358138705672054,0.9405301705672054,30659.82943279455
21,w85_cal_rff_raw.csv,rff_raw,data/ext_members8,0.9337081914039659,296148,5f944390aa6bbdc0683db16e545cdd5c,0.9351380914039659,0.9398543914039659,31335.608596034126
22,w85_cal_qda_lat.csv,qda_lat,data/ext_members9,0.9311799826253343,295874,6d1d71c1a8680f1d4bef22bd17f4471f,0.9326098826253343,0.9373261826253343,33863.817374665705
23,w85_cal_gnb_raw.csv,gnb_raw,data/ext_members9,0.8963409462560683,296070,f91208165a3debb138fb793da4bce330,0.8977708462560683,0.9024871462560683,68702.8537439317
24,w85_cal_qda_raw.csv,qda_raw,data/ext_members8,0.8944594378042836,296104,41239abcaf298bc641c2ae423281f3e3,0.8958893378042836,0.9006056378042836,70584.3621957164
25,w85_cal_gmm_raw.csv,gmm_raw,data/ext_members9,0.8215688790326772,296108,1df8866d60b5d1523c3d1bac6f6d448e,0.8229987790326772,0.8277150790326772,143474.92096732283
