order,file,member,role,oof_auc,n_distinct,md5,es_mechanism,offset_line,pred_H0,pred_H1,pred_lb,sep_steps
1,w85_cal_bolt_lgb_raw_d4.csv,bolt_lgb_raw_d4,FILLER,0.9593968613983944,227599,cfa1c34281f31884ad14999a53184011,"n/a -- w85 slot filler, see w85a",0.0014299,0.9608267613983944,0.9608267613983944,0.9608267613983944,
2,w85_cal_bolt_cat_unique.csv,bolt_cat_unique,FILLER,0.959294867406197,235781,4fc9cbcf425ff297dc8510ae9fbdd06e,"n/a -- w85 slot filler, see w85a",0.0014299,0.9607247674061969,0.9607247674061969,0.9607247674061969,
3,w85_cal_ad_logregte.csv,ad_logregte,FILLER,0.958909552651975,296302,e405d5ef66e5d4e0d22bc76dcc0156b9,"n/a -- w85 slot filler, see w85a",0.0014299,0.960339452651975,0.960339452651975,0.960339452651975,
4,w85_cal_lat_encdrop_r400.csv,lat_encdrop_r400,FILLER,0.952228882321988,296300,c21a8c3c1bfddeca7d3758b08fd939e5,"n/a -- w85 slot filler, see w85a",0.0014299,0.953658782321988,0.953658782321988,0.953658782321988,
5,w85_cal_lat_tedrop_r400.csv,lat_tedrop_r400,FILLER,0.9496361970778028,296300,b9297ebece5f0f220d935f1c22fc47f3,"n/a -- w85 slot filler, see w85a",0.0014299,0.9510660970778028,0.9510660970778028,0.9510660970778028,
6,w85_cal_bolt_extratrees_support.csv,bolt_extratrees_support,FILLER,0.943218712307312,227400,ede074ab7edc9ba289b29589d79aa5fb,"n/a -- w85 slot filler, see w85a",0.0014299,0.944648612307312,0.944648612307312,0.944648612307312,
7,w85_cal_golem_g.csv,golem_g,FILLER,0.9421627233653164,284183,4b8436d0cfdfdd91dec33da5349982a3,"n/a -- w85 slot filler, see w85a",0.0014299,0.9435926233653164,0.9435926233653164,0.9435926233653164,
8,w85_cal_ad_gnn_note.csv,ad_gnn_note,FILLER,0.9420903597006162,275241,0937b48d554e0c4b783d22cc19b0c707,"n/a -- w85 slot filler, see w85a",0.0014299,0.9435202597006161,0.9435202597006161,0.9435202597006161,
9,w85_cal_mkt_mlp.csv,mkt_mlp,FILLER,0.9414220911448384,240211,4dd8ca84766d85b44ccf28a3c6171b76,"n/a -- w85 slot filler, see w85a",0.0014299,0.9428519911448384,0.9428519911448384,0.9428519911448384,
10,w85_cal_golem_b.csv,golem_b,FILLER,0.9408108374811008,248118,1b8fc6ea21c384cbc81ea620479feeed,"n/a -- w85 slot filler, see w85a",0.0014299,0.9422407374811008,0.9422407374811008,0.9422407374811008,
