Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16633740,MILANFX,"2026-08-06 18:49:00",0.97120,11,milanfx
2,16636196,"Maher el Ouahabi","2026-08-10 09:34:47",0.97113,51,maherelouahabi
3,16633796,Optimistix,"2026-08-09 23:54:41",0.97112,58,optimistix
4,16633767,"Don Mani","2026-08-10 09:00:21",0.97112,50,donmarch14
5,16636528,Mahog,"2026-08-09 14:23:20",0.97110,16,"funguscakehead,mahoganybuttstrings"
6,16635027,midway2333,"2026-08-09 16:41:29",0.97109,12,blueszhao
7,16687243,Utkarsh,"2026-08-09 10:10:23",0.97108,11,n0va007
8,16636394,FunnyBishop,"2026-08-09 11:05:02",0.97108,38,funnybishop
9,16681210,LeTuanM,"2026-08-08 06:09:56",0.97106,8,letuanm
10,16651096,magp,"2026-08-10 07:52:54",0.97106,31,wjdzxh
11,16662115,"Patrick Joël MAIRLOT-MBEZELE","2026-08-09 14:57:39",0.97104,23,pigenesis75
12,16633764,cstdy,"2026-08-10 11:22:56",0.97104,28,kirill0212
13,16642677,"fromage _","2026-08-09 15:43:40",0.97102,23,fromagesea
14,16690590,"Mitudru Dutta","2026-08-09 19:03:58",0.97102,3,mitudru
15,16676231,"Byer Script","2026-08-07 07:30:09",0.97101,15,byerscrip
16,16660347,dangwok,"2026-08-10 03:12:37",0.97100,18,josephdongwookkim
17,16693333,Orig_lab,"2026-08-10 02:42:35",0.97099,12,chengxixixi
18,16635241,"Romone Dunlop","2026-08-09 12:17:07",0.97099,8,romonedunlop
19,16666361,miki,"2026-08-10 05:06:14",0.97099,19,miki2025lee
20,16645574,"Kolektor Waifu","2026-08-10 11:24:40",0.97098,26,"mikhaeldhika,zelera"
21,16686703,t2better,"2026-08-08 07:09:11",0.97097,5,t2better
22,16639403,"Dariush Afshar","2026-08-09 06:49:58",0.97097,28,dariushafshar
23,16640967,SparrowSteelDuck,"2026-08-10 07:29:15",0.97097,15,sparrowsteelduck
24,16665659,"Yusuke Hayashi","2026-08-10 12:33:17",0.97096,7,yhay81
25,16635489,Xiang,"2026-08-07 14:42:36",0.97096,8,happierboy
26,16638546,"Danushkumar Venkadesh","2026-08-10 03:33:29",0.97095,28,danushkumarv
27,16695622,"Deniz Eryılmaz","2026-08-10 11:04:21",0.97095,11,denizeryilmaz
28,16682737,YappingNonStop,"2026-08-09 14:40:14",0.97095,26,yappingnonstop
29,16693698,Hoai0312phong@,"2026-08-09 14:40:24",0.97095,10,hoai0312phong
30,16653480,delai50,"2026-08-10 10:31:30",0.97095,8,delai50
31,16681556,AlexPiggie,"2026-08-09 14:40:21",0.97095,30,alexpiggie
32,16668214,"Omkar Kadam","2026-08-09 08:46:50",0.97094,27,itzzomkar
33,16671202,"xi luo","2026-08-09 08:44:17",0.97094,6,xiluo00
34,16666331,Amaranta,"2026-08-10 01:32:26",0.97093,52,ulyanovantonamaranta
35,16662979,"Shashwat Bajpai","2026-08-10 09:38:17",0.97093,31,shashwat1729
36,16641327,Tilii,"2026-08-10 06:16:41",0.97093,70,tilii7
37,16639212,"Maria Startseva","2026-08-10 08:42:17",0.97093,91,untouchableforest
38,16689027,Dean0016,"2026-08-09 07:16:55",0.97093,13,dean0016
39,16634822,Will,"2026-08-08 15:23:33",0.97092,22,wguesdon
40,16633967,"Michael Y. Qiu","2026-08-09 12:11:59",0.97092,13,michaelqiu0606
41,16633811,Naji,"2026-08-10 01:49:49",0.97092,60,najiama
42,16636858,Zhenrui.Weng,"2026-08-09 23:44:30",0.97092,17,zhenruiweng
43,16698157,lytCNAORevision2018,"2026-08-10 05:47:10",0.97092,8,lytcnaorevision2018
44,16633933,kglctf,"2026-08-10 00:41:39",0.97092,100,kglctf
45,16663911,islet,"2026-08-10 02:05:44",0.97092,3,kojimar
46,16665633,"Charismatic Pizza Party🍕","2026-08-10 02:34:01",0.97092,3,debugendless
47,16698858,"Ra'uf Fauzan Rambe","2026-08-10 04:38:40",0.97092,1,rauffauzanrambe
48,16699264,camurberkayy,"2026-08-10 08:14:35",0.97092,2,camurberkayy
49,16667184,Mohit_Negi,"2026-08-10 11:43:05",0.97092,4,salamanbhai
50,16635630,AnthonyTherrien,"2026-08-10 12:08:24",0.97092,13,anthonytherrien
51,16661413,Sophie,"2026-08-09 08:05:48",0.97092,13,morty3500
52,16681616,AJboos,"2026-08-10 09:30:06",0.97092,23,"ajboos,moyulyt"
53,16661616,"Saad M Khan","2026-08-09 08:32:39",0.97092,23,saadkhanxdcatalyst
54,16633723,"Pavlo Ivanin","2026-08-09 21:18:26",0.97092,8,pavloivanin
55,16698465,"KIM JISU","2026-08-10 11:52:02",0.97092,10,jieesoo222
56,16634934,"Aman Atar","2026-08-10 11:36:21",0.97092,34,amanatar
57,16634362,"Ilya Sevastyanov","2026-08-10 03:29:01",0.97092,10,sev1lya
58,16642971,"Mathurin Ache","2026-08-09 09:01:09",0.97092,5,mathurinache
59,16693814,"rupsa roy","2026-08-09 05:14:13",0.97092,1,rupsarroy
60,16693026,"Dhavan Shah","2026-08-08 22:05:55",0.97092,1,dhavanshah99
61,16644580,Chloe,"2026-08-09 05:05:31",0.97092,9,baytree1238
62,16697683,AleNic,"2026-08-09 19:19:24",0.97092,5,alenic
63,16685415,yukiZ,"2026-08-10 04:57:37",0.97092,11,hideyukizushi
64,16636972,"Владислав Мурник","2026-08-09 13:21:37",0.97092,19,adik23twhrs
65,16641245,"Raunak Dey","2026-08-09 15:59:58",0.97092,1,raunakdey07
66,16697387,RameshG888,"2026-08-09 17:37:42",0.97092,1,ramesh888
67,16637991,StephenNedumpally,"2026-08-09 02:46:57",0.97092,5,stephennedumpally
68,16690817,"Mohamed Saeed","2026-08-09 10:07:07",0.97092,1,m0sm71
69,16635752,"Jeki Wan Taufik","2026-08-09 04:49:48",0.97092,9,jek1wantaufik
70,16691149,BostonKaggle,"2026-08-09 13:50:35",0.97092,2,"isthereanycode,lynnkim0"
71,16690676,"Haidar Azka","2026-08-10 05:26:39",0.97092,4,haidarazka
72,16645865,"Kun Zhang","2026-08-09 05:29:06",0.97091,42,beicicc
73,16641562,"Games Jadley","2026-08-05 03:43:45",0.97091,17,gamesjadley
74,16687976,"Vegard Berget","2026-08-08 14:06:53",0.97091,3,vegahyo
75,16652934,"Muhammad Ridwan","2026-08-09 18:40:11",0.97091,31,ridwansigma
76,16634926,"Szymon Kłapiński","2026-08-10 12:38:31",0.97091,30,szymonkapiski
77,16683736,kinnkinn,"2026-08-09 19:56:26",0.97091,20,kinnkinn
78,16662692,LucasSmedley,"2026-08-06 12:08:01",0.97090,2,lucassmedley
79,16681574,"Akhyar Ahmad","2026-08-07 14:52:28",0.97090,3,akhyar2612
80,16639426,Keanan,"2026-08-10 12:38:07",0.97089,4,citerne
81,16633766,"Ravi Ramakrishnan","2026-08-09 14:34:58",0.97089,24,ravi20076
82,16686117,"Laura Liepa","2026-08-09 19:58:39",0.97089,25,lauraliepa
83,16640636,choqui62,"2026-08-08 14:50:31",0.97088,21,choqui62
84,16696708,cameronezrajones579,"2026-08-09 16:56:56",0.97088,6,cameronezrajones579
85,16695386,Fujinawa,"2026-08-10 05:19:01",0.97088,8,wasshoiwasshoi
86,16633921,GUAM,"2026-08-08 11:27:33",0.97087,19,kmmmvs
87,16648936,r0tor,"2026-08-10 12:59:10",0.97087,14,nikita7364777
88,16685316,bgnosboehb,"2026-08-07 20:56:08",0.97086,4,bgnosboehb
89,16685035,HuangKX666,"2026-08-08 12:19:41",0.97086,11,huangkx666
90,16693323,vreamartins,"2026-08-10 00:05:03",0.97086,11,vreamartins
91,16633714,"Masaya Kawamata","2026-08-07 06:44:23",0.97086,23,masayakawamata
92,16684951,nanare,"2026-08-10 02:39:49",0.97086,7,nanaresudo
93,16670381,"HoaiPhong Nguyen","2026-08-09 04:41:37",0.97086,39,hoaiphongnguyen
94,16674837,"Aryan Kumar","2026-08-06 13:20:59",0.97086,3,kumaryan12
95,16635847,F.A.Nina,"2026-08-07 15:23:35",0.97086,40,nina2025
96,16645177,"Yan Hu","2026-08-07 10:21:06",0.97086,36,icyskyhy
97,16644545,"Krizsó Gergely","2026-08-07 15:53:20",0.97086,12,lucifer19
98,16672459,Star_xinglan,"2026-08-06 05:48:24",0.97086,1,starxinglan
99,16661938,"Muhammed Shad Bhati","2026-08-06 08:36:07",0.97086,2,bhatimohdshad
100,16638805,"Anhad Mahajan","2026-08-06 11:08:41",0.97086,37,anhadmahajan06
101,16675180,"family union윤원민 (윤원민)","2026-08-06 14:45:02",0.97086,7,familyunion
102,16670301,"Mathieu W","2026-08-06 16:47:16",0.97086,2,mathieuw
103,16639154,Harsh,"2026-08-06 20:15:01",0.97086,17,nendroids
104,16679062,"Nithin maktha","2026-08-06 20:20:45",0.97086,1,makthanithin
105,16679502,"Udit Jain","2026-08-06 21:39:00",0.97086,1,iamudit
106,16642199,xxlcxsh,"2026-08-07 10:34:54",0.97086,17,aopsfapojfmvoiv
107,16685927,Nath,"2026-08-07 15:18:36",0.97086,1,nathaliach
108,16643058,GodofThunder2407,"2026-08-08 08:38:20",0.97086,3,godofthunder2407
109,16685185,Narendra2809,"2026-08-08 17:27:20",0.97086,3,narendra2809
110,16644201,"Prinshu Dewangan","2026-08-08 12:29:38",0.97086,5,prinshudewangan
111,16689191,Hawksartelier,"2026-08-10 02:18:00",0.97086,5,"nibeditabal,satyapb2002"
112,16656856,Pruthvish,"2026-08-09 11:20:00",0.97086,4,pruthvish115
113,16689362,"Krinal Naghera","2026-08-09 13:27:20",0.97086,4,krinalnaghera
114,16647397,"Smit Tiwary","2026-08-07 08:24:40",0.97086,26,smittiwary
115,16677251,ktyser,"2026-08-09 21:12:49",0.97086,6,keithtyser
116,16637040,tudousisi,"2026-08-06 08:43:36",0.97086,10,tudousisi
117,16635520,Jason-Oh,"2026-08-07 19:00:01",0.97085,20,dossantoss
118,16658913,Yan,"2026-08-07 15:19:56",0.97085,8,diskya
