Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16724329,"Chris Deotte","2026-08-29 02:49:00",0.97207,83,cdeotte
2,16698321,"Changye Li","2026-08-28 08:40:05",0.97154,46,antoinegg1
3,16633740,MILANFX,"2026-08-28 23:59:37",0.97149,47,milanfx
4,16633764,cstdy,"2026-08-29 10:38:07",0.97147,127,kirill0212
5,16639426,Keanan,"2026-08-27 18:58:46",0.97139,24,citerne
6,16705653,JungHwan,"2026-08-29 12:38:06",0.97138,179,najunghwan
7,16635530,Miłosz,"2026-08-27 22:40:08",0.97138,17,miloszkrzeminski
8,16687243,Utkarsh,"2026-08-28 22:49:05",0.97136,111,n0va007
9,16634252,"Taemyung Heo","2026-08-28 13:24:52",0.97135,25,tmheo74
10,16757608,"Eduardo Molina","2026-08-29 09:30:39",0.97135,35,eduardomolinaai
11,16633796,Optimistix,"2026-08-28 23:59:45",0.97135,203,optimistix
12,16633767,"Don Mani","2026-08-29 07:11:31",0.97135,159,donmarch14
13,16748912,Can,"2026-08-29 10:55:38",0.97135,49,canentay
14,16636196,"Maher el Ouahabi","2026-08-29 12:49:53",0.97134,99,maherelouahabi
15,16654846,"Emile Andrieu","2026-08-28 08:38:10",0.97133,20,emileandrieu
16,16769386,"Hai Dang","2026-08-29 06:19:44",0.97133,31,haidang2405
17,16728887,"Andrey Shpigar","2026-08-28 08:05:08",0.97132,70,andreyshpigar
18,16633766,"Ravi Ramakrishnan","2026-08-28 21:55:22",0.97132,86,ravi20076
19,16767572,"Arka Ariya","2026-08-28 15:27:33",0.97131,37,arkaariya
20,16734934,BOB,"2026-08-29 11:59:50",0.97131,105,hotpotbro
21,16736438,"wataru kawashima","2026-08-29 03:18:20",0.97130,32,watarukawashima
22,16648936,r0tor,"2026-08-28 08:28:27",0.97130,106,nikita7364777
23,16760786,yuxuan,"2026-08-29 10:35:04",0.97130,30,yuxuan1221
24,16763750,"Subramanya N","2026-08-29 09:30:17",0.97130,34,subramanya1997
25,16675946,thisray,"2026-08-29 05:53:27",0.97130,60,thisray
26,16716266,HuiJuan.Yu,"2026-08-28 07:50:41",0.97130,123,chuyuni
27,16634926,"Szymon Kłapiński","2026-08-28 11:21:05",0.97130,56,szymonkapiski
28,16752453,scikit-learn,"2026-08-27 07:02:34",0.97129,14,scikitlearning
29,16783953,"Phantom F5","2026-08-29 03:50:24",0.97129,20,phantomf5
30,16779684,"Adnan Zaman","2026-08-28 12:25:37",0.97129,14,adnanzamanniloy
31,16724181,"PS-S6E8 Codex Blender","2026-08-29 04:10:43",0.97129,139,"aditya2909rb,duyguabbasoglu,jazivxt"
32,16751356,"Wenbo Qin","2026-08-28 01:19:07",0.97129,53,"lilei577,wenboqin"
33,16782893,Velociraptor_N,"2026-08-29 04:07:36",0.97129,20,velociraptorn
34,16702366,william950615,"2026-08-29 09:45:17",0.97129,118,"jenytsian,william950615"
35,16685415,yukiZ,"2026-08-29 12:24:07",0.97129,90,hideyukizushi
36,16662979,"Shashwat Bajpai","2026-08-28 08:49:40",0.97129,180,shashwat1729
37,16691149,BostonKaggle,"2026-08-27 22:13:57",0.97129,23,"isthereanycode,lynnkim0"
38,16762966,"Abhi Pokhrel","2026-08-29 06:07:03",0.97129,34,slangitup
39,16670179,DataRegressor,"2026-08-26 20:11:44",0.97129,25,azzamradman
40,16778508,"Sridip Basu","2026-08-28 12:00:03",0.97129,13,sridipbasu
41,16764789,GUGUGAGA,"2026-08-27 04:43:07",0.97129,19,"ruiyangzhang23,taoguo079"
42,16639212,"Maria Startseva","2026-08-29 00:48:47",0.97129,253,untouchableforest
43,16738206,"Atakan Aldemir","2026-08-28 09:25:23",0.97129,21,atakanaldemir
44,16652751,Mrsalty,"2026-08-29 11:02:26",0.97129,4,mrsaltyx
45,16649456,MomotokD,"2026-08-28 10:34:12",0.97129,9,momotokd
46,16638558,"Ripon C. Malo","2026-08-28 23:14:58",0.97129,3,riponce
47,16677180,"Akhilesh godugu","2026-08-29 02:40:41",0.97129,23,akhileshgodugu
48,16633933,kglctf,"2026-08-29 07:38:56",0.97129,290,kglctf
49,16771209,Vanshika,"2026-08-28 06:04:20",0.97129,3,crystalbaby
50,16743534,Chiranjeev,"2026-08-28 16:42:02",0.97129,56,abhirajhiwale
51,16635971,"Code by Nadiia","2026-08-28 12:13:04",0.97129,33,codebynadiia
52,16721433,"Asterios Terzis","2026-08-28 11:35:44",0.97129,29,asteriosterzis
53,16634902,Kudos_07,"2026-08-28 17:46:50",0.97129,25,saranshsurana07
54,16748098,JasonL,"2026-08-25 22:06:37",0.97129,21,jasonling95
55,16742246,sssskilo,"2026-08-28 09:08:56",0.97129,23,wellkilo
56,16633811,Naji,"2026-08-29 05:01:04",0.97129,222,"najiama,nathaliach"
57,16756534,"Raman Singh","2026-08-28 14:06:57",0.97129,14,ramansingh1108
58,16702634,MJVinay,"2026-08-27 20:05:05",0.97129,18,mallajayanthvinay
59,16635752,"Jeki Wan Taufik","2026-08-28 00:22:24",0.97129,19,jek1wantaufik
60,16661937,"Omar Morsi 2004","2026-08-28 21:58:41",0.97129,62,omarmorsi2004
61,16694955,"Trust CV","2026-08-28 22:50:44",0.97129,15,ryosketchbook2007
62,16714137,"Aqib Raza","2026-08-28 22:33:49",0.97129,4,aqibrazadev
63,16633921,GUAM,"2026-08-28 02:36:44",0.97129,27,kmmmvs
